1.-1t	献祭的礼仪(1-7)
19.12	不要奉我的名妄发虚誓，而亵渎你天主的名字：我是上主。
19.13	你不要欺压剥削你的近人，佣人的工钱不可在你处过夜，留到第二天早晨。
19.14	不可咒骂聋子；不可将障碍物放在瞎子面前；但应敬畏你的天主：我是上主。
19.15	审判时，你们不要违背正义；不可袒护穷人，也不可重视有权势的人，只依正义审判你的同胞。
19.16	不可去毁谤你本族人，也不可危害人的性命：我是上主。
19.17	不可心存怀恨你的兄弟，应坦白劝戒你的同胞，免得为了他而负罪债。
19.18	不可复仇，对你本国人，不可心怀怨恨；但应爱人如己：我是上主。
19.19	你们应遵守我的法令：不可使你的家畜与不同类的配合；一块田内，不可播上不同的种子；用两种线织成的衣服，不可穿在你的身上。
19.20	若人同已许配于人，尚未赎回，或没有获得自由的婢女同寝，应受处罚，但不该死，因为她还没有自由。
19.21	但是，这人却应把一只赎过祭的公绵羊，牵到会幕门口，献给上主，作为他的赎过祭。
19.22	司祭用这赎过祭的公绵羊，上主面前，代他为他所犯的罪行赎罪礼；他犯的罪方可得赦。
19.23	几时你们进了那地方，栽种了什么果树，树上的果子，你们应视为不洁；三年以内你们算是不洁，不可以吃；
19.24	到第四年，结的一切果实，都是圣的，应做赞颂上主的礼品；
19.25	到第五年，才可以吃树上结的果实，使树为你们增加出产；我，上主是你们的天主。
19.26	你们不可吃任何带血的食物，不可占卜，不可念咒；
19.27	不可将两边的头发剃圆；两边的胡须，也不可修剪。
19.28	不可为死者割伤你们的身体，也不可在你们身上刺花纹：我是上主。
19.29	不可亵渎你的女儿，令她卖淫，免得这地方成为淫场，充满淫乱。
19.30	应遵守我的安息日，应敬畏我的圣所：我是上主。
19.31	不可去探询亡魂，亦不可寻问占卜者，而为他们所玷污：我，上主是你们的天主。
19.32	在白发老人前，应起立；对老年人要尊敬，应敬畏你的天主：我是上主。
19.33	若外方人在你们的地域内，与你住在一起，不可欺压他；
19.34	对与你们住在一起的外方人，应看作你们中的一个同乡，爱他如爱你自己，因为你们在埃及地也作过外方人：我，上主是你们的天主。
19.35	再审断度、量、衡上，不可不公平；
19.36	天平、法码、升、勺，都应正确。我是领你们出离埃及地的上主你们的天主。
19.37	你们应遵守我的一切法令和我的一切规定，一一依照执行：我是上主。」
	
20.0t	
	
20.1t	敬拜邪神之罚
	
20.1	上主训示梅瑟说：」
20.2	你对以色列子民说：以色列子民和侨居以色列的外方人中，若有人将儿女献给摩肋客，应处死刑；当地的人应用石头砸死他。
20.3	我必板起脸来与此人作对，将他由民间铲除，因为他将儿女献给了摩肋客，玷污了我的圣所，亵渎了我的圣名。
20.4	当地的人，若在这人奉献自己的儿女给摩肋客时，竟闭目不看，而不将他处死，
20.5	我自己要板起脸来与这人和他的家族作对，将他和一切随著他敬拜摩肋客的人，由他们的人民中间一律铲除。
20.6	若有人去求问亡魂和占卜者，跟随他们行邪法，我必板起脸来与这人作对，将他由民间铲除。
20.7	你们应成圣自己，成为圣的，因为我上主是你们的天主。
20.8	你们应遵守我的法令，一一依照执行，我是要你们成圣的上主。
20.9	凡辱骂自己的父母的，应处死刑；他辱骂了父母，应自负血债。 
	
20.10t	行邪淫之罚
	
20.10	若人与一有夫之妇通奸，即与邻友之妻通奸，奸夫奸妇应一律处死。
20.11	若人与父亲的妻子同寝，是揭露了父亲的下体，两人应一律处死，他们应自负血债。
20.12	若人与儿媳同睡，两人应处死；他们犯了乱伦的罪，应自负血债。
20.13	若男人同男人同寝，如男之于女，做此丑事的两人，应一律处死，应自负血债。
20.14	若人娶妻又娶妻的母亲，这是淫乱，应将他和她们用火烧死，使你们中间不致存有淫乱。
20.15	若人与走兽同寝，应处死刑；走兽亦应杀死。
20.16	若女人走近任何走兽，与它交合，应将这女人和这走兽杀死，应处死刑；他们应自负血债。
20.17	若人娶自己的姊妹，不论她是自己父亲的女儿，或是母亲的女儿，以致他看见了她的下体，她也看见了他的下体：这是可耻的事，应在本国人前将他们铲除，因为他揭露了自己姊妹的下体，应自负血债。
20.18	若人与在月经期内的女人同寝，揭露了她的下体，暴露了她的血源；她也揭露了自己的血源，应将两人由民间铲除。
20.19	你不可揭露你母亲的姊妹，或你父亲的姊妹的下体，因为这是暴露自己的肉体；他们应自负罪债。
20.20	若人与自己的叔伯母同睡，这是揭露了叔伯的下体；他们应自负血债，绝嗣而死。
20.21	若人娶自己兄弟之妇为妻，这是可耻的，无益是揭露了自己兄弟的下体，必然绝后。 
	
20.22t	洁与不洁之分别
	
20.22	你们应遵守我的一切法令和我的一切规定，一一依照执行，免得我领你们去居住的地方将你们吐弃。
20.23	你们不应随从我由你们面前要驱逐的民族的风俗，因为他们做了这一切事，我才厌恶了他们，
20.24	才对你们说：你们要占领他们的土地；我将这流奶流蜜的地方，赐给你们作产业。是我上主你们的天主，使你们与万民分开。
20.25	所以你们应分别洁与不洁的走兽，洁与不洁的飞禽，免得你们为不洁的走兽、飞禽，任何地上爬行的动物，──我已给你们分别清楚，免染不洁，──玷污自己。
20.26	你们于我应该是圣的，因为我上主是圣的；为此我将你们和万民分开，好属于我。
20.27	凡召亡魂行巫术或占卜的男女，应一律处死，应用石头砸死；他们应自负血债。」
	
21.0t	
	
21.1t	司祭的圣洁
	
21.1	上主对梅瑟说：「你当训示亚郎的儿子司祭说：司祭不应为族人的尸体陷于不洁，
21.2	除非为骨肉至亲，如母亲，父亲，儿女，兄弟；
21.3	未出嫁而仍为处女的姊妹，为她的尸体，司祭可陷于不洁；
21.4	但司祭不可因身为丈夫，而为姻亲的尸身，陷于不洁，亵渎己身。
21.5	司祭的头发不可剃光，胡须的边缘，不可修剪，也不可纹身割伤。
21.6	他们对天主应是圣的，不可亵渎天主的名号，因为是他们奉献上主的火祭，作为天主的供物，所以应是圣的。
21.7	司祭不可娶妓女和受玷污的女人为妻，也不可娶为丈夫离弃的女人，因为他是祝圣于天主的人。
21.8	所以你应以他为圣，因为他把供物奉献给你的天主，他对于你应是圣的，因为使你们成圣的我上主，是圣的。
21.9	若司祭的女儿卖淫亵渎自己，她是亵渎自己的父亲，应用火烧死。 
	
21.10t	大司祭的圣洁
	
21.10	兄弟中身分最高的司祭，头上既倒过圣油，又被祝圣穿了祭衣，不可披头散发，不可撕裂自己的衣服。
21.11	不可走近死人的尸体，也不可为父亲或母亲的尸体而陷于不洁。
21.12	也不可走出圣所，免得亵渎天主的圣所，因为在他头上有天主傅油的神印：我是上主。
21.13	他应娶处女为妻；
21.14	寡妇，弃妇或受玷污的妓女，这样的女人，决不可娶；只可娶本族中的处女为妻
21.15	以免亵渎本族的后裔，因为那使他成圣的是我，上主。」 
	
21.16t	作司祭的阻碍
	
21.16	上主训示梅瑟说：「
21.17	你告诉亚郎说：世世代代你的后裔中，凡身上有缺陷的，不得前去向天主奉献供物；
21.18	凡身上有缺陷的，不准前去：不论是眼瞎，脚跛，残废，畸形的，
21.19	或是断手断脚的，
21.20	或是驼背，矮小，眼生白翳，身上有麻疹或癣疥，或是睾丸破碎的人。
21.21	亚郎司祭的后裔中，凡身上有缺陷的，不得去奉献上主的火祭；他身上既有缺陷，就不应给天主奉献供物。
21.22	天主的供物，不论是至圣的或圣的，他都可以吃；
21.23	却不可进入帐幔后，或走近祭坛前，因为他身上有缺陷，免得他亵渎我的圣所，因为使他们成圣的是我，上主。」
21.24	梅瑟就这样训示了亚郎和他的儿子，以及全体以色列子民。
	
22.0t	
	
22.1t	吃祭物的条件
	
22.1	上主训示梅瑟说：「
22.2	你告诉亚郎和他的儿子，叫他们对以色列子民献与我的圣物应谨慎，免得亵渎了我的圣名：我是上主。
22.3	你对他们说：世世代代，你们后裔中，若有玷污不洁的，竟敢接近以色列子民献与上主的圣物，这人应由我面前铲除：我是上主。
22.4	亚郎的后裔中，凡患癞病或淋病的，在他未取洁之前，不可吃圣物；凡摸过死尸所染不洁之物的，或遗精的人，
22.5	或摸了任何能染上不洁的爬虫，或摸了能使自己染上任何不洁的人；
22.6	凡摸了这些东西的人，直到晚上是不洁的，除非他用水洗身，不准吃圣物。
22.7	太阳一落，他就洁净了，以后可吃圣物，因为这是属他的食物。
22.8	不可吃自死或被猛兽撕裂的兽肉，免得染上不洁：我是上主。
22.9	他们应遵守我的训令，免陷于罪恶；因此亵渎训令的，必遭死亡：我是使他们成圣的上主。
22.10	任何族外人，不准吃圣物；司祭的客人和佣工，也不准吃圣物；
22.11	但是司祭用银钱买来的仆人，却可以吃；凡生在他家的人，也可以吃这食物。
22.12	司祭的女儿，如嫁给族外人为妻，不准吃作献仪的圣物；
22.13	但是司祭的女儿，如成了寡妇或弃妇，因没有儿子，又回到父家，如同她年轻时一样，可以吃她父亲的食物；但是任何族外人不得吃。
22.14	如果一人因不慎而吃了圣物，应偿还所吃的圣物，还应另加五分之一，交与司祭。
22.15	司祭不应让以色列子民亵渎所献与上主的圣物，
22.16	而使他们因吃自己献的圣物，负起赔偿的罪债；因为我是使他们成圣的上主。 
	
22.17t	祭牲应无瑕疵
	
22.17	上主训示梅瑟说：「
22.18	你告诉和亚郎和他的儿子，以及全体以色列子民说：以色列家中或住在以色列中的外方人，任何人如奉献祭品，不管是为还愿，或出于自愿，献给上主作全燔祭的，
22.19	应是一只无瑕的公牛，公绵羊，或公山羊，方蒙悦纳。
22.20	凡身上有残疾的，你们不应奉献，因为这样为你们决不会获得悦纳。
22.21	如有人为还愿，或出于自愿，给上主奉献牛羊作和平祭品，应是无瑕的，方蒙悦纳；身上不应有任何残疾。
22.22	眼瞎的或残废的，或断肢的，或患溃疡的，或生麻疹的，或长癣疥的：这样的牲畜，你们不可献给上主；任何这样的牲畜，不可放在祭坛上，献给上主作火祭。
22.23	一腿太长或太短的牛或羊，你可献为自愿祭祭品；但为还愿，必不蒙悦纳。
22.24	此外，凡睾丸伤坏，砸碎，破裂，割去的牲畜，你们不可献给上主；在你们的地域内，万不可举行这样的祭献，
22.25	也不可由外邦人手内接受这样的牲畜，献给你们的天主作供物，因为身上残废的，有缺陷的，为你们不会获得悦纳。」
22.26	上主训示梅瑟说：「
22.27	几时牛或绵羊或山羊一生下，应七天同其母在一起；自第八天，作为上主的火祭祭品，方蒙悦纳。
22.28	牛羊及其幼雏，不可在同一日内宰杀。
22.29	几时你们给上主奉献感恩祭，应这样奉献，才获得悦纳：
22.30	祭肉，应在当天吃完，不应留到次日早晨：我是上主。
22.31	你们应遵守我的命令，一一依照执行：我是上主。
22.32	不要亵渎我的圣名，叫我在以色列子民中常被尊为圣；我是使你们成圣的上主，
22.33	是我由埃及地领你们出来，为作为你们的天主：我是上主。」
	
23.0t	
	
23.1t	应守的节日
	
23.1	上主训示梅瑟说：「
23.2	你告诉以色列子民说：以下是我的节日，是你们应召集圣会的上主节日。 
	
23.3t	安息日
	
23.3	六天工作，但第七天，应是完全休息的安息日，应召集圣会，任何工作都不可做；在你们任何住处，这日是应为上主守的安息日。
23.4	以下是上主的节日，你们应依照时期召集圣会： 
	
23.5t	逾越节
	
23.5	正月十四日傍晚，应为上主守逾越节。
23.6	这月十五日，应为上主守无酵节，七天之内，应吃无酵饼。
23.7	第一日，应召集圣会，任何劳工都不可做；
23.8	七天内，应给上主奉献火祭；到第七日，应召集圣会，任何劳工都不可做。」 
	
23.9t	春季荐新节
	
23.9	上主训示梅瑟说：「
23.10	你告诉以色列子民说：几时你们进入了我赐给你们的地方，在那里有一收获，应把你们收获的第一束交给司祭。
23.11	司祭应拿这一束行摇礼，献于上主面前，好为你们获得悦纳；司祭应在安息日的次日行摇礼。
23.12	在你们拿这一束行摇礼的那一天，还应给上主献一只一岁无瑕的公羔羊，作全燔祭；
23.13	同献的素祭，应是十分之二「厄法」油调的细面，作为中悦上主的馨香火祭；再加四分之一「辛」酒，作为奠祭。
23.14	直到那一天，即直到你们给你们的天主奉献祭品的一天，你们不可吃新麦做的饼，烤的或新鲜的麦穗：这为你们世世代代，在任何住处，是一永久的法令。 
	
23.15t	五旬节
	
23.15	从你们献麦束行摇礼的安息日的次日，应计算整个七星期，
23.16	即直到第七个安息日后的次日，共计五十天，那天应给上主奉献荐新的素祭。
23.17	由你们的住处带来两个行摇礼的饼，每个用十分之二「厄法」的发酵细面烤成，献与上主作初熟之祭。
23.18	饼以外，还应奉献七只一岁无瑕的公羔羊，一头公牛犊和两只公绵羊，作献与上主的全燔祭；还有同奉献的素祭和奠祭，作为中悦上主的馨香火祭；
23.19	还应献一只公山羊作赎罪祭，两只一岁的公羔羊作和平祭。
23.20	司祭应拿这两只公羔羊同初熟祭的饼，在上主面前行奉献的摇礼；这是属于上主的圣物，应归于司祭。
23.21	在这一日，你们应召集圣会，任何劳工也不可做：这为你们世世代代，在任何住处，是一永久法令。
23.22	当你们收割你们地内的庄稼时，你不可割到地边；收获后剩下的穗子，不可再拾，应留给穷人和外方人：我，上主是你们的天主。 
	
23.23t	新年节
	
23.23	上主训示梅瑟说：「
23.24	你告诉以色列子民说：七月初一，为你是完全休息的日子，应吹号角，召集圣会，
23.25	任何劳工都不可做，应给上主献一火祭。」 
	
23.26t	赎罪节
	
23.26	上主训示梅瑟说：「
23.27	还有七月初十是赎罪节，是你们应召集圣会的日子，要克己苦身，并给上主奉献一火祭。
23.28	这一天，任何工作都不可做，因为是赎罪节，应在上主你们的天主面前，为你们自己行赎罪祭。
23.29	这一天，凡不克己苦身的人，应由民间铲除；
23.30	这一天凡做任何工作的人，我必由民间消灭这人；
23.31	任何工作不可做：这为你们世世代代，在任何住处，是一永久法令。
23.32	这是你们应完全休息的安息日，应克己苦身。这月初九傍晚，到次日傍晚，你们应守这安息日。」 
	
23.33t	帐棚节
	
23.33	上主训示梅瑟说：「
23.34	你告诉以色列子民说：七月十五是帐棚节，应为上主举行七天：
23.35	第一天应召集圣会，任何劳工都不可做，
23.36	七天之久，应给上主献火祭；到第八天，又应召集圣会，给上主献火祭；这天是盛大集会的日子，任何劳工都不可做。
23.37	以上是上主的节日，你们应召集圣会，照每日的规定应给上主献火祭、全燔祭、素祭、祭献和奠祭；
23.38	此外，还有在上主的安息日，你们献于上主的礼品、还愿祭和自愿祭。
23.39	七月十五日，你们收了那地方的出产，应七天举行上主的节期：第一天和第八天应完全休息。
23.40	第一天，你们应拿著树木结的美果、棕榈树枝、叶密的大树枝和溪边的柳条；如此七天之久，应在上主你们的天主面前喜乐。
23.41	你们每年应七天之久举行这上主的节日，且应在七月举行这节日：这为你们世世代代是一永久的法令。
23.42	七天之久，你们应住在帐棚内，凡以色列公民，都应住在帐棚内，
23.43	好叫你们的后代知道，当我领以色列子民出离埃及国的时候，曾使他们住在帐棚内：我，上主是你们的天主。」
23.44	梅瑟就这样给以色列子民宣布了上主的节日。
	
24.0t	
	
24.1t	长明灯和供饼
	
24.1	上主训示梅瑟说：「
24.2	你吩咐以色列子民给你拿由橄榄榨的清油来，为点灯用，好叫灯光长明不熄。
24.3	亚郎应将灯放在会幕内，约柜帐幔外，自晚上到早晨常点在上主面前：这为你们世世代代是永久的法令。
24.4	亚郎应把这些灯放在纯金台上，在上主面前长燃不熄。
24.5	你应拿细面，烤成十二个饼，每个是十分之二「厄法」；
24.6	将饼排成两行，六个一行，供在上主面前的纯金桌上。
24.7	每行应撒上纯乳香，作为食物当献与上主的火祭，为获得记念。
24.8	每安息日，应将饼不断地供在上主面前，这是以色列子民因永久的盟约而当行的义务。
24.9	这些应归亚郎和他的儿子；他们应在圣地方吃，因为这是上主火祭中至圣之物，是他永享的权利。 
	
24.10t	亵圣的处罚
	
24.10	当时在以色列子民中有一个人，他的母亲是以色列人，父亲是埃及人。这以色列女人的儿子在营地内与一个以色列人争吵；
24.11	以色列女人的儿子咒骂亵渎了上主的名，人们就带他去见梅瑟，──这人的母亲叫舍罗米特，是丹支派狄贝黎的女儿，──
24.12	将他看守起来，等梅瑟依照上主的训令给他们处理。
24.13	于是上主训示梅瑟说：「
24.14	你带这犯亵渎罪的人营外去，凡听见他说亵渎话的人，都按手在他头上，然后令全体会众用石头砸死他。
24.15	你应这样告诉以色列子民说：凡亵渎天主的，应负罪债；
24.16	那不避讳「雅威」之名的，应处死刑，全体会众应用石头砸死他；不论外方人或本地人，若不避讳「雅威」的名，应处死刑。 
	
24.17t	报复律
	
24.17	凡打死人的，应处死刑。
24.18	凡打死牲畜的，应该赔偿：以命还命。
24.19	人若加害自己的同胞，他怎样待人，人也怎样待他：
24.20	以伤还伤，以眼还眼，以牙还牙；他怎样害了人，人也怎样害他。
24.21	凡打死牲畜的，应该赔偿；凡打死人的，应处死刑。
24.22	为你们，不论是外方人或本地人，只有一样法律；因为我上主是你们的天主。」
24.23	梅瑟这样训示了以色列子民；他们就把这犯亵渎罪的人带到营外，用石头砸死。以色列子民全照上主吩咐梅瑟的做了。
	
25.0t	
	
25.1t	安息年
	
25.1	上主在西乃山训示梅瑟说：「
25.2	你告诉以色列子民说：几时你们进入了我要赐给你们的地方，这地方将为上主守安息。
25.3	六年之内，你可播种田地；六年之内，你可修剪葡萄园，收获其中的出产。
25.4	但到第七年，地应完全休息，是上主的安息年。你不可播种田地，也不可修剪葡萄园；
25.5	连你收获后而自然生出的，你也不可收割；葡萄树未加修剪而结的葡萄，你也不可采摘；是地完全休息的一年。
25.6	地在休息期而自然生出的，可供你们吃：即供给你、你的仆婢、佣工和与你同住的客人吃。
25.7	地自然生的，也可供给你的牲畜和你地中的走兽吃。 
	
25.8t	喜年
	
25.8	你应计算七个安息年，即七乘七年；七个安息年的时期，正是四十九年。
25.9	这年七月初十，你应吹号角，即在赎罪节日，你们应在全国内吹起号角，
25.10	祝圣第五十年，向全国居民宣布自由；为你们是一喜年，人各归其祖业，人各返其家庭。
25.11	第五十年为你们是一喜年，不可播种；自然生出的，不可收获；葡萄树未加修剪而结的葡萄，不可采摘，
25.12	因为这是喜年，为你们应是圣年；你们只可吃田地自然生的。
25.13	在这喜年内，人各归其祖业。
25.14	为此，如你卖给你的同胞产业，或由你的同胞购买，你们不可彼此欺压；
25.15	你应照上次喜年后的年数由你同胞购买，他应照收获的年数卖给你。
25.16	年数越多，你越应多付买价；年数越少，越应少付买价，因为他卖给你的是物产的数目。
25.17	为此，你们不可彼此欺压，但应敬畏你的天主，因为我上主是你们的天主。
25.18	你们应遵行我的法令，遵守我的规定，一一依照执行，好叫你们平安地住在这地上，
25.19	地必供给出产，使你们吃饱，平安住在地上。
25.20	若你们追问说：到第七年，我们若不能播种，又不能收集我们的出产，我们吃什么？
25.21	在第六年上，我必决定祝福你们，叫地有三年的出产；
25.22	你们在第八年上播种时，还吃陈粮；直到第九年，直到收割新粮时，还有陈粮吃。 
	
25.23t	土地赎回法
	
25.23	土地不可出卖而无收回权，因为地是我的，你们为我只是旅客或住客。
25.24	对你们所占的各地，应承认地有赎回权。
25.25	如果你的兄弟贫穷，卖了一份家产，他的至亲可来作代赎人，赎回他兄弟所卖的家产。
25.26	人若没有代赎人，几时自己富足了，有了足够的赎价，
25.27	当计算卖出后的年数，将差额还给买主，收回自己的家产。
25.28	如果他无法获得足够的赎价，他所卖的，应存于买主之手直到喜年；到了喜年，地应退还，卖主收回自己的家产。 
	
25.29t	房屋赎回法
	
25.29	若人卖了一所在城墙内的住宅，自卖出后，一年内，他有赎回的权利；他赎回的权利为期一年。
25.30	如果满了一年，他没有赎回，在城墙内的房屋应归买主与其后代，再无收回权；即使到了喜年，亦不应退还。
25.31	但房屋在没有围墙的村庄内，应算是田产，有赎回的权利；到了喜年应该退还。
25.32	至于肋未人得为产业的城市中的房屋，肋未人永享有赎回权。
25.33	如一肋未人在他得为产业的城市出卖的房屋，没有赎回，在喜年仍可收回，因为肋未城中的房屋，是他们在以色列子民中所得的不动产。
25.34	但是，他们城外四郊之地，不可变卖，因为是永属他们的产业。 
	
25.35t	对同胞不可取利
	
25.35	如果你的兄弟贫穷，无力向你还债，你应像待外方人一样或旅客一样扶持他，叫他能与你一起生活。
25.36	不应向他索取利息或重利，但应敬畏你的天主，让他与你一起生活，如你的兄弟。
25.37	借给他银钱，不可取利息；借给他粮食，不可索重利。
25.38	我上主是你们的天主，我领你们离开埃及地，将客纳罕地赐给你们，是为做你们的天主。 
	
25.39t	以色列人为奴的法律
	
25.39	若你身旁的兄弟穷了，卖身给你，你不可迫他劳作如同奴隶一样；
25.40	他在你身旁，应像佣工或外侨，给你工作直到喜年。
25.41	那时，他和他的子女应离开你，回本家，复归其祖业；
25.42	因为他是我的仆役，是我由埃及地领出来的；他们不能卖身，如同出卖奴隶。
25.43	你不可虐待他，但应敬畏你的天主。
25.44	你需要的奴婢，应来自四周的民族，由他们中可购买奴婢。
25.45	此外，可从同你们住在一起的外方人中，或从他们在你们境内所生的后代子孙中，购买奴婢。这些奴婢可成为你们的产业，
25.46	可将他们留给你们的后代子孙，当作永久的产业，使他们劳作。至于你们的兄弟以色列子民，彼此既是兄弟，不可严加虐待。
25.47	若外方人，或寄居在你处的人成了富翁，你的兄弟反而穷了，欠他的债，而卖身给寄居在你处的外方人，或外方人家中的后代；
25.48	卖身以后，仍享有赎回的权利；他的任何一个兄弟可以赎他；
25.49	他的叔伯，或他叔伯的儿子可以赎他；他家中的任何至亲骨肉都可以赎他；如他自己致富，亦可自赎。
25.50	他应同购买自己的人，计算从卖身给他以后到喜年的年数；赎价应依照年数的多少，并按照佣工每日的工价决定；
25.51	如剩下的年数尚多，他应依照年数的多少，出一部份赎价来赎身。
25.52	如直到喜年剩下的年数不多，应这样计算：依照年数的比例交付赎价。
25.53	买主对他应像每年雇的工人；他不可当著你虐待那人。
25.54	如果那人不能这样赎身，到了喜年，他可与儿女自由离去。
25.55	因为以色列子民只对我是奴隶，他们是我的奴隶，是我领他们离开了埃及地：我，上主是你们的天主。
	
26.0t	
	
26.1t	守法的祝福
	
26.1	你们不可制造神像，亦不可立雕像或石柱；在你们境内，亦不可安置石像，供人朝拜，因为我上主是你们的天主。
26.2	你们应遵守我的安息日，尊敬我的圣所；我是上主。
26.3	如果你们履行我得法令，遵守我的命令，一一依照执行，
26.4	我必按时给你们降下雨露，地必供给出产，田野的树木必结出果实。
26.5	你们打禾必打到收葡萄的时期，收葡萄必收到播种的时期；你们必有粮食吃饱，在境内安居乐业。
26.6	我必赐国内太平，你们睡下，没有惊扰；我必使境内的猛兽消灭，刀剑也不侵入你们境内。
26.7	你们追击仇敌时，他们必在你们面前丧身刀下。
26.8	你们五人要追击一百，你们百人要追击一万；你们的仇敌必在你们面前丧身刀下。
26.9	我必眷顾你们，使你们繁殖增多；我必固守我与你们所立的盟约，
26.10	你们要吃久藏的陈粮，要清出陈粮，为贮藏新粮。
26.11	我必在你们中间安置我的住所，再不厌恶你们
26.12	我必住在你们中间，做你们的天主，你们做我的百姓。
26.13	我上主是你们的天主，是我领你们出离了埃及地，不再做他们的奴隶；是我打断了你们轭上的横木，令你们昂首前进。 
	
26.14t	违法的祸患
	
26.14	但是，如果你们不听从我，不执行这一切命令；
26.15	如果你们弃绝我的法令，厌恶我的制度，不遵行我的一切命令，而破坏我的盟约，
26.16	我必要这样与你们作对，使你们恐怖，患肺痨疟疾，眼目昏花，心灵憔悴；你们的种子，白白播种，因为你们的仇敌要来吃尽。
26.17	我要板起脸来与你们作对，你们必为仇敌击溃，那仇恨你们的要压制你们；虽然没有人追赶，你们也要望风而逃。
26.18	如果这样你们还不听从我，为了你们的罪恶，我必要加重七倍惩罚你们，
26.19	粉碎你们矜夸的力量，使你们的苍天如铁，使你们的土地像铜，
26.20	使你们白费气力，地不供给出产，田野的树木也不结果实。
26.21	如果你们还与我作对，不愿听从我，我必按照你们的罪恶，加重七倍打击你们，
26.22	使野兽来伤害你们，夺去你们的子女，残害你们的牲畜，减少你们的人口，使你们的街市变成废墟。
26.23	如果我用这些事还不能惩戒你们，你们仍然与我作对，
26.24	我也要与你们作对，为了你们的罪恶，必要加重七倍打击你们。
26.25	我必令刀剑临于你们，为报复违背盟约的罪；如果你们退入城市，我必使瘟疫来害你们，叫你们落在仇人手内。
26.26	当我给你们断绝了粮源时，十个女人要在一口灶上烤饼，按定量给你们配给粮食；你们虽然吃，却吃不饱。
26.27	如果这样，你们还不听从我，仍然与我作对，
26.28	我必发怒来与你们作对，为了你们的罪恶，我必加重七倍惩罚你们。
26.29	你们要吃你们儿子的肉，连你们女儿的肉也要吃。
26.30	我必破坏你们的丘坛，砍倒你们的香台，将你们的尸首堆在你们的偶像的尸首上。我必厌恶你们。
26.31	使你们的城市变为旷野，圣所化为废墟，不愿再闻你们祭品的馨香。
26.32	我必使你们的地化为废墟，甚至你的仇人来居住时，还惊奇不已。
26.33	我必将你们分散在各民族中，我要拔剑追逐你们，使你们的地成为废墟城市变为旷野。
26.34	当那地方变成荒野，而你们侨居在仇人的地方时，这整个时期，那地才补上了安息的时候；那时地要休息，补享安息年。
26.35	那地方荒凉的整个时期内，才得到安息，补享你们居住时，在你们的安息年内，未享到的安息。
26.36	至于你中残存的人，我必使他们在仇人的地方胆战心惊，甚至风吹落叶声也把他们吓跑，逃跑有如逃避刀剑；虽然无人追赶，他们也跌倒在地。
26.37	虽然无人追赶，他们却一人倒在另一人身上，如面临刀剑。你们决不能抵挡你们的仇人，
26.38	只有在各民族中消灭，仇人的土地要把你吞下。
26.39	你们中残存的人，必为了自己的罪恶，在仇人的地方，日渐衰弱，还要为了祖先的罪恶，日渐衰弱。 
	
26.40t	以色列要回头改过
	
26.40	他们终必承认自己的罪恶，祖先的罪恶，对我不忠与我作对的叛逆之罪。
26.41	当我与他们作对，将他们迁送到他们仇人的地方以后，他们未受割损的心，必会谦卑自下，要心甘情愿受罚赎罪，
26.42	我也想起我同雅各伯所结的盟约，想起同依撒格，同亚巴郎所结的盟约，也想起那地方来。
26.43	但那地方应为他们所放弃，好在他们离去，地方荒芜时，才能补享安息年，同时他们也补赎自己的罪恶，这是因为他们弃绝了我的制度，厌恶了我的法令。
26.44	但是，即使这样，当他们留在仇人的地方时，我仍不弃绝他们，也不厌恶他们，以致消灭他们，废除我与他们结的盟约，因为我上主是他们的天主。
26.45	我顾念他们，我还要想起我与他们的祖先所结的盟约；我在各民族的眼前，由埃及地领出他们的祖先来，为做他们的天主：我是上主。」
26.46	这是上主在西乃山，于自己和以色列子民间，藉梅瑟所立定的法令、制度和法律。」
	
27.-1t	附 录
	
27.0t	
	
27.1t	人的估价
	
27.1	上主训示梅瑟说：「
27.2	你告诉以色列子民说：若人以人身许愿，应将人身的代价献给上主，
27.3	由二十岁到六十岁的男人，根据圣所的「协刻耳」，估价应是五十银「协刻耳」；
27.4	若是女人，估价应是三十「协刻耳」。
27.5	由五岁到二十岁，若是男性，估价应是二十「协刻耳」，女性为十「协刻耳」。
27.6	由一月到五岁，若是男性，估价为五银「协刻耳」；若是女性，估价为三银「协刻耳」。
27.7	六十岁以上的人，若是男性，估价为十五「协刻耳」，女性为十「协刻耳」。
27.8	但若是人穷，不能支付这估价，应带他到司祭面前。司祭估定他的价格；司祭要按许愿人的财力，估定价格。 
	
27.9t	兽类的估价
	
27.9	如所许的是可献于上主作祭品的兽类，献于上主的任何走兽，应视为圣的，
27.10	不可更换，不可替代，不能以好换坏，或以坏换好；如果人拿一只走兽还另一只，以前所许的和以后所换的，都应视为圣的。
27.11	如所许的是一只不洁，不堪献于上主作祭品的走兽，就应将它牵到司祭前，
27.12	司祭估定它的好坏；司祭估多少；就是多少；
27.13	如许愿的人愿把它赎回，除了司祭估定的价值外，还应加五分之一。 
	
27.14t	房屋的估价
	
27.14	若人把自己的房屋，献于上主，司祭应估定它的好坏；司祭估多少，就是多少。
27.15	如果献房屋的人愿再赎回，除估定的价值外，还应加五分之一，房屋才可归他。 
	
27.16t	田地的估价
	
27.16	若人将自己的一部份田产献于上主，估价应按地播种所需要的数量；一「荷默尔」大麦种子，为五十银「协刻耳」。
27.17	若人由喜年起，献了自己的田地，这个估价就是定价；
