1.-1t	上编 以色列人出离埃及(1-18)
20.23	为此，你们决不可制造金银神像，同我放在一起；你们万不可作。
20.24	你应用土为我筑一祭坛，在上面祭献你的全燔祭与和平祭，以及你的牛羊；凡在我叫你称颂我名的地方，我必到你那里祝福你。
20.25	你若用石头为我筑一祭坛，不可用打成方块的石头建筑，因为在石头上动用了你的刀凿，就把石头亵渎了。
20.26	你不可沿著台阶登我的祭坛，免得暴露你的裸体。
	
21.0t	
	
21.1t	仆婢法
	
21.1	你要在众人前立定这些法度：
21.2	假使你买了一个希伯来人作奴隶，他只劳作六年，第七年应自由离去，无须赎金。
21.3	他若单身而来，也应单身而去；他若娶了妻子来的，也应让他的妻子与他同去。
21.4	若主人给他娶了妻子，妻子也生了子女，妻子和子女都应归于主人，他仍要单身离去。
21.5	若是那奴隶声明说：我爱我的主人和妻子子女，我不愿离去作自由人。
21.6	他的主人应领他到天主前，然后领他到门口或门框前，用锥子穿透他的耳朵，如此他可长久服事主人。
21.7	假使有人将女儿卖作婢女，她不可像男仆那样离去。
21.8	若主人已定她为自己的妻子，以后又厌恶了她，应许她赎身，但因主人对她失了信，不能把她卖给外方人民。
21.9	若主人定了她作自己儿子的妻子，就应以待女儿的法律待她。
21.10	若主人为自己另娶了一个，对前妻的饮食、衣服与合欢之谊，不可减少。
21.11	若对她不实行这三条，她可以离去，无赎金或代价。
	
21.12t	杀人或伤人的赔偿法
	
21.12	凡打人至死的，应受死刑。
21.13	但若不是有意杀人，而是天主许他的手行的，我给你指定一个他可以逃避的地方。
21.14	假使有人向人行凶，蓄意谋杀，应将他由我的祭坛前抓来处死。
21.15	凡打父亲或母亲的，应受死刑。
21.16	凡拐带人口的，无论已将人卖了，或者还在他手中，都应受死刑。
21.17	凡咒骂父亲或母亲的，应受死刑。
21.18	假使两人吵架，一人用石头或锄头打了另一人，被打的人未死，却应卧床休养，
21.19	他以后若能起床，能扶杖出外，打他的人，可免处分，但应赔偿他失业的损失，把他完成医好。
21.20	假使有人用棍杖打奴仆或婢女被打死在他手中，必受严罚。
21.21	但若奴婢还活了一两天，便不受处分，因为他是用银钱买来的。
21.22	假使人们打架，撞伤了孕妇，以致流产，但没有别的损害，伤人者为这罪应按女人的丈夫所提出的，判官所断定的，缴纳罚款。
21.23	若有损害，就应以命偿命，
21.24	以眼还眼，以牙还牙，以手还手，以脚还脚，
21.25	以烙还烙，以伤还伤，以疤还疤。
21.26	假使有人打坏奴仆或婢女的一只眼睛，为了他的眼睛应让他自由离去。
21.27	若有人打掉奴隶或婢女的一只牙，为了他的牙应让他自由离去。
	
21.28t	牲畜伤人赔偿法
	
21.28	牛无论骶死男或女，应用石头砸死这牛，并且不许吃它的肉，牛主不受惩罚。
21.29	但若这只牛以前骶过人，牛主也受过警告，而仍不加防范，这牛无论骶死男女，牛应砸死，牛主也应受死刑。
21.30	若是给他提出了赎价，他应照所提出的一切数目缴纳赎命罚金。
21.31	牛若骶死了男女儿童，也应照这法律处理。
21.32	牛若骶死了一个奴仆或婢女，应给仆婢的主人三十银「协刻耳，」牛应砸死。
	
21.33t	伤害牲畜赔偿法
	
21.33	假使有人敞著旱井，或挖掘旱井时，不加掩盖，无论牛或驴陷在里面，
21.34	井主应赔偿，应给牛主银钱，死的牲畜归自己。
21.35	假使一人的牛骶死别人的牛，应把活牛卖了，银钱平分，死牛也平分。
21.36	但若查明这只牛从前骶死过牛，牛主又不加以防范，牛主应该赔偿，以牛还牛，死牛归自己。
	
21.37t	偷窃赔偿法
	
21.37	假使有人偷了牛或羊，无论是宰了或卖了，应用五头牛赔偿一头牛，四只羊赔偿一只羊。
	
22.0t	
	
22.1	窃贼若在挖窟窿时，被人逮住打死，打的人没有流血的罪。
22.2	若太阳已出来，打的人就有流血的罪。窃贼必须偿还，他若一无所有，应卖身还他所偷之物。
22.3	所偷之物无论是牛或驴或羊，若在他手中被寻获时还活著，应加倍偿还。
22.4	假使有人在田地和葡萄园放牲口，让牲口到别人的田地去吃，应拿自己田地或园中最好的出产赔偿。
22.5	假使放火烧荆棘而烧了别人的麦捆或庄稼或田地，点火的人应赔偿。
	
22.6t	托管物遗失赔偿法
	
22.6	假使有人将银钱或物品交人保存，而银钱或物品从这人家中被偷去，若贼人被寻获，应加倍赔偿。
22.7	若寻不到贼人，家主应到天主前作证，自己没有伸手拿原主之物。
22.8	关于任何争讼案件，不拘是对牛、驴、羊、衣服或任何遗失之物，若一个说：这是我的。两人的案件应呈到天主前；天主宣布谁有罪，谁就应加倍赔偿。
22.9	假使有人将驴、牛、羊，或任何牲口托人看守，若有死亡或断了腿，或被抢走，而又没有人看见，
22.10	应在上主前起誓定断两人的案件，证明看守者没有动手害原主之物；原主若接受起的誓，看守者就不必赔偿；
22.11	若是由他手中偷去，他应赔偿原主；
22.12	若被野兽撕裂了，他应带回作证明，为撕裂之物就不必赔偿。
22.13	假使有人借用人的牲口，牲口若断了腿或死亡，而原主不在场，就应赔偿。
22.14	若原主在场，就不必赔偿；若是雇来的，已有佣金作赔偿。
	
22.15t	保障人权法
	
22.15	假使有人引诱没有订婚的处女，而与她同睡，应出聘礼，聘她为妻。
22.16	若她的父亲坚决不肯将女儿嫁给他，他应付出和给处女作聘礼一样多的银钱。
22.17	女巫，你不应让她活著。
22.18	凡与走兽交合的，应受死刑。
22.19	在唯一上主以外，又祭献外神的，应被毁灭。
22.20	对外侨，不要苛待和压迫，因为你们在埃及也曾侨居过。
22.21	对任何寡妇和孤儿，不可苛待；
22.22	若是苛待了一个，他若向我呼求，我必听他的呼求，
22.23	必要发怒，用刀杀死你们：这样，你们的妻子也要成为寡妇，你们的儿子也要成为孤儿。
22.24	如果你借钱给我的一个百姓，即你中间的一个穷人，你对他不可像放债的人，向他取利。
22.25	若是你拿了人的外氅作抵押，日落以前，应归还他，
22.26	因为这是他唯一的铺盖，是他盖身的外氅；如果没有它，他怎样睡觉呢？他若向我呼号，我必俯听，因为我是仁慈的。
22.27	不可咒骂天主，不可诅咒你百姓的首长。
22.28	不可迟延献你丰收的五谷和初榨的油；你子孙中的长子，都应献给我。
22.29	对于你牛羊的首生也应这样行；七天同它母亲在一起，第八天应把它献给我。
22.30	你们为我应做圣善的人；田间被野兽撕裂的肉，不可以吃，应仍给狗吃。
	
23.0t	
	
23.1t	判官应有的正义
	
23.1	不可传播谣言；不可与恶人携手作假见证。
23.2	不可随从多数以附和恶事；在争讼的事上，不可随从多数说歪曲正义的话。
23.3	在争讼的事上，也不可偏袒弱小。
23.4	假使你遇见你仇人的牛或驴迷了路，应给他领回去。
23.5	假使你遇见你仇人的驴跌卧在重载下，不可弃而不顾，应帮助驴主卸下重载。
23.6	你对穷人的诉讼，不可歪曲他的正义。
23.7	作伪的案件，你应戒避。不可杀无辜和正义的人，因为我决不以恶人为义人。
23.8	不可受贿赂，因为贿赂能使明眼人眼瞎，能颠倒正义者的言语。
23.9	不可压迫外侨，因为你们在埃及国也作过外侨，明了在外作客的心情。
	
23.10t	安息年与安息日
	
23.10	你应种地六年之久，收获地的出产；
23.11	但第七年，你应让地休息，把出产留给你百姓中的穷人吃；他们吃剩的，给野兽吃。对葡萄和橄榄园，也应这样行。
23.12	六天内你应工作，第七天要停工，使你的牛驴休息，使你婢女的儿子和外侨都获得喘息。
23.13	凡我吩咐你们的，都应遵守。你们不可提及外神的名字，决不可让人由你口中听到。
	
23.14t	以色列的庆节
	
23.14	每年三次应为我举行庆节。
23.15	应遵守无酵节：照我所命的，在阿彼布月所定的日期，七天之久吃无酵饼，因为你在这个月离开了埃及。谁也不可空著手到我台前来。
23.16	又应遵守收成节，即你在田地播种劳力之后，献初熟之果的庆节。还应遵守收藏节，即在年尾，由田地中收敛你劳力所得的庆节。
23.17	你所有的男子一年三次应到上主台前来。
23.18	不可同酵面一起祭献牺牲的血；不可把我节日的牺牲脂肪留到早晨。
23.19	你田中最上等的初熟之果，应献到上主你天主的殿中；不可煮山羊羔在其母奶中。
	
23.20t	应许与训戒
	
23.20	看我在你面前派遣我的使者，为在路上保护你，领你到我所准备的地方。
23.21	在他面前应谨慎，听他的话，不可违背他，不然他决不赦免你们的过犯，因为在他身上有我的名号。
23.22	如果你听从他的话，作我所吩咐的一切，我要以你的仇人为仇，以你的敌人为敌。
23.23	我的使者将走在你前，领你到阿摩黎人、赫特人、培黎齐人、客纳罕人、希威人和耶步斯人那里；我要消灭他们。
23.24	他们的神像，你不可朝拜，也不可事奉，也不可作那些人所作的；反之，应彻底破坏那些神像，打碎他们的神柱。
23.25	你们事奉上主你们的天主，他必祝福你们的饼和水，使疾病远离你们。
23.26	在你境内没有流产和不育的妇女；我要满你一生的寿数。
23.27	我要在你前显示我的威严；凡你所到之处，我要使那里的百姓慌乱，使你的一切仇敌见你而逃。
23.28	我要在你前打发黄蜂，将希威人、客纳罕人和赫特人，由你面前赶走。
23.29	我不在一年之内将他们由们你面前赶走，免得田地荒芜，野兽多起来害你。
23.30	我要渐渐将他们由你面前赶走，一直到你繁殖增多起来，能占领那地为止。
23.31	我要划定你的国界，由红海直到培肋舍特海，从旷野直到大河；并将那地的居民交在你手中，你要将他们由你面前赶走，
23.32	决不可与他们和他们的神立约，
23.33	决不准他们住在你境内，免得引你得罪我，引你事奉他们的神：这为你是一种陷阱。」
	
24.0t	
	
24.1t	立约的仪式
	
24.1	上主以后向梅瑟说：「你和亚郎、纳达布、阿彼胡，以及以色列长老中的七十人到上主那里；你们都在远处跪下朝拜。
24.2	然后梅瑟一人要走近上主，别人不可走近，百姓也不准同他上山。」
24.3	梅瑟下来将上主的一切话和诫命讲述给百姓听，众百姓都同声回答说：「凡上主所吩咐的话，我们全要奉行。」
24.4	梅瑟遂将上主的一切话记录下来。第二天清晨，梅瑟在山下立了一座祭坛，又按以色列十二支派立了十二根石柱，
24.5	又派了以色列子民的一些青年人去奉献全燔祭，宰杀了牛犊作为献给上主的和平祭。
24.6	梅瑟取了一半血，盛在盆中，取了另一半血洒在祭坛上。
24.7	然后拿过约书来，念给百姓听。以后百姓回答说：「凡上主所吩咐的话，我们必听从奉行。」
24.8	梅瑟遂拿血来洒在百姓身上说：「看，这是盟约的血，是上主本著这一切话同你们订立的约。」
24.9	随后梅瑟、亚郎、纳达布、阿彼胡和以色列长老中的七十人上了山，
24.10	看见了以色列的天主，看见在他脚下好像有一块蓝玉作的薄板，光亮似蓝天。
24.11	他们虽看见了天主，天主却没有下手害以色列的首领们，他们还能吃能喝。
	
24.12t	梅瑟独自留在山上
	
24.12	以后上主向梅瑟说：「你上山到我台前，停留在那里，我要将石版，即我为教训百姓所写的法律和诫命交给你。」
24.13	梅瑟和他的侍从若苏厄起身上天主的山时，
24.14	梅瑟向长老们说：「你们在这里等候我们回到你们这里。你们有亚郎和胡尔同你们在一起。谁有争讼的事，可到他们那里去。」
24.15	梅瑟上了山，云彩就把山遮盖了。
24.16	上主的荣耀停在西乃山上，云彩遮盖著山共六天之久，第七天上主从云彩中召叫了梅瑟。
24.17	上主的荣耀在以色列子民眼前，好像烈火出现在山顶上。
24.18	梅瑟进入云彩中，上了山；梅瑟在山上停留了四十天，四十夜。
	
25.-1t	下编 制定宗教敬礼(25-40)
	
25.0t	
	
25.1t	捐献修建圣所的材料
	
25.1	上主训示梅瑟说：「
25.2	你吩咐以色列子民，叫他们送给我献仪。凡甘心乐捐的人，你们可以收下他们献于我的献仪。
25.3	以下是你们要接受的献仪：金银铜，
25.4	紫色、红色、朱红色的毛线，细麻和山羊毛，
25.5	染红的公羊皮、海豚皮和皂荚木，
25.6	灯油，为傅体用的油和焚香的香料，
25.7	红玛瑙石和为镶在「厄弗得」和胸牌上的各种宝石。
25.8	他们要为我建造一座圣所，好让我住在他们中间。
25.9	我现今指示你作帐棚和其中一切器皿的式样，要完全按照式样去制造。
	
25.10t	约柜式样
	
25.10	应用皂荚木制造一个柜，长二寸半，宽一肘半，高一肘半；
25.11	要内外全包上纯金，上端周围应镶上金花边。
25.12	铸四个金环，安在柜的脚上：这边两个，那边两个。
25.13	用皂荚木作两根杠杆，包上金；
25.14	将杠杆穿入柜边的环内，作抬柜之用。
25.15	穿入柜环内的杠杆，不可抽出。
25.16	将我要交给你的约版放在柜内。
25.17	用纯金做赎罪盖，长二肘半，
25.18	宽一肘半。在赎罪盖的两端用锤工造一对金革鲁宾，
25.19	在这端做一个革鲁宾，在那端做一个革鲁宾，应使两端的革鲁宾与赎罪盖连在一起。
25.20	革鲁宾的翅膀应伸开遮住赎罪盖；他们的脸彼此相对，面朝赎罪盖。
25.21	你把赎罪盖安装在约柜上面，将我交给你的约版放在柜内。
25.22	我要在那里与你会晤，从赎罪盖上，从约柜上的两革鲁宾中间，将我命令以色列子民的一切事，都告诉给你。
	
25.23t	供桌式样
	
25.23	用皂荚木做一张供桌，长二肘，宽一肘，高一肘半，
25.24	包上纯金，周围做上金花边。
25.25	周围做上一掌宽的框子，框子四周也做上金花边。
25.26	还要作四个金环，将这些金环安在桌四脚的角上。
25.27	环子要靠近框子，为穿抬供桌的杠杆。
25.28	用皂荚木做两根杠杆，包上金，为抬供桌之用。
25.29	再制造供桌上的盘、碟、杯和奠祭用的爵，全用纯金制造。
25.30	要常常在供桌上，在我面前摆上供饼。
	
25.31t	灯台式样
	
25.31	用纯金制造一座灯台，要用锤工打成这灯台；灯台灯干和花朵，即花托与花瓣，都应由灯台发出。
25.32	灯台两面发出六叉：这面三叉，那面三叉。
25.33	在一叉上应有像杏花的三朵花，有花托和花瓣；在另一叉上应有像杏花的三朵花，有花托和花瓣；由灯台所发出的六叉都要这样。
25.34	在灯台的直干上应有像杏花的四个花朵，有花托和花瓣。
25.35	由灯干发出的每两叉之下，各有一个花朵；从灯干发出的六个叉都应如此。
25.36	这些花朵和灯叉应由灯台发出，全用整块纯金锤成。
25.37	灯台上应做七盏灯，把七盏灯放上，使光照耀灯台前面的空间。
25.38	灯台的灯剪和碟子，应是纯金的。
25.39	为制造灯台和这些用具，应用一「塔冷通」钝金。
25.40	要留神按照在山上指示给你的式样去做。
	
26.0t	
	
26.1t	帐棚的布幔和顶
	
26.1	至于帐棚，应用十幅布幔做成；布幔用捻的细麻，紫色、红色、朱红色的毛线织成，用锈工绣上革鲁宾。
26.2	每幅布幔长二十八肘，宽四肘；每幅布幔都是一样的尺寸。
26.3	五幅布幔相连缝在一起，另五幅也相连缝在一起。
26.4	在这一组布幔末幅的边上，应做上紫色的钮；另一组布幔末幅的边上，也应这样作。
26.5	在这一幅上应做五十个钮，在另一组布幔末幅的边上，也应做上五十个钮，这些钮彼此相对。
26.6	又做五十个金钩，用钩子使两组布幔彼此相连，成为一个帐棚。
26.7	再用山羊毛做布幔，作帐棚顶之用；共做布幔十一幅。
26.8	每幅长三十肘，宽四肘；十一幅布幔都是一样的尺寸。
26.9	五幅布幔缝在一起，另六幅也缝在一起，但第六幅应在棚顶前面叠起。
26.10	在这一组布幔末幅的边上，做上五十个钮，在另一组布幔末幅的边上，也做上五十个钮，
26.11	再制五十个铜钩穿入钮内：这样使棚顶连结在一起，成为一个。
26.12	至于棚顶布幔多出的那一部份，即余下的半幅布幔，应垂在帐棚后边。
26.13	棚顶布幔的长度多出来的每边一肘，应垂在帐棚的两边，好遮住帐棚。
26.14	再用染红的公羊皮蒙在棚顶上，上边再蒙上海豚皮。
	
26.15t	帐棚的木架
	
26.15	应用皂荚木做支帐棚用的木板。
26.16	每块木板高十肘，宽一肘半。
26.17	每块木板下要做两个笋头，彼此并列；帐棚所有的木板，全都这样做。
26.18	支帐棚的木板，在向阳的一面，即南边，应做二十块木板；
26.19	在二十块木板下边做四十个银卯座，每块木板下两个卯座，为安木板的两笋头。
26.20	为帐棚的另一面，即北边，也应做二十块木板，
26.21	也做四十个银卯座，每块木板下两个卯座。
26.22	为帐棚的后面，即西边，要做六块木板；
26.23	在帐棚后面的两角上，各做两块木板；
26.24	木板下端应是双的，直到上端第一环，都应是双的。两块木板都应这样做，形成两个角。
26.25	所以共有八块木板，十六个银卯座，每块木板下两个卯座。
26.26	再用皂荚木做横木：为帐棚的这一面木板做五根，
26.27	为帐棚另一面木板，也做五根横木；为帐棚后面，即西边的木板，也做五根横木。
26.28	在木板中间的那根横木，应从这头穿到那头。
26.29	木板应包上金，穿横木的环子应是金做的，横木也包上金。
26.30	应依照在山上指示给你的式样，建造帐棚。
	
26.31t	帐幔与门廉
	
26.31	应用紫色、红色、朱红色的毛线和捻的细麻做帐幔，用绣工绣上革鲁宾。
26.32	将帐幔挂在四根包金的皂荚木柱子上；柱钉应是金的，柱子应安在四个银卯座上。
26.33	帐幔悬在钩上；将约柜抬到里面即帐幔后面：这样帐幔给你们隔成圣所和至圣所。
26.34	将赎罪盖安在至圣所内的约柜上。
26.35	将供桌放在帐幔外边；将灯台安置在帐棚的南边，对著供桌，所以应把供桌放在北边。
26.36	再用紫色、红色、朱红色的毛线和捻的细麻，编织会幕的门廉。
26.37	为挂门廉应做五根皂荚木柱子，包上金，柱钉应是金的；为柱子再铸五个铜卯座。
	
27.0t	
	
27.1t	全燔祭坛式样
	
27.1	应用皂荚木做一祭坛：长五肘，宽五肘，祭坛为方形，高三肘。
27.2	在祭坛四角上做四翘角，四翘角应由祭坛突出，祭坛要包上铜。
27.3	再做收灰的盆、、盘、肉叉和火盆：这一切用具都应是铜做的。
27.4	为祭坛要做一架铜格子，好像网的制法，在网的四角上安上四个铜环，
27.5	将网安在坛下方的围腰下，直到祭坛半腰。
27.6	再为祭坛做两根扛杆，杠杆是皂荚木的，包上铜。
27.7	杠杆应穿在环子内；抬祭坛时，杠杆常在祭坛两边。
27.8	祭坛应用木板做成，中心是空的。在山上怎样指示了给你，就怎样去做。
	
27.9t	庭院式样
	
27.9	应做帐棚的庭院：为向阳的一面，即南面，用捻的细麻做庭院的帷幔；这一面长一百肘。
27.10	柱子二十根，铜卯座二十个，柱钩和横棍是银的。
27.11	为北面也是一样：帐幔长一百肘，柱子二十根，铜卯座二十个，柱钩和横棍是银的。
27.12	庭院的西面，帷幔宽五十肘，柱子十根，卯座十个。
27.13	庭院的前面即东面，宽五十肘；
27.14	这一边帷幔十五肘，柱子三根，卯座三个；
27.15	另一边帷幔也十五肘，柱子三根，卯座三个。
27.16	庭院的大门：门廉宽二十肘，是用紫色、红色、朱红色的毛线和捻的细麻织成的：柱子四根，卯座四个。
27.17	庭院所有的柱子，周围用银横棍连贯起来；所有的钩子是银的，卯座是铜的。
27.18	庭院长一百肘，宽五十肘，高五肘；帷幔是细麻捻的，卯座是铜的。
27.19	帐棚内凡是敬礼用的一切器物，帐棚和庭院的一切橛子，都是铜的。
	
27.20t	燃灯规定
	
27.20	你应吩咐以色列子民，叫他们把榨得的橄榄清油给你送来，为点灯用，好使灯时常点著。
27.21	在会幕内，在约柜前的帐幔外，亚郎和他的子孙应使这灯，由晚上到早晨，常在上主前点燃：这是以色列子民世世代代当守的常例。
	
28.0t	
	
28.1t	拣选司祭规定礼服
	
28.1	你应从以色列子民中叫你的哥哥亚郎同他的儿子们，即亚郎和他的儿子，纳达布、阿彼胡、厄肋阿匝尔和衣塔玛尔，一起来到你前，立他们作我的司祭。
28.2	应给你的哥哥亚郎做圣衣，以示庄严美观。
28.3	凡我使之具备艺术天才的艺术人员，你应吩咐他们为亚郎做服装，祝圣他作我的司祭。
28.4	他们应做的服装如下：胸牌、厄弗得、无袖长袍、织成的长衣、礼冠和腰带。他们为你的哥哥亚郎和他的儿子们做这些圣衣，叫他们做我的司祭。
28.5	他们应用金线，紫色、红色、朱红色的毛线和细麻去做。
	
28.6t	厄弗得的式样
	
28.6	他们应用锈工以金线，紫色、红色、朱红色的毛线，和捻的细麻做厄弗得。
28.7	两条肩带应结连在厄弗得的两端。
28.8	将厄弗得束在身上用的带子，也应像厄弗得一样的做法，与厄弗得连在一起，全是用金线、紫色、朱红色的毛线和捻的细麻做成。
28.9	再取两块红玛瑙石，将以色列的儿子的名字刻在上面，
28.10	六个名字刻在一块宝石上，另六个名字刻在另一块宝石上，全照他们出生的次序。
28.11	以玉工雕刻法，好似刻印章，把以色列的儿子们的名字刻在这两块宝石上，嵌在金框内。
28.12	再将这两块宝石，即以色列子民的纪念石，挂在厄弗得的肩带上；亚郎要在上主前常在两肩上带著他们的名字，好获得纪念。
28.13	要做两个金框，
28.14	两条纯金的链子，要像做绳子一样拧成，把这像绳子的金链结在框子上。
	
28.15t	胸牌的式样
	
28.15	应以绣工做判断的胸牌，像做厄弗得，用金线，紫色、红色、朱红色的毛线和捻的细麻去做。
28.16	胸牌要方形，双层，一作长，一作宽。
28.17	将镶嵌的宝石安装在上面，排成四行：第一行：赤玉、青玉、翡翠：
28.18	第二行：紫宝石、蓝玉、金钢石；
28.19	第三行：黄玛瑙、白玛瑙、紫晶；
28.20	第四行：黄玉、红玛瑙、水苍玉；这些宝石都嵌在金框内。
28.21	按照以色列的儿子的名字，宝石应有十二块，按刻印法，每块刻一个名字，代表十二支派。
28.22	为胸牌再做两条纯金链子，像绳子一样拧成。
28.23	在胸牌上做两个金环，将两个金环安在胸牌的两端，
28.24	将那两条金链结在胸牌两端的环子上，
28.25	把两条链子的另两端，结在那挂在厄弗得的肩带前面的两个框子上。
28.26	再做两个金环，安在胸牌的下两端，靠近厄弗得的内边缘上。
28.27	再做两个金环，安在厄弗得前面两肩带的下边，靠近厄弗得带子的上边与肩带相连结的地方。
28.28	用一根紫绳把胸牌的环子系在厄弗得的环子上，使胸牌结在厄弗得的带子上，免得胸牌在厄弗得上移动。
28.29	如此亚郎进圣所时，在他的胸前，在判断的胸牌上带著以色列儿子们的名字，为在上主前常获得纪念。
28.30	在决断的胸牌内应放上乌陵和突明，几时亚郎进到上主前常带在亚郎胸前：如此亚郎在上主前时，胸前常带著为以色列子民行决断的工具。
	
28.31t	长袍的式样
	
28.31	再为厄弗得做一无袖长袍，应全是紫色毛线的。
28.32	中间留一领口，领口周围叫织工做上边，像战袍的领口，免得破裂。
28.33	在长袍底边周围做上紫色、红色、珠红色的毛线石榴；在石榴中间，周围再做上金铃铛：
28.34	如此在长袍底边周围，一个金铃铛，一个石榴；一个金铃铛，一个石榴。
28.35	当亚郎穿著行礼时，能听见他进圣所到上主前，或者出来的声音，免得他死亡。
	
28.36t	礼冠的式样
	
28.36	应用纯金制一个牌子，在上面像刻印章刻上「祝圣于上主。」
28.37	用紫绳子将牌子系在礼冠上，即系在礼冠的前面。
28.38	那牌常在亚郎的额上，好叫亚郎担当以色列子民祝圣各种圣物时，干犯圣物的罪过；那牌常在亚郎的额上，为使人民在上主前获得悦纳。
28.39	应用细麻编制长衣，并用细麻做礼冠；腰带应是编成的。
	
28.40t	司祭的礼服
	
28.40	也要为亚郎的儿子们做长衣、腰带和头巾，以示庄严美观。
28.41	你把这些服装给你哥哥亚郎和他的儿子穿上；给他们傅油，授与圣职，祝圣他们做我的司祭。
28.42	还应给他们用麻布做裤子，从腰部直到大腿，遮盖他们的裸体。
28.43	当亚郎和他的儿子们进入会幕或走近祭台，在圣所内行礼时，要穿上裤子，免得招致惩罚死亡：这为亚郎和他的后代是永远的规律。
	
29.0t	
	
29.1t	祝圣司祭仪式
	
29.1	你为祝圣他们作我的司祭，应行以下的事：牵一头公牛犊和两只无残疾的公绵羊，
29.2	准备无酵饼，油调的无酵糕，油抹的无酵薄饼：这些都应用细麦面做成，
29.3	放在篮子内，连篮子也带来，并将那头公牛和两只绵羊牵来；
29.4	然后领亚郎和他的儿子们到会幕门口，先叫他们沐浴，
29.5	以后拿过服装来，给亚郎穿上长衣，和挂厄弗得的无袖长袍，佩上厄弗得和胸牌，系上厄弗得带子，
29.6	把礼冠戴在他头上，将金牌系在礼冠上。
29.7	再拿傅礼用的油倒在他头上，给他傅油。
29.8	以后叫他的儿子们前来，给他们穿上长衣，
29.9	给他们束上腰带，缠上头巾；如此，使他们尽司祭之职，成为永远的规律：你要这样授与亚郎和他儿子们圣职。
	
29.10t	祝圣司祭的祭献
	
29.10	以后把牛犊牵到会幕前边，亚郎和他的儿子们按手在牛犊头上。
29.11	你要在上主前，在会幕门口宰杀那牛犊，
29.12	取些牛血，用你的手指抹在祭坛的各角上，把其余的血倒在祭坛脚前。
29.13	再取出遮盖内脏的一切脂肪、肝叶、两肾和两肾上的脂肪，放在祭坛上焚烧，使烟升起。
29.14	牛犊的肉、皮和粪，应在营外用火焚化，因为这是赎罪祭。
29.15	以后把公绵羊牵来，亚郎和他的儿子们按手在羊头上。
29.16	然后你宰杀这羊，取些羊血洒在祭坛周围。
29.17	再把羊切成碎块，把内脏和腿洗净，放在肉块与羊头上，
29.18	在祭坛上焚烧整个公绵羊，使烟升起；这是献给上主的全燔祭，是中悦上主的馨香火祭。
29.19	再把另一只公绵羊牵来，亚郎和他的儿子们按手在羊头上。
29.20	此后你宰杀这羊，取一些血，抹在亚郎和他儿子们的右耳垂上，抹在他们的右手拇指和右脚大趾上，其余的血洒在祭坛周围。
29.21	以后取祭坛上的一点血和傅礼的油，洒在亚郎和他的衣服上，洒在他的儿子们和他们的衣服上：这样他和他的衣服，他们和他们的衣服，都成了圣的。
29.22	再从公绵羊身上取出脂肪、肥尾，遮盖内脏的脂肪、肝叶，两肾和两肾上的脂肪以及右后腿，──因为这是授圣职时所献的公绵羊；
29.23	然后从摆在上主前的无酵饼篮内，拿出一个圆饼，一个油调的饼，一个薄饼，
29.24	都放在亚郎和他儿子们手上，在上主前行奉献的摇礼；
29.25	以后从他们的手里接过来，在祭坛上按全燔祭的礼仪焚烧，使烟升起，作为上主悦纳的馨香：这是献给上主的火祭。
29.26	以后你把亚郎受圣职时所献的公绵羊的胸部拿来，在上主前行奉献的摇礼，它就成了你的一分。
29.27	你要声明摇过的胸，举过的腿，即亚郎和他儿子们受圣职时，所摇过的公绵羊的胸和所举过的腿是圣的。
29.28	这是亚郎和他的儿子们在以色列子民中永远所享的权利，因为是举过的祭品；举过的祭品，就是从以色列子民所献的和平祭品中，取出举献于上主的一部份。
29.29	亚郎的圣衣应传给他的子孙，他们穿上这些圣衣才能接受傅油，接受圣职。
29.30	他的子孙中凡接位当司祭，进会幕在圣所行礼的，应七天之久穿这些圣衣。
	
29.31t	祭餐
	
29.31	你要拿受圣职时所献的公绵羊，在圣处煮它的肉。
29.32	亚郎同他的儿子们须要在会幕门口吃这羊肉和篮中的饼，
29.33	只许他们吃授圣职和祝圣他们时所献的赎罪祭品，外人不许吃，因为是圣物。
29.34	授圣职时所献的祭肉和饼，若到早晨还有剩下的，应把剩下的用火焚化，不准再吃，因为是圣物。
29.35	你应照我吩咐你的，向亚郎和他的儿子们行这一切：七天之久给他们行授职典礼。
	
29.36t	祝圣全燔祭坛
	
29.36	每天你应献一只牛犊当赎罪祭，为赎罪；你应在祭坛上行赎罪祭，使祭坛洁净，而且要给祭坛傅油，使之为圣。
29.37	要七天之久为祭坛行洁净礼，使之为圣：如此祭坛就成了至圣的；凡触摸祭坛的，也成为圣的。
	
29.38t	每日的全燔祭
	
29.38	你每天应照常在祭坛上奉献两只一岁的羔羊：
29.39	早晨献一只，傍晚献一只。
29.40	与头一只羊同献的，还有十分之一「厄法」细面，调和上四分之一「辛」榨得的油，和四分之一「辛」的酒作奠祭。
29.41	与傍晚那一只同献的，如早晨的素祭和奠祭一样，作为上主悦纳的一种馨香的火祭。
29.42	这是你们世世代代，在会幕门口，在上主前应不断献的全燔祭；我要在那里与你会晤，在那里向你讲话。
29.43	我也要在那里与以色列子民会晤，此地要因我的光荣被尊为圣。
29.44	我要祝圣会幕和祭坛，也要祝圣亚郎和他的儿子们，使他们成为我的司祭。
29.45	我要住在以色列子民中，作他们的天主。
29.46	他们要承认我上主是他们的天主，领他们出离了埃及地，为住在他们中间：我上主是他们的天主。
	
30.0t	
	
30.1t	香坛
	
30.1	你应做焚香的坛，用皂荚木制造，
