1.-1t	德训篇
23.15	还有促人早死的话，希望这样的话，总不出现在雅各伯的家业中。
23.16	虔敬的人，必远离这一切事；他们不会辗转在这些罪恶中。
23.17	不要习惯说粗鲁的话，因为其中总有有罪的话。
23.18	你坐在大人物中时，要记得你的父母，
23.19	怕你在他们面前，忘了父母，以致因你的习惯，做出胡涂的事来，受到凌辱，遂诅咒你的生辰，深愿你没有生在世上。
23.20	惯说责斥话的人，一生不能自律。
	
23.21t	力戒邪淫
23.21	有两种人，恶贯满盈，而第三种人，更招致义怒与丧亡。
23.22	炽烈的情欲，像燃起的火，不到烧完，决不熄灭。
23.23	作贱自己肉身的人，不到欲火焚尽，也决不停止。
23.24	纵欲的人，一切食物都是香甜的，至死不厌。
23.25	离开自己的床，去犯奸淫轻贱自己的人，心里说：「谁能看见我﹖
23.26	黑暗笼罩着我，墙壁遮蔽着我，没有人能看见我，我还怕什么﹖至高者决不会记念我的罪恶。」
23.27	他不明白至高者的眼目，透视一切；怕人之情，驱散了他敬畏天主的心，使他只怕人的眼目。
23.28	他不知道上主的眼目，比太阳还要光亮万倍。他环视人类的一切行径，透视深渊、人心和最隐密的幽处。
23.29	万物在受造以前，上主天主就认识；完成之后，也是如此。
23.30	奸淫的人必在城市的街道上，受到惩罚；像马驹一般被人追击，在他不料想的地方被人捉住。
23.31	因为他不知敬畏上主，所以人人都以他为耻。
23.32	凡离弃丈夫，藉外人生了子嗣的女人，也是如此。
23.33	第一、因为她不忠于至高者的法律；第二、因为她得罪自己的丈夫；第三、因为他通奸犯淫，借外人生了孩子。
23.34	她要被拉到集会中，审问她关于子女的事。
23.35	她的子女不会生根，她的枝叶也不会结果实。
23.36	她遗留下的记念是咒骂，她的耻辱不会抹去。
23.37	幸存的人，应该知道：没有什么比敬畏上主更美好，也没有什么比遵循上主的诫命更甘饴。
23.38	跟随上主是人的莫大光荣，人还可因此获享长寿。
	
	
24.0t	第二十四章(47)
	
24.1t	智慧当受赞扬
24.1	智慧要称扬自己，因天主而受光荣，在她的民族中，要取得荣耀；
24.2	在至高者的集会中，要开启自己的口；在他的军旅前，要夸耀自己；
24.3	在他的百姓中，要受举扬；在圣民间，要受景仰；
24.4	在被选者的群众中，要被称赞；在蒙祝福者中，要蒙祝福；说：
	
24.5t	智慧从永远就有
24.5	我由至高者的口中出生，我在一切化工以先，是首先出生的。
24.6	我使天上发出不灭的光明，彷佛是遮盖大地的一片云彩。
24.7	我住在极高之处，我的宝座是在云柱之上。
24.8	惟有我绕行周天，走遍深渊的深处；
24.9	行走在沧海的波涛上，站立在普世上。
24.10	我在万民和列国中，掌握无上威权。
24.11	我以德能，平定了一切显贵与卑微人的心；在这一切当中，我曾寻找安息之处，但我究竟应住在谁家﹖
24.12	那时，创造万物的主宰，给我出了命令，也告诉了我；那造化我的，给我的帐幕指定了位置，
24.13	说道：你要住在雅各伯那里，在以色列中建立产业，在我的选民中生根。
24.14	起初，当世界未有以前，他就造了我，我永远不会消灭。在神圣的帐幕里，我曾在他面前供职。
24.15	这样，我就定居在熙雍山上；同样，他使我在他钟爱的城里安息，使我在耶路撒冷有权势。
24.16	我在显耀的民族中，就是在上主的地域，他的家业内生根；我的居所，是在满是圣者的中间。
24.17	我长高，如黎巴嫩的香柏，又如赫尔孟山上的扁柏；
24.18	我高峻，如恩革狄的棕树，有如耶里哥的玫瑰树。
24.19	我好象平原上一棵美丽的橄榄树，又像一棵耸立在街道溪畔的白杨。
	
24.20t	智慧的各种美德
24.20	我发散馨香如肉桂，如芬芳的防风；我散布甘美的芳香，有如精制的没药。
24.21	我好象安息香树、白松香、红螺、安息油液，又好象帐幕里乳香的烟气；我的芳香像纯粹的防风露。
24.22	我如同笃耨香树，伸展了我的枝叶；我的枝叶壮丽而雅致。
24.23	我如同葡萄树，发出美丽的枝芽；我的花结的果实，光鲜而味美。
24.24	我是纯爱、敬畏、智德和圣望的母亲。
24.25	我具有真道和真理的一切优美；我具有生命和道德的一切希望。
24.26	凡渴望我的，请到我这里来，饱食我的果实；
24.27	因为，我的记念，比蜜还甜；我的遗产，胜过蜂蜜和蜂房；
24.28	我的记念，万世常存。
24.29	凡食我的，还要饥饿；凡饮我的，还要饥渴。
24.30	听从我的，不会蒙羞；因我而行事的，不会犯罪；
24.31	传扬我的，必得常生。
	
24.32t	智慧的真谛蕴藏在圣经里
24.32	生命的道理和真理的智识，这一切都包含在至高天主的盟约书上。
24.33	这约书含有梅瑟颁布给我们的法律，就是给雅各伯的会众作产业，给以色列作应许，而蕴藏正义诫命的法律。
24.34	上主曾应许自己的仆人达味，要从他的后裔中，兴起一位强而有力的君王，永远坐在光荣的宝座上。
24.35	这法律充满智慧，有如丕雄，又如收成期间的底格里斯；
24.36	洋溢智慧，有如幼发拉的，又如收割之日的约但；
24.37	阐明教诲，有如尼罗，又如收葡萄时的基红。
24.38	最初那个领悟她的人，还没有完全洞悉；最后的一个，也没有完全领会；
24.39	因为她的思想，比海洋还广；她的智谋，比深渊还深，
	
24.40t	智慧浸润人有如江河
24.40	我智慧，倾泻成河；
24.41	我如江河洪水的支流，我如从河里引出的水道，我如通到乐园的水渠。
24.42	我说：我要浇灌我的花园，我要滋润我的菜田。
24.43	请看，我的支流，成了江河；我的江河，成了海洋。
24.44	我还要使圣道发光，有如晨曦；使它照耀，直到远方。
24.45	我要浸透世上的一切洼地，垂顾一切熟睡的人，光照一切仰望上主的人。
24.46	我还要传播圣道，有如神谕；我要将她留给永世，留给寻求智慧的人们；我要不断地将她留给他们的后裔，直到神圣的永世。
24.47	你们看：我劳苦，并不是单为我自己，也是为一切寻求智慧的人们。
	
	
25.0t	第二十五章(36)
	
25.1t	什么事应当称赞
25.1	有三件事，我心中喜乐，这三件事也是上主与世人喜爱的，就是：
25.2	兄弟和睦，邻人友爱，夫妇同心。
25.3	有三种人，我心中憎恨；他们的生活，是我厌恶的，就是：
25.4	傲慢的穷人，诡诈的富人，和淫乱无知的老人。
25.5	你青年时，没有积蓄，到你老时，你能有什么﹖
25.6	白发老人，善于判断；年高的人，会出主意，是多么美好!
25.7	老年人富有智慧；有荣名的人，聪明而有智谋，何其相称!
25.8	阅历丰富，是老年人的荣冠；敬畏上主，是他们的光荣。
25.9	有九件事，我心中以为是幸福的；但第十件事，我的口舌更要向人讲述，那就是：
25.10	因子女而喜乐，在世上见到敌人失败的人；
25.11	能与明智的妇女同居，不使牛驴同轭耕作，口舌没有错过，及不事奉自己属下的人，是有福的；
25.12	发现明智，和讲给听众的人，是有福的；
25.13	找到智慧和明智的人，是多么伟大!但是无人能超过敬畏上主的人。
25.14	敬畏上主，超越一切。
25.15	获得敬畏上主之情的人，是有福的；怀有敬畏上主之情的人，谁能与他相比﹖
25.16	敬畏上主，是爱上主的初步；信德是依附上主的起源。
	
25.17t	恶妇使人畏惧厌恶
25.17	最有损害的，是内心的忧愁；最坏的，是妇女的丑行。
25.18	一切打击都可忍受，但不愿忍受心中的打击；
25.19	一切恶毒都可忍耐，但不愿忍耐妇人的恶毒；
25.20	一切侵害都可接受，但不愿接受仇恨者的侵害；
25.21	一切报复都可承当，但不愿承当敌人的报复。
25.22	没有比蛇毒更毒的，没有比妇女发怒更暴哮的。
25.23	我宁愿与狮龙共处，不愿与恶妇同居。
25.24	妇人的邪恶，使自己的脸面变色，变成丑黑，有如熊脸，彷佛麻袋。
25.25	她的丈夫一和近人同坐，她就不由地悲伤叹息。
25.26	一切恶毒，与妇人的恶毒相比，都算轻微；愿罪人的命运，落在她身上。
25.27	老年人的脚，难上沙坡；安静的丈夫，难以容忍多言的妻子。
25.28	不要因妇女的美丽，陷于罪过；也不要因她美丽，就贪恋她。
25.29	令人感到愤怒侮辱与奇耻的事是：
25.30	妇人供养自己的丈夫。
25.31	恶妇使人意志颓唐，面带忧色，心受创伤。
25.32	丈夫手弱膝软，是因为妻子使他陷于不幸。
25.33	罪恶的起源，来自妇女；为了她，我们都要死亡。
25.34	不要给水留漏洞，连微小的漏洞也不要留，不要给恶妇任何自由。
25.35	她若不随从你的指使，在仇人前侮辱你，
25.36	就应把她从你身上割去，免得她常虐待你。
	
	
26.0t	第二十六章(28)
	
26.1t	贤妇与恶妇的对比
26.1	有贤妻的丈夫，是有福的!他的寿数必要增加一倍。
26.2	有才能的妇人，是丈夫的喜乐，使他在平安中终其天年。
26.3	有贤妇为妻，是一种福分；但是只有敬畏上主的人，因自己的善行，才能得到她。
26.4	她不论是富是贫，心神总是快乐，时常面带笑容。
26.5	有三件事，我心中恐惧，对第四件事，我更害怕，那就是：
26.6	市民的控告，暴徒的集会，
26.7	诬妄的诽谤：这一切比死亡更为不幸；
26.8	但是，嫉妒别的妇女的女人，令人心痛悲伤；
26.9	她向众人传话的舌头，是一条鞭子。
26.10	恶妇有如摆动的牛轭，谁要管治她，无异是用手去捉蝎子。
26.11	好醉酒的妇女，是大怒的原因；她的耻辱和丑态，不能隐藏。
26.12	眼波流动，是妇女淫荡的表示；从她的眉毛，可以认出。
26.13	对无耻的女儿，你应严加管束，怕她有机可乘，就放纵起来。
26.14	你要留心，不要顺从无耻的眼睛；否则，她若冒犯你，你就不用惊奇。
26.15	就如渴了的旅客，一到了水旁，不管遇到的是什么水，就张口去喝；同样，淫妇坐在任何木椿前，向射来的箭，张开箭袋，直到她疲乏为止。
26.16	谨勤妇女的温柔，使自己的丈夫欢乐；她的明智，使丈夫骨骼丰满。
26.17	沉默寡言而明智的妇女，是上主的恩赐。
26.18	受过好教养的人，是无价之宝。
26.19	圣洁而知耻的妇女，乃无上的恩赐。
26.20	贞洁的灵魂，实尊贵无比。
26.21	在秩序井然的家庭里，贤妇的美丽，有如在上主的至高之天，上升的太阳；
26.22	她那健康身材上所衬托的美貌，有如神圣灯台上发光的灯；
26.23	她那双在结实脚跟上的美腿，有如银座上的金柱。
26.24	圣妇心里的天主诫命，有如坚固盘石上的永久基础。
	
26.25t	开始论述各种罪恶及其结果
26.25	有两件事，我心中忧伤，而对第三件事，我更愤怒，那就是：
26.26	战士为穷苦所困，明智人被人轻视，
26.27	离弃正义而偏向罪恶的人，上主为他准备了刀剑。
26.28	有两件事，依我看来，又难又危险，那就是：商人很难不犯罪，店员难免不失言。
	
	
27.0t	第二十七章(33)
	
27.1t	戒避悭吝与贪财
27.1	许多人为了财利犯罪；图谋发财的，必转眼不顾正义。
27.2	像木橛插在两块石头之间，罪恶亦钻进买卖之中。
27.3	但罪恶与犯罪的人，都要同归于尽。
27.4	你若不用心坚持敬畏上主，你的家庭，必要迅速破落。
	
27.5t	说话要干净诚实
27.5	筛筛子，总留下一些渣滓；人的言谈，也总有些不干不净。
27.6	炉火试炼陶人的陶器，言谈试验人的人格。
27.7	一棵树的栽培，可由它所结的果实看出；同样，一个人的心意，可从他思想后所说的话看到。
27.8	在人未发言以前，不要赞美他，因为人的好坏，从言谈中才可见到。
	
27.9t	要时常追求正义
27.9	如果你追求正义，你必能获得，披戴她有如光荣的礼服；同她一起居住，她要永远保护你，在审判之日，你就有了依靠。
27.10	鸟兽与同类相聚，真理也必归于实行真理的人。
27.11	狮子时常伏击猎物，罪恶也同样暗算作恶的人。
	
27.12t	义人恶人言谈迥异
27.12	虔敬人的言论，常是智慧的；愚人的变化，好似月亮。
27.13	往愚人中间去，要看时间；往有思想的人那里，却可常去。
27.14	愚人的谈论，令人生厌；他们在罪恶的放荡中，才有欢笑。
27.15	好发誓的人所说的话，使人毛发悚然；他的争辩，令人塞耳不闻。
27.16	骄傲人争斗，必发生流血事件；他们的辱骂，骇人听闻。
	
27.17t	待朋友要忠信
27.17	谁泄露朋友的秘密，就失了信任，他再不会找到一个知心的朋友。
27.18	你应爱你的朋友，对他要忠信，
27.19	但若你泄漏了他的秘密，就不必再追随他了。
27.20	谁失掉近人的友谊，就如丧失了自己的产业。
27.21	你拋弃了的朋友，正如从你手中放走的飞鸟，莫想他再回来。
27.22	不要追赶他，因为他已远去，他已逃走，像一只脱了罗网的羚羊一样；因为他的心已受了创伤，
27.23	你再不能和他交接。有了伤痕，还可以包扎，辱骂之后，还可以言归于好；
27.24	但是，若泄漏了朋友的秘密，不幸的心灵就没有希望了。
	
27.25t	口是心非的人神人共愤
27.25	以目示意而作恶的人，逃不了灾祸。
27.26	在你面前，他会口甜如蜜，钦佩你的言辞；但以后却要改口，攻击你的言论。
27.27	我憎恨的事很多，但都不如他，连上主也要憎恨他。
	
27.28t	害人反害己
27.28	那往上扔石头的，石头反而砸在他的头上；那阴险打击人的，自己反而受伤。
27.29	挖掘陷阱的，自己反而跌在里面；给人放绊脚石的，自己反被绊倒；架设罗网的，自己反被捉捕；
27.30	作恶造孽的，自己反受其累，他还不知道祸患从何而来。
27.31	讥笑责斥，是骄傲人的表现，惩罚却像埋伏的狮子在等候他。
27.32	见虔敬的人跌倒，而喜乐的人，必要陷于罗网，并且在死以前，备受痛苦。
	
27.33t	宽恕人的也必得宽恕
27.33	忿恨与生气，二者都是可憎恶的，但罪人却坚持不放。
	
	
28.0t	第二十八章(30)
28.1	凡报仇的，必要遭遇到上主的报复，上主必要保留他的罪。
28.2	你要宽恕你近人的过错；这样，当你祈求时，你的罪恶也会得到赦免。
28.3	人若对人怀怒，怎能向上主求饶﹖
28.4	对自己同类的人没有慈爱，怎能为自己的罪过求赦﹖
28.5	他既是血肉之人，竟然怀怒，而向天主求赦罪之恩，谁能赦免他的罪﹖
28.6	你要记得最后的结局，而停止仇恨；
28.7	你要记得腐烂与死亡，而遵照诫命生活。
28.8	你要记得天主的诫命，不要向人发怒；
28.9	你要记得至高者的盟约，宽恕别人的过错。
	
28.10t	避争吵戒谗言
28.10	你要避免争论，如此，你就可以减少罪过；
28.11	因为容易发怒的人，能激起争论；犯罪的人，使朋友不安；他在安享和平的人中，散布谗言。
28.12	根据燃料，可知火势如何；争吵若是激烈，可见斗争的情形；人的怒气，是因他的势力而起；他的忿怒，是随他的财富而升。
28.13	激烈的口角，容易惹起怒火；激烈的争辩，容易流血；妄证的口舌，致人死命。
28.14	你若在火星上吹气，火就燃起；你若在火星上吐唾沫，火就熄灭；二者都来自口中。
28.15	搬弄是非的，和一口两舌的人，是可咒骂的，因为他们使许多安享和平的人丧亡。
28.16	挑拨的舌头扰乱许多人，使他们从这一国流亡到那一国；
28.17	倾覆了坚固的城池，推翻了贵族人的家庭；
28.18	使民族的力量衰弱，使强盛的人民流亡。
28.19	挑拨的舌头，从家庭中逐出了英勇的妇女，掠夺了她们劳力所得的利益。
28.20	谁听从这样的舌头，就不得安息；在他的家里，再也没有平安。
28.21	鞭打存青痕，舌击碎人骨。
28.22	剑刺死的人虽多，还不如舌害死的人多。
28.23	凡躲避了恶舌，没有经过它的怒气，没有负过它的重轭，没有受过它锁链捆绑的人，是有福的!
28.24	因为，它的轭是铁轭，它的链是铜链。
28.25	它造成的死亡，是悲惨的，阴府也比它好受。
28.26	但是，它决不能控制虔敬的人，却能把住不义之人的路径，它的火焰不能焚烧虔敬的人。
28.27	凡离弃上主的，就落在它手里，它必燃烧他们，总不止熄；它如同被放出来的狮子，袭击他们；又如豹子，撕裂他们。
28.28	请看，你要用荆棘围住你的田园，不要听从邪恶的唇舌；你要给你的口，安上门和锁。
28.29	你要把你的金银收藏起来。你要作一个天秤，来权衡你的言语；要为你的口，安上门和门闩。
28.30	你要小心，不要因口舌而失足，免得你在暗算你的敌人面前跌倒，怕你这一跌，成了不治的死症。
	
	
29.0t	第二十九章(35)
	
29.1t	论借贷
29.1	行慈善的人，必贷款与人；以手扶助人的，必遵守法律。
29.2	人在急难中，你应借钱给他；期限一到，你应把所欠的钱还给人。
29.3	你要坚守所言，对人忠实；这样，你需要的，必常能得到。
29.4	许多人将借债，当作拾来的钱，而使帮助他们的人，感到为难。
29.5	到他接钱时，他不断亲人家的手，并且因人家有钱，就低声下气；
29.6	但是，到了还债的时候，他就一再拖延，还说出无礼生厌和怨恨的话，而怪自己时运不济。
29.7	假使他能偿还，仍和人为难，而仅还一半，还认为这为债主，是拾来的钱；
29.8	假使不能，就诈取债主的钱，无故与债主成了仇人，
29.9	且报之以咒骂和嘲笑；对尊重和恩惠，而报以凌辱。
29.10	许多人不肯出借，并非出于恶意，而是怕白白受骗。
	
29.11t	论慷慨
29.11	但是，对于贫苦人，你当心胸宽大，不可叫他久等你的救济。
29.12	为守诫命，你应援助穷人；为了他的需要，你不可让他空手而归。
29.13	你宁可为兄弟和朋友，耗费你的银钱，也不要让它在石头底下生锈坏了。
29.14	要按照至高者的诫命，处理你的财宝；这比黄金为你更有益处。
29.15	应将施舍存在你的宝库里，它必能救你脱免一切灾难；
29.16	施舍胜于坚甲利器，它要替你攻打仇敌。
29.17	[原文无此节]
29.18	[原文无此节]
	
29.19t	论保证
29.19	善人为自己的近人作保，而失去廉耻的人，却弃而不顾。
29.20	不要忘掉保人的恩义，因为他为你交出自己的性命。
29.21	罪人与不洁的人，畏避保人。
29.22	罪人荡尽自己保人的财产；毫不知恩地背弃救助自己的人。
29.23	人为自己的近人作保，但这近人失掉廉耻之后，要背弃他。
29.24	担保太不谨慎，使许多生活幸福的人丧亡，颠簸他们有如海涛；
29.25	使有权势的人，流离失所，漂泊异乡。
29.26	违犯上主命令的罪人，好作不当的保证；图谋包揽事情的人，必吃官司。
29.27	你当按你的力量扶助近人，但要谨慎，不要因此跌倒。
	
29.28t	家居与作客
29.28	生活的主要物品，是水、食粮、和遮羞的衣服房屋。
29.29	在自己茅舍里，度穷人的生活，比在别人家里常有盛宴更好，因为那里不是自己的家。
29.30	东西或多或少，你要知足；如此你就不会听到客人听到的责斥。
29.31	无聊的生活，是挨户作客；在那里作客，行动既不自由，也不敢开口。
29.32	即便你款待了主人，给他酒喝，他并不领情；此外，你还要听到一些伤心的话：
29.33	「客人，过来，你去摆设宴席，把你手中所有的，拿来给我吃!
29.34	客人，看我朋友的情面，请你走罢!因为，我的兄弟到我这里来作客，要住这间房屋。」
29.35	客人受家主的责斥，债户受债主的辱骂：这等事为有感觉的人是难堪的。
	
	
30.0t	第三十章(27)
	
30.1t	教训儿女事关重大
30.1	疼爱自己儿子的，应当时常鞭打他，好能因他的将来而喜悦，免得他将来沿门乞食。
30.2	训导自己儿子的，必会因他而得幸福；在自己亲属相识前，也必会因他而自豪。
30.3	教训自己儿子的，会激起仇人的嫉妒；但在朋友前，必会因他而高兴。
30.4	他的父亲虽然死了，却像没有死一样，因为他留下了一个相似自己的人。
30.5	他在生时，一见自己的儿子，心里就喜欢；在临终时，不会忧虑，在仇人前，也不会蒙羞。
30.6	对于仇人，他留下了一个报仇的人；对于朋友他留下了一个报恩的人。
30.7	至于那放纵儿子的，日后他必包扎儿子的创伤；每听到他的叫声，心里就苦恼。
30.8	不驯服的马，是难以驾驭的；任性的儿子，必然鲁莽执拗。
30.9	姑息孩子，日后他必会使你惊骇；同他开玩笑，日后他必会使你悲伤。
30.10	不要和他戏笑，免得将来同他一起悲伤；最后切齿痛恨。
30.11	在他年轻时，不要让他放任自由；对他的过失，不可忽略不顾。
30.12	在他年轻时，要使他低首下心；趁他还小时，要叫他屈己服从，以免他转为倔强，不服从你，使你伤心。
30.13	要教训你的儿子，叫他勤劳，免得你因他的无耻，绊倒受辱。
	
30.14t	心身健康受益无穷
30.14	强健而有力的穷人，胜过受疾病折磨，而虚弱的富人。
30.15	健康和强壮的体格，尤其灵魂在正义的圣德上，所享的健康，比一切黄金更有价值；健全的身体比无数的财富更好。
30.16	没有一种财富，能胜过身体的健康；也没有一种快乐，能超过内心的喜悦。
30.17	死亡比辛酸的人生更好；永久的安息，胜于不断的病苦。
30.18	对有口不能下咽的人，端来的美味，等于设在墓旁的祭筵。
30.19	祭祀对偶像有什么用处﹖既不能吃，又不能闻：
30.20	被上主惩罚，承担自己罪孽报应的人，正是如此。
30.21	他用眼一看，就喟然长叹，正如一个阉人，拥抱着处女，而喟然长叹一样。
30.22	不要使你的心灵沉陷在忧愁里，也不要因无谓的思虑，而自寻苦恼。
30.23	心中喜乐是人的生命，是圣德的无尽宝藏；人心愉快，可享长寿。
30.24	对你的灵魂要有爱情，又要悦乐天主，克制自己，以上主的圣德，安慰你的心，使忧愁远离你。
30.25	因为忧愁害死了许多人，忧愁对人毫无益处。
30.26	嫉妒和忿怒，能使寿命缩短；苦心积虑，使人未老先衰。
30.27	心中喜乐而善良的人，必殷勤做好自己餐桌上的食物。
	
	
31.0t	第三十一章(42)
	
31.1t	善用财物乃真福
31.1	为发财而不寐，使人肉身消瘦；焦虑使人失眠。
31.2	为生活焦虑，使人梦断；极度的疲倦，驱散睡意。
31.3	富人疲劳工作，是为积蓄财产，在退休时，饱享安乐；
31.4	穷人疲劳工作，是为生活的急需，但到退休时，仍然贫乏。
31.5	凡贪爱金钱的，不能称为义人；凡追求利益的，必走入迷途。
31.6	许多人为了金钱而失足，他们的丧亡就在眼前。
31.7	金钱为拜金的人，是绊脚的木桩；迷爱黄金的人，是有祸的!一切愚人都成了它的俘虏。
31.8	无瑕可指，不追求黄金，不寄望于金钱财宝的富人，是有福的!
31.9	他是谁﹖我们要称赞他，因为他在自己民族中，行了奇异的事。
31.10	谁在这事上受过考验，而仍是齐全的人呢﹖愿永远的光荣归于他!他能犯法而未犯，能作恶而未作。
31.11	他在上主那里的幸福，必然稳定；一切圣者的集会，必要赞扬他的慈善。
	
31.12t	赴宴时应有的态度
31.12	你要赴贵族人的筵席吗﹖不要对筵席首先张口欲食，
31.13	也不要说：「桌上的东西真多!」
31.14	你要记得贪食的眼睛多么不好。
31.15	受造之物中，还有什么比眼睛更贪婪的呢﹖因此，无论见到什么，就要转动。
31.16	别人用贪婪的眼所注视的地方，你不要先伸手，免得你因被猜忌而受辱。
31.17	也不要同他一起向盘碟伸手。
31.18	你要以己度人，在一切事上要压制自己。
31.19	给你端来的东西，你吃时，要像一个有节制的人，不要狼吞虎咽，使人憎恶。
31.20	为了礼貌，你要首先停止，不要只贪多吃，而令人嫌恶。
31.21	若你在许多人中坐席，不要在他们以先伸手，也不要在他们以先要求酒喝。
31.22	为有规律的人，少许酒便够了；这样，在床上既不气喘，也不感到痛苦。
31.23	饮食有节，睡眠安逸；这样的人，清晨起来，明悟自然清爽；
31.24	但是没有节制的人，却要感到失眠、肚疼、呕吐等痛苦。
31.25	若你因被迫吃多了，你不妨起来散步呕吐，休息一下，你的身体就不至于得病。
31.26	我儿，要听我的话，不可轻视我，最后你会了解我的话；
31.27	在你所行的一切事上，务要谨慎，就不会得到什么病症。
31.28	慷慨设宴款待人的，必获得众口的称赞；他大方的盛誉，是可信的。
31.29	悭吝设宴款待人的，必遭受全城的抱怨；他悭吝的恶名，是确实的。
31.30	饮酒时，不要表示你是个豪饮的人，因为酒害死了许多人。
31.31	火能锻炼钢铁，同样，酒也能判别骄傲人在争辩时的心情。
	
31.32t	饮酒要有节制
31.32	适量的酒，彷佛是人的生命，只要你饮得适当，你必清醒舒畅。
31.33	人缺少酒，他的生活，还算什么生活﹖
31.34	残害生命的是什么﹖是死亡。
31.35	造酒原来是为使人愉快，并不是叫人酣醉。
31.36	饮酒有时有节，使人心里高兴，精神愉快。
31.37	饮酒有节有度，可以健心强身。
31.38	饮酒过度，容易使人争吵忿怒，甚至闯出许多祸来。
31.39	饮酒过度的人，因情绪受到刺激，心神自然苦闷。
31.40	酣醉能激起愚人发怒，得罪人；酣醉能减少人的精力，给人带来创伤。
31.41	在宴饮时，不要责斥人，也不要因人快乐而轻视他；
31.42	不要向人说责怪的话，也不要逼人交还什么钱财。
	
	
32.0t	第三十二章(28)
	
32.1t	宴会间主席与年长者应有的态度
32.1	别人推选你当主席吗﹖你不要自高；你在宾客中间，要与同席的一样。
32.2	招待了他们，你才可入座；尽完你的义务，才可入席，
32.3	好同他们一起欢乐；因你礼貌周到，你必能获得荣冠，和众宾客的敬意。
32.4	年长的人，请你发言，因为此事于你是相宜的，
32.5	你应以老练的学识发言，但不要防碍音乐。
32.6	别人不听的时候，你就不要劳叨；不合时机，也不要显露你的智慧。
32.7	酒席间伴奏的音乐，有如金饰上的红玉印章。
32.8	欢乐有节的宴会中，音乐家的合奏曲，有如金器上的翡翠印章。
	
32.9t	宴会间年轻人应有的态度
32.9	你要静静地听，因为你谦恭，别人对你必有好感。
32.10	青年人，人若一再追问你，
32.11	假使你必须说，你就说罢!
32.12	但说话时，要把握要点，言简意赅，现出你是一位明智，而沉默的人。
32.13	在大人物中，不要想你也是大人物；有长老在前，你不应多说话。
32.14	雷鸣以前，先有闪电；端庄的人，先受欢迎。有了这番敬意，你才能取得人的爱戴。
32.15	到了散席的时候，不要落后；及早回家，不要拖延。
32.16	在那里你可以散心，作你想作的事，但不要因言语傲慢而犯罪。
32.17	为这一切，你要赞颂上主，他造生了你，又用他的美物，使你满足。
	
32.18t	敬畏上主的与不虔敬的
32.18	凡敬畏上主的，必能接受他的教训；凡寻找他的，必能讨他的欢心。
32.19	寻求法律的，必为法律所满足；冒充善人的，必因法律而失足。
32.20	凡敬畏上主的，必获得正义的审判；他们要使正直的行为，照耀如光。
32.21	犯罪的人，不理会谴责，却找寻借口，作自己愿意的事。明智人不掩藏智慧。讥笑人的，不谨守自己的口舌；明智人不接受礼物；骄傲和讥笑人的，不遵守法律。
32.22	明智人不轻视别人的意见；不虔敬和骄傲的人，却无所畏惧。
32.23	人不征求意见，冒昧从事，事后必对自己的轻率，感到惭愧。
	
32.24t	三思而后行
32.24	我儿，不加考虑，什么事也不要作；如此，事成以后，你就不至于后悔。
32.25	你不要行崎岖的道路，怕你碰在石头上，因而跌倒；也不要因自信所走的路，是平坦的路，怕你给自己放上绊脚石。
32.26	要管束你的子女，应留意你的家人；在你的一切行径上，要持守你的心神；因为凡这样作的人，就是遵守诫命。
	
32.27t	遵守诫命的益处
32.27	在你所作的一切事上，应信赖你的良知，因为这就是遵守诫命。
32.28	凡信赖法律的，必注重诫命；凡倚赖上主的，决不会受害。
	
	
33.0t	第三十三章(33)
33.1	敬畏上主的，决不会遭遇凶恶；受诱惑时，上主必一再保全他，由凶恶中拯救他。
33.2	明智人不憎恶法律和正义；佯守法律的人，却像一只在波涛中飘荡的船。
33.3	聪明人信赖天主的法律，法律也忠于他，犹如乌陵的神谕。
33.4	解答问题时，先要准备应说的话；如此，人才听你；先将教训综合起来，然后才可作答。
33.5	愚人的心，好象车轮；他的思念，好似旋转的轮轴。
33.6	好嘲弄人的朋友，就如见了牝马的牡马，任何人骑它，它总是嘶鸣不已。
	
33.7t	阶级的区别
33.7	为什么这一天胜过那一天，虽然一年内，每天的光明，都是来自太阳﹖
33.8	太阳造成以后，循规蹈矩，因上主的智慧，日子才有了区别，
33.9	他规定了不同的时令和季节，以便在那些时节内，依时庆祝一些节日：
33.10	他将一些日子，提高列为圣日；将其余的日子，则列为平日。众人都是从土来的，因为，亚当就是用土造成的。
33.11	上主以自己的绝大智慧，使众人各有分别，使他们的道路各有不同。
33.12	他们中有被他降福而抬举的，有被他祝圣，然后引他们亲近自己的；但也有被他诅咒和贬抑，从本位上被推翻的。
33.13	有如泥土在陶工手里，可以任意捏造处置；
33.14	要做什么样式，都系于陶工的意思；同样，人在创造者手里，上主照自己的决定，来处理他们。
33.15	善与恶相对，生与死相峙，罪人也与虔敬人敌对：请看至高者的一切化工：无不两两相对，一一对立。
	
33.16t	圣作者论本书的目的并论家长
33.16	最后我也醒悟了，来搜集箴言，如同在收获葡萄的人后面，拾取残余的人；
33.17	蒙上主的降福，我预先着手工作，也像收获葡萄的人一样，填满了我的榨酒池。
33.18	请注意!我不是单为我自己劳苦，也是为一切寻求教导的人。
33.19	你们为民众官长的，请听我的话；你们为集会首领的，请侧耳静听。
33.20	几时你还在世上，不要将你的权柄，交给儿子、妻子、兄弟和朋友，也不要将你的产业，交与别人，怕你将来后悔，而有求于他们。
