1.-3t	宗徒大事录	
15.40	保禄却拣选了息拉，蒙弟兄们将他托于主的恩宠以后，	
15.41	也起身走了，他走遍了叙利亚和基里基雅，坚固各教会。	
		
		
16.-1t	保禄二次出外传教	
		
16.0t	第十六章	
		
16.1t	收弟茂德为徒　	
16.1 	保禄来到了德尔贝和吕斯特辣。在那里有个门徒，名叫弟茂德，是一个信主的犹太妇人的儿子，父亲却是希腊人，	
16.2 	在吕斯特辣及依科尼雍的弟兄们都称扬他。	
16.3 	保禄愿意他随自己同去，为了那些地方的犹太人的缘故，带他去行了割损礼，因为众人都知道他的父亲是希腊人。	
16.4 	当他们经过各城时，就将宗徒和长老在耶路撒冷所议定的规条，交给他们遵守；	
16.5 	于是各处教会信德稳固，数目天天增加。	
		
16.6t	被召往马其顿　	
16.6 	圣神既阻止他们在亚细亚讲道，他们就经过夫黎基雅和迦拉达地区，	
16.7 	到了米息雅附近，想往彼提尼雅去；可是耶稣的神不许他们去，	
16.8 	遂绕过米息雅，下到了特洛阿。	
16.9 	夜间保禄见了一个异象，有个马其顿人站着，请求他说：「请往马其顿去，援助我们罢！」	
16.10	保禄既见了这异象，我们便推知是天主召叫我们给他们宣传福音，便立即设法往马其顿去。	
		
16.11t	在斐理伯　	
16.11	我们从特洛阿开船，一直航到撒摩辣刻，第二天到了乃阿颇里，	
16.12	从那里到了斐理伯，这是马其顿一区的首城，罗马的殖民地。我们就在这城里住了几天。	
16.13	安息日，我们出了城门，到了河边，我们知道那里有个祈祷所。我们遂坐下向聚集的妇女讲话。	
16.14	有个敬畏天主的女人，名叫里狄雅，是提雅提辣城卖紫红布的，她一直在听；主开明了她的心，使她接受保禄所讲的话。	
16.15	她同她一家领了洗，便请求说：「你们若认为我是忠于主的人，就请到我家去住。」遂强邀我们去了。	
		
16.16t	驱魔　	
16.16	当我们往祈祷所去时，有个附占卜之神的女孩，向我们迎面走来；她行占卜，使她的主人们大获利润。	
16.17	她跟着保禄和我们，喊叫说：「这些人是至高者天主的仆人，他们来给你们宣布得救的道路。」	
16.18	她这样行了多日，保禄就厌烦了，转身向那恶神说：「我因耶稣基督之名，命你从她身上出去。」那恶神即刻便出去了。	
		
16.19t	与息拉一同坐监　	
16.19	她的主人们见自己获利的指望已去，便揪住保禄和息拉，拉到街市上去见首领；	
16.20	又带他们到官长前说：「这些是犹太人，他们扰乱我们的城市，	
16.21	竟传布我们罗马人所不能接受，也不能遵行的规例。」	
16.22	群众齐来攻击他们，官长就撕下了他们的衣服，下令用棍殴打。	
16.23	打了许多棍之后，就把他们押在监里，吩咐狱警小心看守；	
16.24	狱警领命，就把他们下在内监，又在他们的脚上带上木枷。	
		
16.25t	被释放的奇迹　	
16.25	约在半夜时分，保禄和息拉祈祷赞颂天主，囚犯都侧耳静听。	
16.26	忽然地震大作，甚至监狱地基都摇动了，所有的门立时开了，众人的锁链也解开了。	
16.27	狱警醒来，见监门全开着，以为囚犯都已逃走，就拔出剑来，想要自杀。	
16.28	保禄大声喊说：「不要伤害自己，我们还都在这里。」	
16.29	狱警要来了灯，就跑进去，战慄发抖地俯伏在保禄和息拉面前，	
16.30	然后领他们出来说：「先生，我当作什么才可得救﹖」	
16.31	他们说：「你信主耶稣罢！你和你一家就必得救。」	
16.32	他们就给他和他家所有的人，讲了主的圣道。	
16.33	当夜在那时刻，狱警就带他们去洗伤，他和他的亲人也都领了洗；	
16.34	遂又领他们到自己家里，摆了宴席；他和全家因信了天主，都满心喜欢。	
16.35	到了天亮，官长打发侍卫来说：「释放那些人！」	
16.36	狱警就将这话报告给保禄说：「官长打发人来释放你们，所以现在你们出来，平安去罢！」	
16.37	可是保禄向他们说：「我们是罗马人，还没有定罪，就公开鞭打我们，又把我们下在监里；现在却要秘密地赶我们出去吗﹖绝对不可！他们得亲自来领我们出去！」	
16.38	侍卫就把这话报告给官长，官长一听他们是罗马人，就害怕起来，	
16.39	遂来向他们说好话，领出后，请求他们离开那城。	
16.40	二人出了监狱，就进了里狄雅的家，会见了弟兄们，鼓励一番后，便起程走了。	
		
		
17.0t	第十七章	
		
17.1t	在得撒洛尼传教　	
17.1 	保禄和息拉经过安非颇里和阿颇罗尼亚，来到得撒洛尼，在那里有犹太人的会堂。	
17.2 	保禄照常例，到他们那里，一连三个安息日，根据圣经和他们辩论，	
17.3 	阐明指出默西亚必须受难，并从死者中复活；且说：「我向你们所传报的耶稣，就是默西亚。」	
17.4 	他们中有些人信服了，便与保禄和息拉联合，还有许多敬畏天主的人和希腊人，以及不少的显贵妇女。	
17.5 	但是，犹太人却起了嫉妒的心，聚集了一些市井败类，结伙成群，扰乱城市；又闯进雅松家里，搜寻保禄和息拉，要拉他们到民众那里。	
17.6 	但没有搜到，就把雅松和几个弟兄，拉到本城官长前，吶喊说：「这些扰乱天下的人，也到这里来了，	
17.7 	雅松竟收留了他们；这些人都背叛凯撒谕令行事，说另有一位国王，就是耶稣。」	
17.8 	他们使群众和本城官长们听了这事，都惶惶不安。	
17.9 	本城官长便由雅松及其余的人取了保状，便将他们释放了。	
		
17.10t	至贝洛雅　	
17.10	弟兄们便立即在夜间打发保禄和息拉去贝洛雅；他们到了那里，就进了犹太人的会堂。	
17.11	这里的人比得撒洛尼人开明，接受这道，极其热切，天天考究圣经，看这些事是否是真的。	
17.12	所以他们中有许多人信从了，还有许多希腊尊贵妇女，男子也不少。	
17.13	可是，得撒洛尼的犹太人，一知道保禄在贝洛雅也传开了天主的圣道，就到那里煽动扰乱群众。	
17.14	弟兄们遂立即打发保禄往海边去；息拉和弟茂德仍留在贝洛雅。	
		
17.15t	来到雅典　	
17.15	送保禄的人领他一直到了雅典；他们领了保禄的命令，叫息拉和弟茂德赶快来到他那里，以后就走了。	
17.16	保禄在雅典等候他们时，见城里满是偶像，心神很是悲愤。	
17.17	所以他就在会堂里，同犹太人和敬畏天主的人辩论，每天也在街市上，同所遇到的人辩论。	
17.18	有几个伊壁鸩鲁派和斯多噶派的哲士同他争论，有的说：「这个饶舌多言的人想说什么﹖」有的说：「看来他是个外国鬼神的宣传者」──因为保禄宣讲耶稣及复活的福音。	
17.19	他门遂带保禄，领他到了阿勒约帕哥，说：「我们可以知道你所讲的这新道理是什么吗﹖	
17.20	我们听见你说了一些新奇的事，所以我们想知道这到底有什么意思。」	
17.21	原来所有的雅典人和侨居在那里的外国人，不管其它的事，只是论谈或探听一些新奇的事。	
		
17.22t	在阿勒约帕哥讲道　	
17.22	保禄遂即站在阿勒约帕哥当中说：「众位雅典人，我看你们在各方面都更敬畏神明，	
17.23	因为我行经各处，细看你们所敬之物，也见到一座祭坛，上面写着「给未识之神。」现在，我就将你们所敬拜而不认识的这位，传告给你们。	
17.24	创造宇宙及其中万物的天主，既是天地的主宰，就不住人手所建的殿宇，	
17.25	也不受人手的侍候，好象需要什么似的，而是他将生命、呼吸和一切赏给了众人。	
17.26	他由一个人造了全人类，使他们住在全地面上，给他们立定了年限，和他们所居处的疆界；	
17.27	如他们寻求天主，或者可以摸索而找到他；其实，他离我们每人并不远，	
17.28	因为我们生活、行动、存在，都在他内，正如你们的某些诗人说的：「原来我们也是他的子孙。」	
17.29	我们既是天主的子孙，就不该想：神就像由人的艺术及思想所制的金银石刻的东西一样。	
17.30	天主对那愚昧无知的时代，原不深究；如今却传谕各处的人都要悔改，	
17.31	因为他已定了一个日期，要由他所立定的人，按正义审判天下，他为给众人一个可信的凭据，就叫这人从死者中复活了。」	
17.32	他们一听见死人复活，有的讥笑，有的却说：「关于这事，我们后来再听你罢！」	
17.33	这样，保禄便从他们当中出去了。	
17.34	可是，也有几个人依附保禄而信从了，其中有阿勒约帕哥的官员狄约尼削，和一个名叫达玛黎的妇人；同他们一起信从的，还有其它一些人。	
		
		
18.0t	第十八章	
		
18.1t	在格林多归化多人　	
18.1 	此后，保禄就离开雅典，来到了格林多。	
18.2 	在那里遇见了一个犹太人，名叫阿桂拉，原藉本都，他同妻子普黎史拉最近从意大利来，因为喀劳狄曾命所有的犹太人都离开罗马。保禄就投到他们那里，	
18.3 	因为是同业，保禄便留在他们那里工作；原来他们是以制造帐幕为业的。	
18.4 	每逢安息日，保禄就在会堂里辩论，劝化犹太人和希腊人。	
18.5 	及至息拉和弟茂德从马其顿来到后，保禄就专心传道，向犹太人证明耶稣就是默西亚。	
18.6 	可是，因为他们反对，而且说亵渎的话，保禄就拂拭衣服向他们说：「你们的血归到你们头上，与我无干，从今以后，我要到外邦人那里去了。」	
18.7 	于是离开那里，进了一个名叫弟铎犹斯托的家里，这人敬畏天主，他的家紧靠着会堂。	
18.8 	会堂长克黎斯颇和他的全家都信了主，还有许多格林多人听了道而相信，也领了洗。	
18.9 	夜间，主藉异象对保禄说：「不要害怕，只管讲，不要缄默，	
18.10	因为有我与你同在，必没有人向你下手加害你，因为在这城里有许多百姓是属于我的。」	
18.11	于是，他就在那里住了一年零六个月，在他们中讲授天主的圣道。	
		
18.12t	受人诬陷　	
18.12	当加里雍作阿哈雅总督时，犹太人同心合意地起来攻击保禄，把他带到法庭	
18.13	说：「这个人劝人违法敬拜天主。」	
18.14	保禄刚要开口，加里雍就向犹太人说：「犹太人啊！如果有什么犯法或邪恶的罪行，我自当容忍你们；	
18.15	但问题既是关于道理、名目和你们自己的法律的事，你们自己管罢，我不愿作这些事的判官。」	
18.16	就把他们逐出了法庭。	
18.17	于是众希腊人拉住会堂长索斯特乃，在法庭前打了他；而加里雍全不理睬这些事。	
		
18.18t	返回安提约基雅　	
18.18	保禄又住了些日子，就与弟兄们辞别，乘船往叙利亚去；和他一起的，有普黎史拉和阿桂拉，因为保禄许有誓愿，在耕格勒剃了头发。	
18.19	到了厄弗所，保禄便把他们留在那里，自己进了会堂，同犹太人辩论。	
18.20	众人求他多住些时候，他没有应允，	
18.21	却辞别他们说：「若是天主愿意，我还要回到你们这里来。」遂从厄弗所开船走了。	
18.22	在凯撒勒雅下船，就上耶路撒冷问候教会，然后下到安提约基雅。	
		
18.-1t	保禄三次出外传教	
		
18.23t	巡视各教会　	
18.23	保禄住了一个时期，又出发，挨次经过迦拉达区和夫黎基雅，坚固众位门徒。	
		
18.24t	阿颇罗的功绩　	
18.24	有一个在亚历山大里亚出生的犹太人，名叫阿颇罗，是个有口才的人，长于圣经，他到了厄弗所。	
18.25	这人学过主的道理，讲论耶稣的事，心神热烈，教训人也很详实，却只知若翰的洗礼。	
18.26	这人开始在会堂里放胆讲论。普黎史拉和阿桂拉听了他的讲论，就把他接来，给他更详实地讲解了天主的道理。	
18.27	阿颇罗有意往阿哈雅去，弟兄们都鼓励他，并且给门徒写信，叫他们接待他；他到了那里，依赖恩宠，给了信友们很多的贡献，	
18.28	因为他经常有力地当众驳倒犹太人，用圣经指明耶稣就是默西亚。	
		
		
19.-1t	保禄三次出外传教	
		
19.0t	第十九章	
		
19.1t	保禄在厄弗所　	
19.1 	阿颇罗在格林多的时候，保禄走遍了高原地带后，来到厄弗所，遇见了几个门徒，	
19.2 	向他们说：「你们信教的时候，领了圣神没有﹖」他们回答说：「连有圣神，我们都没有听过。」	
19.3 	保禄说：「那么，你们受的是什么洗，」他们说：「是若翰的洗」	
19.4 	保禄说：「若翰受的是悔改的洗，他告诉百姓要信在他以后要来的那一位，就是要信耶稣。」	
19.5 	他们听了，就因主耶稣之名领了洗。	
19.6 	保禄给他们覆手，圣神便降在他们身上，他们就讲各种语言，也说先知话。	
19.7 	他们一共约有十二人。	
19.8 	保禄进了会堂，放胆讲论，一连三个月，辩论天主之国的事，来劝化人。	
19.9 	但有些人心硬不信，在大众面前辱骂圣道，保禄便离开他们，把门徒分别出来，每天在提郎诺的学校里辩论；	
19.10	这事进行了两年，以致凡住在亚细亚的人，都听见了主的道理，犹太人希腊人都有。	
19.11	天主借保禄的手，行了一些非常的奇事，	
19.12	甚至有人拿去他身上的手巾和围裙，放在病人身上，疾病便离开他们，恶魔也出去了。	
		
19.13t	驱魔的犹太人受罚　	
19.13	那时，有几个周游的犹太驱魔者，擅自向附有恶魔的人，呼号主耶稣的名，说：「我因保禄所宣讲的耶稣，命你们出去!」	
19.14	有个犹太司祭长，名叫斯盖瓦，他的七个儿子都作这事。	
19.15	恶魔回答他们说：「耶稣我认识，保禄我也熟识；可是，你们是谁呀﹖」	
19.16	于是那个身附恶魔的人，便扑到他们身上，而制服了他们，胜过了他们，以致他们赤着身子，带着伤，从那屋里逃走了。	
19.17	凡住在厄弗所的犹太人和希腊人，知道了这事，就都害怕起来；主耶稣的名字也传扬开了。	
19.18	信教的人中，有许多来承认，并报告自己以往所行的事；	
19.19	其中有好些曾行过巫术的人，把书籍一起带来，当着众人的面烧毁了；他们估计书价，得知共值五万银币。	
19.20	这样，主的道理大为发扬，日渐坚固。	
		
19.21t	未来行程的计划　	
19.21	这些事以后，保禄决意要经过马其顿和阿哈雅往耶路撒冷去，说：「我在到那里以后，也该看看罗马。」	
19.22	就打发他的两位助手，弟茂德和厄辣斯托，往马其顿去，自己暂时留在亚细亚。	
		
19.23t	厄弗所的暴动　	
19.23	在那时候，关于主的道，起了不小的骚动。	
19.24	原来有个名叫德默特琉的银匠，制造阿尔特米的银龛，使工匠们获利不少。	
19.25	他把他们和同业的工人集合起来说：「同人们！你们知道：我们是靠这手艺发财的。	
19.26	你们看见，也听到：这个保禄，不仅在厄弗所，而且几乎在整个亚细亚劝服了许多人，说：『人手制造的，并不是神。』	
19.27	这不但使我们这分行业，有遭人唾弃的危险，而且连伟大女神阿尔特米的庙，也要被视为无物，甚至整个亚细亚和天下所敬拜的女神的尊威，也将被消灭。」	
19.28	他们听了，满怀怒气，喊着说：「大哉！厄弗所人的阿尔特米！」	
19.29	于是满城混乱起来，他们捉住了保禄的旅伴马其顿人加约及阿黎斯塔苛，一起冲到剧场。	
19.30	保禄愿意，进去会见民众，可是门徒们不让他去；	
19.31	还有几位亚细亚的首长，是他的朋友，也打发人到他那里，劝他不要冒险到剧场去。	
19.32	当时众人乱叫乱嚷，的确是一个混乱的集会，大多数都不知道为了什么而聚会。	
19.33	群众中有些人推举出亚历山大来，犹太人就推他上前；亚历山大就挥了挥手，要想向民众分辩。	
19.34	可是众人一认出他是犹太人来，就都同声呼喊：「大哉！厄弗所人的阿尔特米！」约两小时之久。	
19.35	书记官使群众安静下来，说：「厄弗所人啊！谁不知道厄弗所人的城，是伟大阿尔特米的庙，和那从天降下的神像的看守者呢﹖	
19.36	这些事既不能反驳，你们就该镇静，不要冒昧从事。	
19.37	你们带来的这些人，既不是亵圣者，也没有出言侮辱我们的女神；	
19.38	所以，如果德默特琉和他同业的工匠，有什么案件反对某人，有诉讼期，又有总督在，他们尽可彼此对告。	
19.39	但你们若还要求什么余外的事，可以在法定的集会里解决。	
19.40	关于今天的事，我们实在有被控作乱的危险，因为这本是无缘无故的；我们对这事，对这次集会，也不能指出理由来。」他说了这些话，才把集会遣散了。	
		
		
20.0t	第二十章	
		
20.1t	巡视马其顿及阿哈雅　	
20.1 	暴动平息后，保禄便派人去叫门徒们来，劝勉一番，就辞别他们，出发往马其顿去。	
20.2 	他走遍了那一带地方，多方劝勉信徒后，就到了希腊，	
20.3 	在那里住了三个月。当他正要乘船去叙利亚时，犹太人却设计陷害他，他遂决意经马其顿回去。	
20.4 	伴随他【到亚细亚】的，有贝洛雅人丕洛的儿子索帕特尔，得撒洛尼人阿黎斯塔苛和色贡多，德尔贝人加约和弟茂德，还有亚细亚人提希苛和特洛斐摩。	
20.5 	这些人先去了，在特洛阿等候我们；	
20.6 	至于我们，无酵节后，才从斐理伯启航，直到第五天才抵达特洛河，到了他们那里，在那里住了七天。	
		
20.7t	复活厄乌提曷　	
20.7 	一周的第一天，我们相聚擘饼时，保禄便向民众讲道，因为他第二天要走，遂把话拖长，直到半夜。	
20.8 	在我们聚会的那座楼上，有许多灯。	
20.9 	有个青年名叫厄乌提曷，坐在窗台上，因保禄讲道稍长，就沉沉欲睡；及至熟睡后，就从三楼坠下；扶起来时，已经死了。	
20.10	保禄下来，伏在他身上，抱住他说：「你们不要慌乱，因为他的灵魂还在他身上呢。」	
20.11	遂上去，擘开饼，吃了。又谈了很久，直到天亮，这才出发。	
20.12	他们把活了的孩子领去，都非常快慰。	
		
20.13t	从特洛阿到米肋托　	
20.13	我们上船先行，直向阿索航去，要从那里接保禄上船；因为他这样规定，自己要走陆路。	
20.14	当他在阿索与我们会合时，我们便接他上船，来到米提肋乃。	
20.15	从那里航行，次日到了希约对面，次日再向撒摩驶去，次日就到了米肋托。	
20.16	因为保禄已决定驶过厄弗所，免得在亚细亚耽搁时间；原来他想赶程前行，假如可能，愿在耶路撒冷过五旬节。	
		
20.17t	召集厄弗所长老致词　	
20.17	保禄从米肋托打发人到厄弗所，请教会的长老来。	
20.18	他们到了他那里，他便向他们说：「你们知道：自从我来到亚细亚的第一天起，与你们在一起，始终怎样为人，	
20.19	怎样以极度的谦逊，含着眼泪，历经犹太人为我所设的阴谋，而忠信事奉主。	
20.20	你们也知道：凡有益于你们的事，我没有一样隐讳而不传给你们的，我常在公众前，或挨家教训你们，	
20.21	不论向犹太人或希腊人，我常苦劝你们悔改，归向天主，并信从吾主耶稣。	
20.22	看，现在，我为圣神所束缚，必须往耶路撒冷去，在那里要遇到什么事，我不知道；	
20.23	我只知道圣神在各城中向我指明说：有锁链和患难在等待我。	
20.24	可是，只要我完成了我的行程，完成了受自主耶稣叫我给天主恩宠的福音作证的任务，我没有任何理由，珍惜我的性命。	
20.25	我曾在你们中往来，宣讲了天主的国，但现在，我知道你们众人以后不得再见我的面了。	
20.26	因此，我今天向你们作证：对于众人的血，我是无罪的，	
20.27	因为天主的一切计划，我都传告给你们了，毫无隐讳。	
20.28	圣神既在全群中立你们为监督，牧养天主用自己的血所取得的教会，所以你们要对你们自己和整个羊群留心。	
20.29	我知道在我离开之后，将有凶暴的豺狼进到你们中间，不顾惜羊群，	
20.30	就是在你们中间，也要有人起来讲说谬论，勾引门徒跟随他们。	
20.31	因此，你们要警醒，记住我三年之久，日夜不断地含泪劝勉了你们每一个人。	
20.32	现在，我把你们托付给天主和他恩宠之道，他能建立你们，并在一切圣徒中，赐给你们嗣业。	
20.33	我没有贪图过任何人的金银或衣服。	
20.34	你们自己知道：这双手供应了我，和同我一起的人的需要。	
20.35	在各方面我都给你们立了榜样，就是必须这样劳动，扶助病弱者；　要记住主耶稣的话，他说过：『施予比领受更为有福。』」	
20.36	说完这些话，便跪下同众人祈祷。	
20.37	众人都大哭起来，并伏在保禄的颈项上，口亲他。	
20.38	他们最伤心的，是为了保禄说的这句话：以后他们不得再见他的面了。他们便送他上了船。	
		
		
21.0t	第二十一章	
		
21.1t	乘船抵提洛　	
21.1 	我们离别了他们，便开船一直航行，来到科斯，第二天到了洛多，又从那里到了帕塔辣。	
21.2 	我们遇见了一只要开往腓尼基的船，便上去航行。	
21.3 	我们望见了塞浦路斯，就从它左边驶过，向叙利亚驶去，在提洛靠了岸，因为船要在那里卸货。	
21.4 	我们找到了门徒，就在那里住了七天；他们因圣神的默示，告诉保禄不要上耶路撒冷去。	
21.5 	日子一满，我们便出发前行，众人同妻子儿女陪送我们直到城外；我们跪在岸上祈祷，	
21.6 	彼此辞别后，我们上了船，他们就回家去了。	
		
21.7t	到凯撒勒雅　	
21.7 	我们从提洛到了仆托肋买，便行完了航程；向弟兄们请过安，就在他们那里住了一天。	
21.8 	第二天我们出发，来到凯撒勒雅，进了传福音者斐理伯的家，住在他那里，他是七执事之一。	
21.9 	他有四个女儿，都是贞女，能说预言。	
21.10	我们住了多日。有一个先知，名叫阿加波，从犹太下来。	
21.11	他来到我们这里，拿起保禄的腰带，将自己的脚和手绑了，说：「圣神这样说：犹太人要在耶路撒冷这样捆绑这条腰带的主人，将他交在外邦人手中。」	
21.12	我们一听这话，就同当地居民请求保禄不要上耶路撒冷去。	
21.13	保禄回答说：「你们为什么啼哭，使我心碎呢﹖为了主耶稣的名，我不但准备受捆绑，而且也准备死在耶路撒冷。」	
21.14	我们既不能说服他，也就静默了，只说：「愿主的旨意成就罢！」	
		
21.15t	在耶路撒冷受母教会欢迎　	
21.15	过了几天，我们便收拾行李上耶路撒冷去；	
21.16	有几个凯撒勒雅的门徒，也和我们同去，他们领我们到一个久为门徒的塞浦路斯人木纳松那里住宿。	
21.17	我们到了耶路撒冷，弟兄们高兴地接待了我们。	
21.18	第二天，保禄同我们去见雅各伯，众长老也都聚集在那里。	
21.19	保禄向他们请安以后，就将天主在外邦人中藉他的服务所行的事，一一叙述了。	
21.20	他们听了，就光荣天主，并对保禄说：「弟兄!你看，在信教的犹太人中盈千累万，都是热爱法律的人；	
21.21	关于你，他们听说你教训在外邦人中的一切犹太人背弃梅瑟，说不要给孩子行割损礼，也不要按规例行。	
21.22	那么怎么办呢﹖他们总会听说你已来了。	
21.23	你就按照我们告诉你的去办罢：我们这里有四个人，他们都有愿在身；	
21.24	你带这些人，同他们一起行取洁礼，并替他们出钱，叫他们剃头；这样，众人便知道自己关于你所听到的事原是假的，而你却是个循规蹈矩，遵守法律的人。	
21.25	关于信教的外邦人，我们已写信决定，叫他们戒避祭邪神之物、血、窒死的禽兽和奸淫。」	
21.26	于是保禄就把这几个人带去；第二天，同他们一起行了取洁礼，以后进了圣殿，呈报取洁的日子何时满期，何时为他们每人奉献供物。	
		
20.-1t	保禄被捕	
		
21.27t	保禄在圣殿内被捕　	
21.27	当七天快完时，从亚细亚来的犹太人见保禄在殿里，就煽动所有的群众，向他下手，	
21.28	喊着说：「以色列人!请帮忙，这就是到处教训众人反对人民、法律和这地方的那个人。他还领了希腊人们进圣殿，亵渎了这圣地。」	
21.29	原来他们以前见过厄弗所人特洛斐摩同他在城里，就以为保禄领他进了圣殿。	
21.30	于是全城震动，百姓一起跑来，拿住保禄，把他拉出殿外，立即把门都关上。	
21.31	他们正想要杀他时，有人上去报告给营部的千夫长说：「全耶路撒冷都乱了！」	
21.32	千夫长立时带着士兵和百夫长跑下来，到了他们那里；他们一见了千夫长和士兵，就停止，不打保禄了。	
21.33	于是千夫长前去，拿住保禄，下令用两条锁链绑了，遂查问他是谁，作了什么事。	
21.34	群众中，有的喊这，有的喊那；由于乱嚷，千夫长不能得知实情，便下令将保禄带到营里去。	
21.35	当走上台阶时，由于群众挤得凶猛，保禄只好由士兵抬着；	
21.36	一群百姓跟在后面喊着说：「除掉他！」	
21.37	快要带进营盘时，保禄向千夫长说：「许我向你说句话吗﹖」他说：「你会希腊话﹖	
21.38	莫非你就是前些日子作乱，带领四千匕首党人，往荒野去的那个埃及人吗﹖」	
21.39	保禄答说：「我是犹太人，是塔尔索人，基里基雅的一个并非无名城市的公民。我求你，准我向百姓讲话。」	
21.40	千夫长准许了；保禄就站在台阶上向百姓挥手，大家都安静下来后，保禄便用希伯来话致辞说：	
		
		
22.-1t	保禄被捕	
		
22.0t	第二十二章	
		
22.1t	保禄向犹太人致词　	
22.1 	「诸位仁人弟兄，诸位父老！请听我现在对你们的分辩。」	
22.2 	他们听见保禄用希伯来话向他们致辞，就更为安静了。保禄说：	
22.3 	「我原是犹太人，生于基里基雅的塔尔索，却在这城里长大，在加玛里耳足前，对祖传的法律，曾受过精确的教育；对天主我也是热忱的，就如你们大家今天一样。	
22.4 	我曾迫害过这道，直到死地；不论男女，逮捕捆绑送入狱中；	
22.5 	就是大司祭和整个长老团，都可给我作证；我从他们那里领了给弟兄们的文书，往大马士革去，有意把那里的这样的人加以逮捕，带到耶路撒冷来处罚。	
22.6 	当我前行临近大马士革时，约在中午，忽然天上有一道大光，环射到我身上，	
22.7 	我便跌在地上，听见有声音向我说：扫禄，扫禄！你为什么迫害我﹖	
22.8 	我回答说：主，你是谁﹖他向我说：我就是你所迫害的那个纳匝肋人耶稣。	
22.9 	同我在一起的人，只看见那光，却听不见那对我说话的声音。	
22.10	我说：主，我当作什么﹖主向我说：你起来，往大马士革去，在那里有人要告诉你，给你派定当作的一切事。	
22.11	由于那光的炫耀，我看不见了，就由我的同伴用手领着，进了大马士革。	
22.12	有个人名叫阿纳尼雅，是虔诚守法的人，所有住在那里的犹太人都称誉他。	
22.13	他来见我，站在旁边向我说：扫禄兄弟，你看见罢！我当时向他一望，就看见了他。	
22.14	他说：我们祖先的天主，预简了你，叫你认识他的意愿，看见那位义者，并由他口中听到声音，	
22.15	因为你要向众人，对你所见所闻的事，为他作证人。	
22.16	现在你还迟延什么﹖起来领洗，呼求他的名，洗除你的罪恶罢!	
22.17	我回到耶路撒冷，在殿里祈祷时，就神魂超拔，	
22.18	看见主向我说：赶紧，快快离开耶路撒冷，因为这里的人，将不接受你为我作的证。	
22.19	我就说：主！这是因为他们知道：我经常把信你的人下在监里，并在各会堂里鞭打他们；	
22.20	当你的证人斯德望的血倾流时，我本人还站在旁边予以赞同，并且看守杀他的人们的衣服!	
22.21	他向我说：你去！因为我要打发你到远方外邦人那里去。」	
		
22.22t	声明自己是罗马公民　	
22.22	他们听他说到这句话，便扬声说：「从地上除掉这样的人，他不该活着！」	
22.23	他们遂喧哗纳喊，扔下衣服，并向空中扬土。	
22.24	千夫长只得下令将保禄带进营里，说是要用鞭子拷问他，以便知道他们为什么缘故这样喊叫反对他。	
22.25	当士兵用皮条将保禄绑好时，保禄向旁边站着的百夫长说：「一个罗马人，又没有被定罪，难道你们就可以鞭打他么﹖」	
22.26	百夫长听了，就来到千夫长前报告说：「你可怎么办﹖这个人是罗马人！」	
22.27	千夫长就前来问保禄说：「告诉我，你是罗马人吗﹖」保禄说：「是。」	
22.28	千夫长回答说：「我用一大笔钱才购得这个公民权。」保禄说：「我却生来就是。」	
22.29	于是那些要拷问保禄的人，便立即离开他走了。千夫长一知道他是罗马人，又因为曾捆绑了他，就害怕起来。	
22.30	第二天，千夫长愿意知道，保禄为什么被犹太人控告的实情，就解开他，并命令司祭长及全体公议会集合；随后将保禄带下来，叫他站在他们面前。	
		
		
23.0t	第二十三章	
		
23.1t	保禄在公议会受审　	
23.1 	保禄注视公议会说：「诸位仁人弟兄！我在天主前，作事为人，全凭纯善的良心，直到今天。」	
23.2 	大司祭阿纳尼雅却命站在旁边的人打他的嘴。	
23.3 	那时，保禄向他说：「粉白的墙啊！天主将要打击你；你坐下审判我，应按照法律，你竟违反法律，下令打我吗﹖」	
23.4 	旁边站着的人说：「你竟敢辱骂天主的大司祭吗﹖」	
23.5 	保禄说：「弟兄们！我原不知道他是大司祭，因为经上记载说：『不可诅咒你百姓的首长。』」	
23.6 	保禄一看出他们一部份是撒杜塞人，另一部份是法利塞人，就在公议会中喊说：「诸位仁人弟兄！我是法利塞人，是法利塞人的儿子，我是为了希望死者的复活，现在受审。」	
23.7 	他说了这话，法利塞人和撒杜塞人便起了争辩，会众就分裂了。	
23.8 	原来撒杜塞人说没有复活，也没有天使，也没有神灵；法利塞人却样样都承认。	
23.9 	于是喧嚷大起，有几个法利塞党的经师起来力争说：「我们在这人身上找不出一点过错来；或者有神灵或天使同他说了话！」	
23.10	争辩越来越大，千夫长怕保禄被他们撕裂，便命军队下来，把保禄从他们中间抢出来，带到营里去了。	
23.11	次夜，主显现给保禄说：「你放心罢！你怎样在耶路撒冷为我作证，也该怎样在罗马为我作证。」	
		
23.12t	犹太人的阴谋　	
23.12	天一亮，犹太人共商阴谋，发自诅的誓说：「不杀了保禄，决不吃不喝。」	
23.13	发这誓的有四十多人；	
23.14	这些人来到司祭长及长老前说：「我们发了自诅的誓，不杀了保禄，什么也不吃。	
23.15	所以，你们同公议会现在要通知千夫长，带保禄下到你们这里，你们假装要更详细审讯他的事；我们早准备好，在他来到你们这里以前，就杀掉他。」	
23.16	可是，保禄姊妹的儿子，听到了这种诡计，就来到营里，报告给保禄。	
23.17	保禄就叫来一个百夫长说：「请领这个青年到千夫长那里去，他有事要向他报告。」	
