1.-2t	编年纪下		
23.3 	全会众在天主殿内与君王立了约。约雅达对他们说：「这就是太子。按照上主论及达味的子孙所说的话，他必须作王！		
23.4 	你们要这样行：你们中间逢安息日来值班的司祭和肋未人，三分之一应把守各门，		
23.5 	三分之一应把守王宫，三分之一应把守马门；所有的百姓都应在上主殿宇的庭院里，		
23.6 	除司祭和供职的肋未人外，任何人不得进入上主的殿，唯有他们可以进，因为他们是圣洁的；所有的百姓必须遵守上主的命令。		
23.7 	肋未人手里各拿着武器，环绕君王；凡擅自进殿的，该将他杀死。君王出入时，你们要紧随不离。」		
23.8 	肋未人和犹大民众，都按照大司祭约雅达所吩咐的一切遵行了，各自带领在安息日值班的，和安息日下班的人，因为大司祭约雅达不准下班。		
23.9 	大司祭约雅达便将天主殿内，属达味王的刀枪和大小盾牌，交给了众百夫长，		
23.10	指令民众各持武器，由殿南边直到殿北边，面对祭坛和圣殿，环立在君王四周。		
23.11	然后引出太子来，给他加冕，再将约书交给他，立他为王；约雅达和他的儿子们给他傅了油，众人遂喊说：「君王万岁！		
			
23.12t	阿塔里雅被杀		
23.12	阿塔里雅听见百姓奔走歌颂君王的欢呼声，就进上主的殿，到了百姓前，		
23.13	看见君王立在殿门旁的高台上，百夫长和吹号的侍立在君王左右，所有当地人民欢跃吹号，歌咏团用各种乐器领导人歌唱颂扬；阿塔里雅就撕裂了自己的衣服说：「反了！反了！		
23.14	大司祭约雅达吩咐领军队的众百夫长，说：「将她由行列中赶出去，凡随从她的人，都用刀杀死。」原来大司祭曾吩咐说：不可在上主的殿内杀她。		
23.15	于是人捉住她，在她走到王宫马门口时，在那里将她杀了。		
			
23.16t	宗教改革		
23.16	此后，约雅达使人民和君王与上主立约，当作上主的人民。		
23.17	然后全体人民到了巴耳庙，将庙拆毁，将祭坛和偶像打碎，又在祭坛前斩了巴耳的司祭玛堂。		
23.18	约雅达将看守上主殿宇的职责，交在司祭和肋未人手内，因为他们原是达味早已分派在上主殿内，照梅瑟法律所载，向上主献全燔祭，按照达味的定例，欢跃歌唱的。		
23.19	又指派门丁看守上主殿宇的各门，无论在任何事上，凡是不洁净的，都不准进。		
23.20	最后率领百夫长、贵族、民间领袖和当地人民，接君王从上主的殿下来，经上门进入王宫，请君王坐在王位上。		
23.21	于是全国人民喜庆，京城也平静了；至于阿塔里雅，已丧身刀下。		
			
			
24.0t	第二十四章		
			
24.1t	约阿士为王		
24.1 	约阿士即位时才七岁；在耶路撒冷作王凡四十年；他的母亲名叫漆彼雅，是贝尔舍巴人。		
24.2 	大司祭约雅达在生之日，约阿士行了上主视为正义的事。		
24.3 	约雅达为他娶了两个妻子，且生了子女。		
			
24.4t	重修圣殿		
24.4 	此后，约阿士有意重修上主的殿，		
24.5 	便召集司祭和肋未人来，吩咐他们说：「你们往犹大各城去，向全以色列人捐钱，按每年需要，修补你们天主的殿；你们应急速办理此事。」但是肋未人没有赶紧办理。		
24.6 	君王遂将大司祭约雅达召来，对他说：「你为什么不勒令肋未人在犹大和耶路撒冷捐款，像上主的仆人梅瑟为作证的会幕，向以色列会众征收﹖」		
24.7 	原来，恶妇阿塔里雅和附合他的人使上主的殿失修，且将上主殿内的捐献都用于巴耳。		
24.8 	君王于是下令，制一个箱子，放在上主的殿门外，		
24.9 	并在犹大和耶路撒冷发出通告，要人为上主捐款，像天主的仆人梅瑟在旷野曾向以色列征收捐款一样。		
24.10	众首领和全民众都很高兴来捐献，将钱投入箱内，直到投满。		
24.11	当肋未人将钱箱抬到君王的有司那里时，见税钱很多，遂请君王的书记和大司祭的属员前来，将钱箱倒空，然后拿去放在原处；天天如此，所以收集了很多的钱。		
24.12	君王和约雅达便将钱交给主管上主殿的人，雇用石工和木工，招请铁匠和铜匠，修理上主的殿宇。		
24.13	工匠都勤于工作，修葺的工作在他们手下日有进展，竟将天主的殿修理得与先前一样，而且异常坚固。		
24.14	他们完工以后，将剩下的钱，送到君王和约雅达那里；他们遂叫人用来制造上主殿内的家俱，为礼仪和全燔祭用得器皿、香盘以及各种金银器皿。约雅达有生之日，在上主的殿内，时时有人奉献全燔祭。		
			
24.15t	约阿士变节		
24.15	约雅达逝世时，年纪已很老；死时享年一百三十岁，		
24.16	与列王同葬在达味城，因为他在以色列对天主和天主的殿立了大功。		
24.17	但在约雅达死后，犹大的首领前来朝觐君王，君王竟附和了他们的主意，		
24.18	离弃了上主他们祖先天主的殿，去奉事阿舍辣和偶像。由于这个重罪，义怒降到了犹大和耶路撒冷		
24.19	上主仍派先知来引导他们归向上主，先知虽警告他们，无奈他们不肯听从。		
24.20	天主的神沛降在大司祭约雅达的儿子则加黎雅身上，他便站在民众面前，对他们说：「天主这样说：你们为什么违犯上主的诫命，招致不利呢﹖因为你们拋弃了上主，他也要拋弃你们。」		
24.21	民众都想杀害他，遂按君王的命令，在上主殿的庭院里，用石头将他砸死了。		
24.22	这样，约阿士丝毫未念及他父亲约雅达对待自己的恩德，反而杀了他的儿子。则加黎雅临死时喊说：「愿上主鉴察，加以追究！		
			
24.23t	约阿士被杀		
24.23	次年岁首，阿兰军队上来攻打约阿士，侵入了犹大和耶路撒冷，杀了民间所有的首领，将所掠夺的战利品送到大马士革。		
24.24	阿兰军队虽只来了一小队人，但上主却将一支庞大的军队交在他们手中，这是因为民众离弃了上主，他们祖先的天主；如此阿兰人惩罚了约阿士。		
24.25	当他们离开约阿士时，约阿士正患重病，他的臣仆造反背叛了他，为报大司祭约雅达的儿子的血仇，将他打死在床上；他死后，葬在达味城，但没有埋在王陵内。		
24.26	造反背叛他的是阿孟女人史默阿特的儿子匝巴得，和摩阿布女人史默黎特的儿子约匝巴得。		
24.27	至于约阿士的儿子，以及他所受的种种警戒，和重修天主殿宇的事，都记载在列王传记上。他的儿子阿玛责雅继位为王。		
			
			
25.0t	第二十五章		
			
25.1t	阿玛责雅登极		
25.1 	阿玛则雅登极时年二十五岁，在耶路撒冷作王凡二十九年；他的母亲名叫约阿当，是耶路撒冷人。		
25.2 	他行了上主视为正义的事，只是心不专一。		
25.3 	及至王权已掌握在他手中之后，他将弒杀他父王的臣仆杀掉；		
25.4 	但没有将他们的子女处死，因为按梅瑟法律书上所载的，上主曾命令说：「不可为儿子的罪处死父亲，亦不可为父亲的罪处死儿子；每人应为自己的罪被处死刑。」		
			
25.5t	出征厄东		
25.5 	阿玛责雅召集了犹大人，按他们的家族，为全犹大和本雅明安置了千夫长和百夫长，统计了人民，由二十岁及以上的，凡能操枪持盾，能出征上阵的精兵，共有三十万；		
25.6 	又用一百「塔冷通」银子，由以色列招募了十万勇敢的战士。		
25.7 	有天主的人前来见他，对他说：「请大王不要带以色列军队与你同往，因为上主不与以色列，即厄弗辣因所有的子孙在一起。		
25.8 	如果你以为这样可以战胜，天主必使你败于敌人之前，因为天主有能力助人，亦有能力使人溃败。」		
25.9 	阿玛责雅问天主的人说：「我已给了以色列雇佣兵一百「塔冷通」银子，那怎么办呢﹖」天主的人回答说：「上主能将比这更多的赐给你。」		
25.10	阿玛责雅于是将从厄弗辣因来的雇佣兵分出来，遣送回家；因此他们非常怀恨犹大人，愤愤地回了家。		
25.11	阿玛责雅鼓起勇气，率领自己的军队来到盐谷，击杀了一万色依尔人。		
25.12	犹大子民又生擒了一万，带到石崖顶上，由石崖顶上将他们推下去，都摔得支离破碎。		
25.13	但是，那些被阿玛责雅遣回，不准一同出征的雇佣兵，却侵入犹大各城，由撒玛黎雅直到贝特曷龙，击杀了三千人，掠去了许多财物。		
			
25.14t	阿玛责雅敬拜偶像		
25.14	阿玛责雅打败厄东人回来时，也将色依尔子民的神像带回来，立为自己的神，在他们前焚香顶礼；		
25.15	因为上主向阿玛责雅发怒，派一位先知去见他，对他说：「这个民族的神未能拯救自己的百姓脱离你的手，你为什么还求他们呢﹖」		
25.16	先知正与君王说话时，君王对他说：「莫非我们立了你作君王的谋士﹖不必再说！你为什么来寻死呢﹖」先知便止住了，只声明说：「我知道天主已决意要消灭你，因为你作了这事，还不听从我的劝诫。」		
			
25.17t	犹大向以色列挑战		
25.17	犹大王阿玛责雅聚议以后，便派人到以色列王耶胡的孙子，约阿哈次的儿子耶曷阿士那里去说：「来，让我们见个高低！		
25.18	以色列王耶曷阿士派人回答犹大王阿玛责雅说：「黎巴嫩的荆棘派使者去见黎巴嫩的香柏说：将你的女儿嫁给我的儿子为妻！后来有一只黎巴嫩的野兽经过，将这棵荆棘踏坏了。		
25.19	你想你打败了厄东，你就心高气傲，自鸣得意。现在，你还是留在家里罢！又何必惹祸，使你和犹大一同丧亡呢﹖」		
25.20	但是，阿玛责雅不肯听从；这原是出于天主，要将他们交于敌人手中，因为他们求问了厄东的神。		
25.21	于是以色列王耶曷阿士上来，在犹大的贝特舍默士，与犹大王阿玛责雅相见了。		
25.22	犹大人被以色列击败，各自逃回帐幕去了。		
25.23	以色列王耶曷阿士在贝特舍默士生擒了阿哈齐雅的孙子，约阿士的儿子犹大王阿玛责雅，带到耶路撒冷，将耶路撒冷的城墙拆了一个缺口，从厄弗辣因门直到角门，共四百肘；		
25.24	又将敖贝得厄东所看守的天主殿内的一切金银和器皿，并王宫的财宝都拿了去；又带着人质，回了撒玛黎雅。		
			
25.25t	阿玛责雅被杀		
25.25	以色列王阿哈次的儿子耶曷阿士死后，犹大王约阿士的儿子阿玛责雅还活了十五年。		
25.26	阿玛责雅前后其余的事迹，都记载在犹大和以色列列王实录上。		
25.27	自从阿玛责雅离弃了上主以后，在耶路撒冷就有人结党反抗他，他即逃往拉基士，但是叛党派人追到拉基士，在那里将他杀死。		
25.28	然后将他的尸体用马驮回，葬在达味城，和他的祖先埋在一起。		
			
			
26.0t	第二十六章		
			
26.1t	乌齐雅登极		
26.1 	全犹大人民立乌齐雅为王，继承他父亲阿玛责雅，那时他十六岁。		
26.2 	先王与祖先同眠以后，乌齐雅将厄拉特收回仍属犹大，加以重建。		
26.3 	乌齐雅登基时才十六岁，在耶路撒冷作王凡五十二年；他母亲名叫耶苛里雅，是耶路撒冷人。		
26.4 	乌齐雅行了上主视为正义的事完全像他父亲阿玛责雅所行的一样。		
26.5 	则加黎雅有生之日，由于他指导君王敬畏天主，所以君王时常求天主；在他寻求上主的时期内，天主使他事事顺利。		
			
26.6t	国势昌盛		
26.6 	他出兵攻打了培肋舍特人，破坏了加特、雅贝乃和阿市多得的城垣，在阿市多得境内和培肋舍特人中建筑了一些城池。		
26.7 	天主协助他攻打了培肋舍特人和住在古尔巴耳的阿剌伯人以及玛红人。		
26.8 	阿孟子民也向乌齐雅进贡，由于他的势力极其强大，声誉传至埃及边境。		
26.9 	乌齐雅在耶路撒冷的角门、谷门以及城角，建筑了堡垒，加以设防。		
26.10	又在旷野修筑了一些堡垒，开凿了许多储水池，因为他在平原和高原有很多的牲畜；又因他喜爱农业，所以在山地和田园里，雇用了许多农夫和栽培葡萄的人。		
26.11	乌齐雅还备有能出征作战的军旅，照书记耶依耳和监察官玛阿色雅所编定的数目，由君王的一位将帅哈纳尼雅指挥。		
26.12	这些英勇战士中的族长，总数为二千六百人。		
26.13	他们属下的军队计有三万七千五百人，都是善于作战，协助君王征讨敌人的勇士。		
26.14	乌齐雅给他们全队的人配备了盾牌、长枪、盔甲、弓箭和弹石。		
26.15	在耶路撒冷又叫巧匠设制机械，放在堡垒和城角上，发射矢箭和大石弹。乌齐雅的名声传到远方，因为他获得了奇异的助佑，势力极其强盛。		
			
26.16t	乌齐雅越职受罚		
26.16	他势力强大了，便心高气傲，以致自毁前途，竟敢冒犯上主他的天主，擅进上主的正殿，企图在香坛上焚香。		
26.17	大司祭阿匝黎雅和八十个上主的勇敢司祭随后进去，		
26.18	阻止乌齐雅王说：「乌齐雅，给上主焚香不是你的事，而是亚郎子孙司祭的事，他们是受祝圣为行焚香礼的；请由圣殿里出去，因为你越权，在上主天主面前也没有光荣。」		
26.19	乌齐雅发怒，手持香炉要献香；他向司祭发怒时，就在上主殿内香坛旁，当着司祭面前，他的额上突然出现了癞病		
26.20	大司祭阿匝黎雅和所有的司祭望着他，见他额上出现了癞病，便促使他出去；他自己便急忙出去，因为上主打击了他。		
26.21	乌齐雅身患癞病一直到死；因为他身患癞病，独住在一间隔离的房里，不能进入上主的殿。他的儿子约堂掌管朝廷，统治国家的百姓。		
26.22	乌齐雅前后其余的事迹，都由阿摩兹的儿子依撒意亚先知记了下来。		
26.23	乌黎雅与祖先同眠，因为人说他有癞病，所以只将他葬在王陵田间，祖先之旁；他的儿子约堂继位为王。		
			
			
27.0t	第二十七章		
			
27.1t	约堂为王		
27.1 	约堂登极时年二十五岁，在耶路撒冷作王凡十六年；他的母亲名叫耶鲁沙，是匝克多的女儿。		
27.2 	约堂行了上主视为正义的事，完全像他父亲所作的一样，只是没有进入上主的圣所；但百姓仍然败坏。		
27.3 	他建筑了上主殿宇的上门，在敖斐耳城墙上，也作了许多工程，		
27.4 	在犹大山地建筑了一些城池，在丛林中也建了一些营寨和堡垒。		
27.5 	约堂与阿孟子民的君王交战时，战胜了他们，因此阿孟子民那一年给他进贡：银子一百「塔冷通，」小麦一万「苛尔，」大麦一万「苛尔。」以后第二第三年，阿孟子民仍进了这些贡物。		
27.6 	约堂因为在上主他的天主前，时常履行正道，所以日渐强盛。		
27.7 	约堂其余的事迹，以及他的战绩和作为，都记载在以色列和犹大列王实录上。		
27.8 	他即位时年二十五岁，在耶路撒冷作王十六年。		
27.9 	约堂与祖先同眠，葬在达味城；他的儿子阿哈次继位为王。		
			
			
28.-1t	希则克雅和约史雅的重大改革(28-36)		
			
28.0t	第二十八章		
			
28.1t	阿哈次的恶行		
28.1 	阿哈次登极时年二十岁，在耶路撒冷作王凡十六年。他没有像他的祖先达味一样，行上主视为正义的事，		
28.2 	却走了以色列列王的路，为巴耳诸神铸了像，		
28.3 	在本希农山谷焚香，仿效上主从以色列子民面前所赶走的异民所行的丑恶之事，令自己的儿女经火献神，		
28.4 	又在高处、丘陵和绿树下焚香献祭。		
			
28.5t	犹大受惩罚		
28.5 	因此，上主他的天主将他交于阿兰王手中，阿兰打败了他，掳去了他一大批人民，带到大马士革。上主又将他交于以色列王手中，大受打击。		
28.6 	勒玛里雅的儿子培卡黑在犹大一日杀了十二万人，都是战士，因为他们离弃了上主，他们祖先的天主。		
28.7 	厄弗辣因一个名叫齐革黎的勇士，杀了王子玛阿色雅、王宫总管阿次黎冈和君王的辅相厄耳卡纳。		
28.8 	以色列子民由他们的弟兄中掳去了妇女和他们的子女，共二十万人，并掠去了许多财物，都带到撒玛黎雅。		
			
28.9t	先知力劝释放俘虏		
28.9 	在那里有一位上主的先知，名叫敖德得，出来迎接回撒玛黎雅的军队，向他们说：「看，上主，你们祖先的天主，由于向犹大发怒，才将他们交在你们手中，你们却怒气冲天，大加杀戮；		
28.10	现在你们又想强迫犹大和耶路撒冷的子民作你们的奴婢；难道你们自己就没有干犯上主，你们天主的罪恶吗﹖		
28.11	现在，你们听我的话，将由你们弟兄中掳来的俘虏放回去，因为上主的震怒已临到你们身上。」		
28.12	那时厄弗辣因子民的首领中有几个人，即约哈南的儿子阿匝黎雅，默史肋摩特的儿子贝勒革雅，沙隆的儿子希则克雅和哈德来的儿子阿玛撒，就起来反对归来的军队，		
28.13	对他们说：「不可将俘虏带到这里来，因为你们想使我们得罪上主，来增加我们的罪恶和过犯！我们的过犯已经够重了，上主的震怒已临于以色列。」		
28.14	军队立即将掳来的人和抢来的财物，留在首领和全会众面前。		
28.15	以上题名的那几个人便起来，领去被掳的人，其中有赤身的，便从所掠取的财物中，取出衣服来给他们穿，给他们鞋穿，又给他们吃喝，且给他们擦油；又将所有软弱的人，放在驴上，送到棕榈城耶里哥，他们的弟兄那里；以后，便回了撒玛黎雅。		
			
28.16t	阿哈次四面受敌		
28.16	那时，阿哈次派人去亚述王那里求救，		
28.17	因为厄东人又来攻打犹大，掳去了许多人民；		
28.18	培肋舍特人也侵入平原的城市和犹大的南方，占领了贝特舍默士、阿雅垄革德洛特、索苛及其四郊村镇、提默纳及其四郊村镇、基默左及其四郊村镇，并住在那里。		
28.19	由于犹大王阿哈次在犹大肆无忌惮，背叛了上主，因此，上主压伏了犹大。		
28.20	亚述王提革拉特丕肋色尔到了他那里，不但没有协助，反而压迫了他。		
28.21	阿哈次强夺了上主殿内、王宫以及群臣家中的财宝，奉送给亚述王，但无济于事。		
			
28.22t	阿哈次恶上加恶		
28.22	阿哈次王这个人越在困难之时，越发背叛上主，		
28.23	他竟祭祀打败了他的大马士革的神说：「阿兰王的神，既协助了阿兰人，我也向他们献祭，好使他们也协助我。」但是那些神却使他与以色列民众陷于灭亡。		
28.24	阿哈次又将上主殿内的器皿收集起来，将上主殿内的器皿予以粉碎，将上主殿宇的门封锁，在耶路撒冷每个角落设立祭坛，		
28.25	在犹大各城建立丘坛，向外邦的神焚香，这样激起了上主，他祖先的天主的盛怒。		
			
28.26t	阿哈次逝世		
28.26	阿哈次其余的事迹和他行的一切，前前后后，都记载在犹大和以色列列王实录上。		
28.27	阿哈次与祖先同眠，葬在耶路撒冷城内，但没有将他葬在以色列王陵内。他的儿子希则克雅继位为王。		
			
			
29.0t	第二十九章		
			
29.1t	希则克雅登极		
29.1 	希则克雅登极时年二十五岁，在耶路撒冷作王凡二十九年；他的母亲名叫阿彼雅，是则加黎雅的女儿。		
29.2 	希则克雅行了上主视为正义的事，完全像他的祖先达味所行的一样。		
			
29.3t	清除圣殿		
29.3 	他作王元年正月，开了上主殿宇的门，再加以修理；		
29.4 	召司祭和肋未人来，聚集在东面广场上，		
29.5 	对他们说：「肋未人，请听我的话！现在你们应自洁，好清除上主你们祖先的天主的殿宇，将圣所内的污秽之物除去。		
29.6 	因为我们的祖先犯了罪，行了上主我们的天主视为不悦的事，离弃了他，并转脸不顾上主的居所，所以背相向；		
29.7 	又封闭了廊门，熄灭了灯，未在圣所内给以色列的天主焚香，献全燔祭。		
29.8 	因此，上主的盛怒降于犹大和耶路撒冷，使之成为恐惧、惊骇、耻笑的对象，正如你们亲眼所见的。		
29.9 	并且我们的祖先因此死于刀下，我们的妻子儿女作了俘虏。		
29.10	现在，我有意与上主以色列的天主立约，使他的烈怒转离我们。		
29.11	我的孩子们！现在不要再怠慢，因为上主拣选了你们侍立在他面前，为奉事他，向他焚香。」		
29.12	于是肋未人起来：刻哈特族中有阿玛赛的儿子玛哈特和阿匝黎雅的儿子约厄耳；默辣黎族中有阿贝狄的儿子克士和雅肋肋耳的儿子阿匝黎雅；革尔雄族中有齐玛的儿子约阿黑		
			
29.13t	和约阿黑的儿子厄登；		
29.13	厄里匝番的子孙中有史默黎和耶乌耳；阿撒夫子孙中有则加黎雅和玛塔尼雅；		
29.14	赫曼子孙中有耶希耳和史米；耶杜通子孙中有舍玛雅和乌齐耳，		
29.15	他们集合自己的弟兄，先行自洁，后照君王的吩咐，根据上主的命令，来清除上主的殿。		
29.16	司祭进入上主的殿宇里面去清除，将上主殿内所有的污秽之物，移到上主殿宇的院内；肋未人接过来，运到城外的克德龙溪。		
29.17	他们在正月一日开始清除，第八天清除到上主的殿。正月十六日清除完毕。		
29.18	于是他们去见希则克雅说：「我们已经将上主的殿宇、全燔祭坛、以及坛上所有的器具、供饼桌、以及桌上所有的用具，全部清洁了；		
29.19	并且连阿哈次王在位犯罪时，所丢弃的器具，我们都整理好，也都清洁了；现在都放在上主祭坛前面。」		
			
29.20t	献祭赎罪		
29.20	希则克雅清晨起来，召集城内的首领，上到上主殿内。		
29.21	人们带来了七只牛犊，七只公绵羊和七只羔羊；此外，还有七只公山羊，为国家，为圣殿，为犹大作为赎罪祭；王遂吩咐亚郎的子孙司祭奉献在上主的祭坛上。		
29.22	祭杀了牛犊，司祭将血取来，洒在祭坛上；祭杀了绵羊，将血洒在祭坛上；祭杀了羔羊，也将血洒在祭坛上。		
29.23	最后，将献作赎罪祭的公山羊，牵到君王和会众面前，他们将手按在公山羊身上，		
29.24	司祭宰杀了，将血献在祭坛上，作为赎罪祭，为以色列民众赎罪，因为君王曾吩咐过：全燔祭和赎罪祭，应为以色列民众奉献。		
29.25	王又派定肋未人用钹、瑟和琴，在上主殿内奏乐，有如达味、王的先见者加得和先知纳堂所吩咐的，亦即上主借先知所吩咐的。		
29.26	于是肋未人拿着达味的乐器，司祭拿着号筒，一起站着。		
29.27	希则克雅遂下令在祭坛上奉献全燔祭。全燔祭开始时，颂扬上主的歌声和号声，也在以色列王达味的乐器伴奏下，随之开始。		
29.28	同时全会众跪拜，唱歌的唱歌，吹号的吹号，这样直到全燔祭献完为止。		
29.29	献完了祭，君王和所有同他在场的人，都屈膝跪拜。		
29.30	此后，希则克雅王和众首领，又吩咐肋未人用达味和先见者阿撒夫的诗词，赞颂上主。他们便欢乐地赞颂了上主，随即俯首朝拜。		
29.31	希则克雅又吩咐说：「你们既然奉献了自己与上主，请近前来，将感恩祭祭物，送入上主殿内。」会众便将感恩祭祭物，以及甘愿献的全燔祭献上。		
29.32	会众所献的全燔祭牺牲总数为：牛犊七十只，公山羊一百只，羔羊二百只，全献给上主作全燔祭。		
29.33	还有祝圣的牲畜：牛犊六百只，羊三千只。		
29.34	由于司祭太少，不能剥尽全燔祭牺牲的皮，所以他们的弟兄肋未人前来协助，直到工作作完，直到司祭自洁完毕，因为肋未人自洁的诚心胜过司祭。		
29.35	此外，还有许多全燔祭、和平祭、脂油，及与全燔祭同奠的酒，等待处理。这样，上主殿内的礼仪就全恢复了。		
29.36	希则克雅和全民众都很快乐，因为天主为人民准备，使此事迅速完成。		
			
			
30.0t	第三十章		
			
30.1t	宣告举行逾越节		
30.1 	希则克雅派人到全以色列和犹大，且也写了封公函给厄弗辣因和默纳协，叫他们来耶路撒冷上主的殿内，向上主以色列的天主举行逾越节，		
30.2 	因为君王与首领和耶路撒冷会众已商妥，在二月举行逾越节。		
30.3 	他们不能如期举行的原因，是因为自洁的司祭尚不敷用，百姓又尚未齐集在耶路撒冷。		
30.4 	君王和全会众都认为这样做很对，		
30.5 	遂下令通告全以色列，从贝尔舍巴直到丹，都来耶路撒冷，向上主以色列的天主举行逾越节，因为人很久没有照章举行这节了。		
30.6 	使者遂带着君王和首领的公函，走遍全以色列和犹大，照君王的吩咐，宣布说：「以色列的子民，你们应当转向上主，亚巴郎、依撒格和以色列的天主，好使他转向你们，这些摆脱亚述王权下的遗民。		
30.7 	你们不可像你们的祖先和弟兄一样，因为他们背叛了上主，他们祖先的天主，上主遂叫他们成了惊骇的对象，有如你们亲眼所见的。		
30.8 	现在，你们再别颈硬，如同你们祖先一样，反应投奔上主，进入他永远祝圣的居所，奉事上主你们的天主，使他的盛怒转离你们。		
30.9 	如果你们转向上主你们的天主，你们的弟兄子女，在掳掠他们的人面前必会蒙受怜悯，会再回到这地；因为上主你们的天主是慈悲的，是仁爱的；如果你们转向他，他决不会转面不顾你们。」		
30.10	使者由这城到那城，走遍了厄弗辣因和默纳协各地，直到则步隆；但是，那里的人却嘲笑侮辱他们。		
30.11	可是，有些阿协尔、默纳协和则步隆人自谦自卑，来到耶路撒冷。		
30.12	天主的手也在犹大行事，使民众一心遵从君王和首领，照上主的话所出的命令。		
			
30.13t	举行逾越节		
30.13	二月，有很多人民聚集在耶路撒冷，举行无酵节，实在是一个大盛会。		
30.14	民众起来，将耶路撒冷所有的丘坛拆毁，将所有焚香的器具拿去，丢在克德龙溪里。		
30.15	二月十四日宰杀了逾越节羔羊；司祭和肋未人自觉惭愧，便圣洁自己，好能在上主殿内奉献全燔祭。		
30.16	他们都按天主仆人梅瑟的法律，各自立在自己的地方，司祭由肋未人手中取过血来，洒在祭坛上。		
30.17	因为会众中有许多人尚未自洁，肋未人便为所有不洁的人，宰杀逾越节的羔羊，好奉献给上主。		
30.18	实在，有许多人，有许多来自厄弗辣因，默纳协、依撒加尔和则步隆的人，没有自洁，就吃了逾越节的羔羊，竟没有遵守明文的规定；为此，希则克雅为他们祈祷说：「		
30.19	凡诚心寻求天主，上主，他们祖先的天主的人，虽然没有依照圣所的洁礼自洁，愿良善的上主予以宽恕！		
30.20	上主垂允了希则克雅，宽恕了百姓。		
30.21	在耶路撒冷的以色列子民，极其欢乐，七天举行了无酵节；肋未人和司祭们，天天赞颂上主，极力赞颂上主。		
30.22	由于所有的肋未人殷勤服事上主，希则克雅便慰劳他们。七天之久，众人吃了节宴，献了和平祭，称谢了上主，他们祖先的天主。		
30.23	以后，全会众议定，再举行七天，于是欢乐地又举行了七天，		
30.24	因为犹大王希则克雅送给了会众一千头牛犊，七千只绵羊；首领们也送给了会众一千头牛犊，一万只绵羊；且有许多司祭已行了自洁礼。		
30.25	犹大全会众、司祭和肋未人，来自以色列的全会众，以及由以色列地来的，或是侨居在犹大的人，都非常高兴。		
30.26	欢乐弥漫了耶路撒冷，自以色列王达味的儿子撒罗满以来，耶路撒冷从未有过这样大的喜庆。		
30.27	肋未人司祭起来为民众祝福，他们的声音承蒙垂听，他们的祈祷达于他天上的神圣居所。		
			
			
31.0t	第三十一章		
			
31.1t	清除偶像		
31.1 	这一切完成以后，所有在场的以色列人就都出去，到犹大各城，将石柱捣碎，将木偶砍倒，将犹大、本雅明、厄弗辣因和默纳协各地的高丘和香坛完全拆除；以后，所有的以色列子民各回了本城，各归己业。		
			
31.2t	重整神职班次		
31.2 	希则克雅又整编了司祭和肋未人的班次，使司祭和肋未人各照自己的班次，各照自己的任务，献全燔祭与和平祭，或服务于上主的营门口，称谢赞颂上主。		
31.3 	君王又由自己的产业中划出一份，作为早晚的全燔祭，安息日、新月和节期的全燔祭，如上主法律上所规定的；		
31.4 	又吩咐住在耶路撒冷的百姓，交出司祭和肋未人所应得的一分，令他们坚守上主的法律。		
31.5 	这道谕旨一出，以色列子民便献了许多初熟的五谷、新酒、油蜜，以及田地的出产；同时将所有物的十分之一，也大批的送了来，		
31.6 	连住在犹大各城的以色列和犹大子民，也将牛羊的十分之一，并应献于上主，他们天主的圣物的十分之一，都送了来，堆积成堆；		
31.7 	由三月开始堆积，至七月才完毕。		
31.8 	希则克雅和首领们前来，看见这些堆积之物，便称赞了上主和他的百姓以色列。		
31.9 	希则克雅向司祭和肋未人问及这些堆积之物，		
31.10	匝多克家的司祭之长阿匝黎雅答说：「自从人民将供物献入上主的殿内以来，我们不但可以饱食，而且还有许多剩余，因为上主祝福了他的百姓；这一大堆全是剩余的。」		
			
31.11t	储藏与分配供物		
31.11	希则克雅吩咐在上主殿内预备仓房；人便预备了，		
31.12	细心将供物和什一之物，以及奉献的圣物，都搬入仓内。肋未人苛纳尼雅为总管，他的兄弟史米为副。		
31.13	耶希耳、阿匝齐雅、纳哈特、阿撒耳、耶黎摩特、约匝巴得，厄里耳、依斯玛基雅、玛哈特和贝纳雅，自苛纳尼和他兄弟史米之下作督察，全是由君王希则克雅和上主殿宇的主席阿		
			
31.14t	匝黎雅所委任的。		
31.14	守东门的肋未人，依默纳的儿子科勒，掌管自愿捐献于天主的礼品，发放献于上主的供物和至圣之物；		
31.15	他以下有厄登、本雅明、耶叔亚、舍玛雅、阿玛黎雅和舍加尼雅，在各司祭城内，按照班次，不分老幼，将物品细心分发给他们的弟兄。		
31.16	此外，又登记了每日进上主殿，依照班次尽职，三十岁以上的男子：		
31.17	司祭依照家族登记；二十岁以上的肋未人，依照职分班次登记。		
31.18	登记时，他们全家妻子儿女，都应包括在内，因为他们都应自洁成圣。		
31.19	至于那住在各城郊外作司祭的亚郎子孙，在各城内有指定的人，给司祭中的男子及登记的肋未人，发放应得的一份。		
31.20	希则克雅在全犹大行事都是如此：行了上主他的天主视为善，视为正，视为义的事。		
31.21	凡他着手所行的，不论是关于上主殿内的敬礼，或关于法律和诫命，都是为了寻求他的天主；凡他诚心所行的，无不顺利。		
			
			
32.0t	第三十二章		
			
32.1t	亚述来犯		
