1:-2t	达尼尔		
13:60	全会众遂大声吶喊，赞美天主，因为他拯救了那些仰望他的人。		
			
13:61t	两个长老被判死刑		
13:61	众人都起来攻击那两个长老，因为达尼尔按照他们二人的口供，证实了他们作假见证；他们怎样恶意对待了自己的近人，民众也怎样对待了他们。		
13:62	于是众人按照梅瑟的法律将他们处死；这样，那一天救了无辜者的血。		
13:63	为此，希耳克雅和他的妻子为女儿苏撒纳，同苏撒纳的丈夫约雅金和自己全体亲友，一起称谢了天主，因为在苏撒纳身上没有找到什么败德的事。		
13:64	从那一天以后，达尼尔在人民面前大受尊重。		
			
			
14:0t	第十四章(43)		
			
14:1t	达尼尔拒拜贝耳		
14:1 	阿斯提雅革归到他祖先那里以后，波斯人居鲁士便继承了他的王位。		
14:2 	达尼尔与王住在一起，且受王尊敬，远在他所有的同僚之上。		
14:3 	巴比伦有一个偶像名叫贝耳，每天为这偶像耗费十二袋细面，四十只绵羊和六桶酒。		
14:4 	君王也恭敬这偶像，每天都去礼拜；但是达尼尔却崇拜自己的天主。		
14:5 	君王曾对他说：「为什么你不崇拜贝耳﹖」达尼尔回答说：「我不敬拜人手制造的偶像，我只敬拜创造天地，主宰全人类的生活的天主。」		
14:6 	君王对他说：「你不以为贝耳是生活的神吗﹖你不见贝耳每天吃喝那么多吗﹖」		
14:7 	达尼尔笑着说：「大王，不要受欺骗!它里面是泥土，外面是黄铜，决不会吃，也不会喝。」		
14:8 	君王大怒，命人将贝耳的司祭召来，对他们说：「你们若不告诉我是谁吃了这些供物，你们就该死；如果你们能证明是贝耳吃了，达尼尔就该死，因为他亵渎了贝耳。」		
14:9 	达尼尔对君王说：「就照你的话做罢!」贝耳的司祭共有七十人，此外还有他们的妻子和儿女。		
14:10	于是君王同达尼尔进了贝耳的庙宇。		
14:11	贝耳的司祭们说：「看，我们都出去!大王!你摆上食物，供上调好的酒，然后关上庙门，门上盖上你的御印；明天早上你来时，如果发现不是贝耳吃了这一切食物，我们情愿受死；否则，那诬告我们的达尼尔就该死。」		
14:12	他们自以为得意，因为他们在供桌下面早开了一个暗门，天天从那里进来，吃光桌上的供物。		
			
14:13t	达尼尔揭穿秘密		
14:13	司祭们出去以后，就在贝耳面前摆上食物。		
14:14	达尼尔命自己的仆役拿灰来，只当着君王面前，将灰撒遍整个庙宇，然后出去，将门关好，盖上君王的御印，就走了。		
14:15	到了夜间，司祭们照常各自带着妻子和孩子进来，吃尽喝尽了一切。		
14:16	大清早，君王起来，达尼尔便陪伴着他一同前来；		
14:17	君王问他说：「达尼尔!印封还完好吗﹖」达尼尔答说：「大王!印封还完好。」		
14:18	及至开了门，君王一看见供桌，即刻大声喊叫说：「贝耳!你是伟大的!你毫无虚假!」		
14:19	达尼尔笑了，并请君王留步，不要进去，说：「请看砌石的地面上；仔细察看这些脚印是谁的脚印﹖」		
14:20	君王说：「我看是男人、女人和孩子的脚印。」		
14:21	于是君王大怒，令人逮捕了司祭和他们的妻子儿女，这时他们才给君王指出他们是由暗门进来，吃尽供桌上的食物。		
14:22	君王遂将他们杀掉，将贝耳交由达尼尔处理；达尼尔便推翻了贝耳和他的庙宇。		
			
14:23t	达尼尔杀死大龙		
14:23	在那地方有一条巴比伦人所敬拜的大龙。		
14:24	君王对达尼尔说：「现在你却不能说这不是生活的神了罢，那么你就应该崇拜它。」		
14:25	达尼尔回答说：「我崇拜的是上主，我的天主，因为只有他是永生的天主；这条龙不是永生的神。大王!请给我全权!我不用刀，也不用棍，就可杀死这条龙。」		
14:26	君王说：「我给你全权!」		
14:27	达尼尔取了沥青、脂油和头发，搀和在一起煎熬，作成丸子送到龙口里；龙吃下以后，就爆裂了。于是达尼尔说：「请看，你们所敬拜的神!」		
			
14:28t	达尼尔被拋入狮圈		
14:28	巴比伦人听了这事以后，非常愤怒，遂团结起来攻击君王，说：「君王竟变成了一个犹太人，他推倒了贝耳，击杀了大龙，屠杀了司祭。」		
14:29	他们来见君王说：「请把达尼尔交给我们；否则，我们要杀死你和你全家的人。」		
14:30	君王见众人迫他太甚，不得已只好将达尼尔交给他们。		
14:31	他们便将达尼尔拋入狮子圈内，达尼尔在那里有六天之久。		
14:32	圈里有七只狮子，每天给它们两个尸体，两只绵羊，但那时却没有给它们，好叫它们吞食达尼尔。		
14:33	当时在犹大有个先知哈巴谷，他做好了肉汤，把饼切好放在罐里，正要往田间去，送给收割庄稼的人。		
14:34	那时上主的天使便对哈巴谷说：「把你预备下的午饭，带到巴比伦去，送给在狮子圈里的达尼尔罢!」		
14:35	哈巴谷说：「我主!我从未见过巴比伦，也不知道狮子圈在什么地方。」		
14:36	上主的天使便抓紧他的头顶，握住他的头发，将他提起，瞬息之间，把他放在巴比伦的狮子圈口。		
14:37	哈巴谷呼喊说：「达尼尔，达尼尔!请吃天主给你送来的午饭罢!」		
14:38	达尼尔说：「天主!你想起了我，你没有拋弃爱慕你的人。」		
14:39	于是达尼尔起来吃了；天主的天使立刻又把哈巴谷送回到原来的地方。		
			
14:40t	达尼尔获救		
14:40	到了第七天，君王前来哀悼达尼尔。当他走近狮子圈往里面观看时，望见达尼尔坐在那里。		
14:41	君王遂大声呼喊说：「上主，达尼尔的天主!你是伟大的，除你以外没有别的神。」		
14:42	于是君王将达尼尔拉上来，将那些想陷害他的人拋进狮子圈里，顷刻之间，他们在君王面前，便被狮子吞噬了。		
14:43	君王遂宣布说：「全地的君民都应敬畏达尼尔的天主，因为他施救，在地上行了神迹奇事，从狮子圈里拯救了达尼尔。」		
