1.-2t	耶肋米亚		
28.14	28:14 因为万军的上主，以色列的天主这样说：我要将铁轭放在这一切民族的颈上，使他们服事拿步高巴比伦王；他们该服事他，因为连田野的走兽我也交给了他。」		
28.15	28:15 耶肋米亚先知于是对哈纳尼雅先知说：「哈纳尼雅!请听，上主并没有派遣你，你竟使这人民相信谎言。		
28.16	28:16 为此，上主这样说：看，我要把你赶出地面；今年你必要死，因为你说了背叛上主的话。」		
28.17	28:17 哈纳尼雅先知就死在那年七月。		
			
			
29.0t	第二十九章(32)		
			
29.1t	致函慰问充军同胞		
29.1 	29:1 以下是先知耶肋米亚从耶路撒冷给被掳去的长老、司祭和先知，以及拿步高从耶路撒冷掳往巴比伦的其余民众寄送的书信全文──		
29.2 	29:2 耶苛尼雅王与太后和太监，犹大和耶路撒冷的政要、技工及铁匠，离开耶路撒冷之后，		
29.3 	29:3 犹大王漆德克雅派沙番的儿子厄拉撒和希则克雅的儿子革玛黎雅去巴比伦见巴比伦王拿步高，耶肋米亚便托他们带去──信上说：「		
29.4 	29:4 万军的上主，以色列的天主，向由耶路撒冷被掳往巴比伦的全体俘虏这样说：		
29.5 	29:5 你们应建筑房屋居住，种植田园，吃田园的出产；		
29.6 	29:6 自己娶妻，生养儿女，也给自己的子女娶妻择夫，生养儿女；在那里繁殖，不要减少。		
29.7 	29:7 在我令你们流徙所到的城里，你们应寻求当地的平安，为当地祈祷上主，因为你们的幸福是有赖于当地的安宁。		
29.8 	29:8 为此万军的上主，以色列的天主这样说：不要让你们中间的先知和卜卦师欺骗你们，不要听信他们所作的幻梦，		
29.9 	29:9 因为这些人奉我名给你们预言谎话，我并没有派遣他们──上主的断语──		
29.10	29:10 上主只这样说：巴比伦的七十年期限一满，我必看顾你们，给你们履行我的诺言，领你们回到这地方。		
29.11	29:11 诚然，我知道我对你们所怀的计划──上主的断语──是和平而不是灾祸的计划，令你们有前途，有希望。		
29.12	29:12 那时你呼求我，前来恳求我，我必俯听；		
29.13	29:13 寻找我，必找到我，因为你们是全心寻求我。		
29.14	29:14 我必将我自己显示给你们──上主的断语──转变你们的命运：从我驱逐你们所至的各国各地召集你们──上主的断语──领你们回到我以前使你们从那里被掳去的地方。		
29.15	29:15 因为上主论及坐在达味宝座上的君王，和住在这城里的全体人民，即没有与你们同去充军的兄弟，这样说：		
29.16	29:16 万军的上主这样说：看，我必给他们招来战争、饥馑和瘟疫，使他们有如坏得不可吃的烂无花果，		
29.17	29:17 以战争、饥馑和瘟疫穷迫他们，使他们在地上各国遭受虐待，在我驱逐他们所到的各民族中，成为咒骂、惊恐、嘲笑、诅咒的对象，		
29.18	29:18 因为他们没有听从我的话──上主的断语──我不断给他们派遣我的仆人先知，他们却没有听从──上主的断语──		
29.19	29:19 至于你们，这些我由耶路撒冷迁往巴比伦的全体俘虏，你们应该听从上主的话。		
29.20	29:20 也许你们要说：上主在巴比伦给我们兴起了一些先知。		
29.21	29:21 但万军的上主，以色列的天主，论及奉我名给你们预言谎话的科拉雅的儿子阿哈布，和玛阿色雅的儿子漆德克雅这样说：看，我必将他们交在巴比伦王拿步高的手中，在你们面前将他们处决；		
29.22	29:22 在巴比伦的一切犹大俘虏，必拿他们当诅咒说：愿上主使你象巴比伦王用火烙死的漆德克雅和阿哈布!		
29.23	29:23 因为他们在以色列中间行了败德的事：奸污人的妻子，妄用我的名字，说我没有吩咐的话；这是我知道的，我就是见证──上主的断语。」		
			
29.24t	反对慰问书的假先知		
29.24	29:24 你应对乃赫蓝人舍玛雅这样说：		
29.25	29:25 万军的上主，以色列的天主这样说：因为你以自己的名义，给在耶路撒冷的全体人民，和司祭玛阿色雅的儿子责法尼雅，及所有的司祭致书说：「		
29.26	29:26 上主立你代替司祭约雅达为司祭，作上主殿宇的监督，为拘捕一切自充先知的狂妄之徒，给他带上脚镣铁枷。		
29.27	29:27 为什么你至今还不责斥向你自称为先知的阿纳托特人耶肋米亚﹖		
29.28	29:28 他竟派人到巴比伦对我们说：为期尚远；不如建屋居住，种植田园，吃田园的出产!」		
29.29	29:29 司祭责法尼雅当面将这书信念给先知耶肋米亚听了。		
29.30	29:30 于是有上主的话传给耶肋米亚说：「		
29.31	29:31 你派人对全体俘虏说：论及乃赫蓝人舍玛雅，上主这样说：因为舍玛雅没有我的委派，竟向你们说预言，叫你们相信谎言，		
29.32	29:32 为此上主这样说：看，我必惩罚乃赫蓝人舍玛雅和他的后裔：他的后代必没有一个人住在这民族中，能见到我赐给我人民的幸福──上主的断语──因为他说了背叛上主的话。」		
			
			
30.0t	第三十章(24)		
			
30.1t	预言以色列复兴		
30.1 	30:1 这是上主传给耶肋米亚的话：		
30.2 	30:2 上主以色列的天主这样说：「凡我对你说的话，你都要写在一本书上，		
30.3 	30:3 因为，看，时日将到──上主的断语──我必转变我人民以色列和犹大的命运──上主说──使他们回去占领我赐给他们祖先的土地。」		
30.4 	30:4 以下是上主论及以色列和犹大说的话：		
30.5 	30:5 上主这样说：「人听到了恐怖的喊叫：只有恐慌，没有平安。		
30.6 	30:6 你们且自问自究：是否男人要生产﹖为什么我竟见人人两手叉腰，象正在生产的妇女，个个面色显得苍白﹖		
30.7 	30:7 噫!这一天，真伟大，无可比拟，虽为雅各伯是痛苦的时期，但他们将由此而得救。		
30.8 	30:8 到了那一天──万军上主的断语──我要折断他们颈上所负的轭，粉碎他们的锁链，他们不再作外方人的奴隶，		
30.9 	30:9 只服事上主，他们的天主，和我给他们兴起的君王达味。		
30.10	30:10 为此，我的仆人雅各伯，你不用害怕──上主的断语──以色列，你不要惊慌；因为，看，我必从远方救出你来，从充军之地救回你的后裔；使雅各伯归来，居享安宁，无所恐惧，		
30.11	30:11 因为有我与你同在──上主的断语──作你的救援。诚然，对我使你流徙所到的各民族，我要执行毁灭；但对你，我却不执行毁灭，只依正义惩罚你，不让你全然免罚。」		
			
30.12t	罪的恶果		
30.12	30:12 不错，上主这样说：「你的创伤不可治疗，你的伤口无法医治；		
30.13	30:13 没有人愿意担任调理你的创伤，无药可使你的伤处收结。		
30.14	30:14 你所有的爱人都忘掉了你，不再追求你，因为我象打击敌人一样，以残酷的刑罚打击了你，因为你太不义，你的罪恶，增添不已。		
30.15	30:15 为什么你还要为你的创伤悲号﹖你的创伤已不可治疗：因为你太不义，你的罪恶增添不已，我才这样对待了你。		
30.16	30:16 但是，凡吞灭你的，必被吞灭；凡与你为敌的，必被掳去充军；凡劫掠你的，必遭劫掠；凡抢夺你的，我必使他们受人抢夺。		
30.17	30:17 实在，我要使你的伤处收结，疗愈你的创伤──上主的断语──因为他们称你为弃妇，无人过问的熙雍。」		
			
30.18t	以民的复兴		
30.18	30:18 上主这样说：「看，我要转变雅各伯帐幕的命运，怜悯他的家室，好使城市仍建在自己的山上，宫殿依然耸立在自己的原处，		
30.19	30:19 从那里发出颂谢的歌声，欢乐的呼声。我必使他们繁昌，人数不再减少；我要显耀他们，使他们不再受人轻视。		
30.20	30:20 他们的子孙必要象昔日一样，在我面前重新建立自己的集会；凡压迫他们的，我必予以惩罚。		
30.21	30:21 他们的元首，将是他们中的一个；他们的统帅，将出自他们之中；我要使他们前来接近我，他必与我接近，因为谁敢冒性命的危险，来与我接近──上主的断语──		
30.22	30:22 这样，你们必作我的人民，我必作你们的天主」。		
30.23	30:23 看，上主的愤怒，如暴风怒号，如撗扫的暴风，在恶人的头上施转。		
30.24	30:24 上主的烈怒必不止息，直到他执行完成了他心里的计划；在末日你们必会明了。		
			
			
31.0t	第三十一章(40)		
			
31.1t	重订新约		
31.1 	31:1 在那时候──上主的断语──我将作以色列各宗族的天主，他们将作我的人民。		
31.2 	31:2 上主这样说：逃脱了刀剑的人民，在旷野中找到了宠遇；以色列来到了自己安身的地方。		
31.3 	31:3 上主自远处显现给她说：我爱你，我永远爱你，因此我给你保留了我的仁慈；		
31.4 	31:4 我要再修建你，而你必再建立起来；你必再带上你的小鼓，出来欢乐歌舞；		
31.5 	31:5 再在撒马黎雅山上栽种葡萄，栽种培埴，必有收获；		
31.6 	31:6 因为终有一天，守望的人要在厄弗辣因山上喊说：起来，让我们上熙雍去，到上主我们的天主那里去!		
			
31.7t	北国流亡子民必要归来		
31.7 	31:7 因为上主这样说：你们应为雅各伯欢呼，向为首的民族喝采，传扬称赞说：上主救了自己的百姓，以色列的遗民。		
31.8 	31:8 看，我由北地引他们归来，从大地的尽头召集他们，其中有瞎子，有跛子，有怀孕的和正在生产的，形成一大队回到这里来。		
31.9 	31:9 他们含泪前行，我却抚慰引导，领他们踏上不会跌倒的坦途，来到溪流旁，因为我是以色列的慈父，厄弗辣因是我的长子。		
			
31.10t	请万民赞颂施救的天主		
31.10	31:10 万民!请听上主的话，向遥远的海岛宣传说：那昔日驱散以色列的，再要聚集他们，看守他们象牧童看守自己的羊群。		
31.11	31:11 因为上主必拯救雅各伯，从比他更强者的手中将他们赎回。		
31.12	31:12 他们将要前来，在熙雍山巅欢呼，涌向上主的美物，饱享谷、麦、酒、油，小牛、小羊；他们的心灵要好象受灌溉的田园，再也不感憔悴。		
31.13	31:13 那时，处女必欢欣鼓舞，老幼必相聚同乐，因为我将使的悲哀变成喜乐，使他们由自己的忧苦中获得安慰欢乐；		
31.14	31:14 我将以肥脂滋润司祭的心灵，以美物饱饫我的人民──上主的断语。		
			
31.15t	以色列复归天主		
31.15	31:15 上主这样说：「听!在辣玛有叹息声，酸辛哭泣；辣黑耳悲悼自己的儿子，不愿受安慰，因为他们已不存在了!」		
31.16	31:16 上主这样说：「要止住痛哭，不再流泪，因为你的辛苦终必有报──上主的断语──他们必会由敌地归来!		
31.17	31:17 你们的前途大有希望──上主的断语──你的子孙都要归回自己的疆域。		
31.18	31:18 我实在听到厄弗辣因在悲叹说：你惩罚了我，我受了杖搫，有如一头不驯服的公牛犊；你使我归来，我必归来，因为你是上主，我的天主。		
31.19	31:19 的确，我自离弃你以后，我已后悔；在我觉悟以后，我拍腿自惭自愧，因为我又染上了我少年时的耻辱。		
31.20	31:20 厄弗辣因岂不是我的宠儿，我钟爱的娇子﹖因为我几时恐吓他，反倒更顾念他；对他我五内感动，不得不大施爱怜──上主的断语」。		
31.21	31:21 请你给自己树立路程碑，设置指路牌，细心回想你走的路线，以往你走过的大道；以色列处女!归来，回到你自己的城邑。		
31.22	31:22 你要流浪到几时﹖叛逆的女儿!因为上主在地上正在创造一件新事：女人包围男人。		
			
31.23t	南国也要由充军地归来		
31.23	31:23 万军的上主，以色列的天主这样说：「当我转变他们的命运时，在犹大地和她城市中的人，还要用这话祝贺说：正义的所在，神圣的山岭!愿上主降福你。		
31.24	31:24 犹大和她各城中的人，农夫和随羊迁徙的人，将要同住在那里，		
31.25	31:25 因为我要振作困乏的心灵，饱饫一切苦闷的心灵?ぉ?		
31.26	31:26 至此，我醒来了，我看见了，我的睡眠为我实在甘甜?ぉ?		
31.27	31:27 看，时日将到──上主的断语──我要给以色列家和犹大家播散人种和兽种；		
31.28	31:28 就如昔日我曾监视他们，为将他们拔除、破坏、推翻、毁灭、损害；同样，日后我必要监视他们、为将他们建设、栽培──上主的断语──		
31.29	31:29 在那时日里，人必不再说：「祖先吃了酸葡萄，子孙的牙齿也要酸软」。		
31.30	31:30 不，各人只因自己的罪恶而死；只有吃酸葡萄的人，自己的牙齿才酸软。		
			
31.31t	天主与新以民订立新约		
31.31	31:31 看，时日将到──上主的断语──我必要与以色列家和犹大家订立新约，		
31.32	31:32 不象我昔日──握住他们的手，引他们出离埃及时──与他们的祖先订立盟约；虽然我是他们的夫君，他们已自行破坏了我这盟约──上主的断语──		
31.33	31:33 我愿在那些时日后，与以色列家订立的盟约──上主的断语──就是：我要将我的法律放在他们的肺腑里，写在他们的心头上；我要作他们的天主，他们要作我的人民。		
31.34	31:34 那时，谁也不再教训自己的近人或弟兄说：「你们该认识上主」，因为不论大小，人人都必认识我──上主的断语──因为我要宽恕他们的过犯，不再记忆他们的罪恶。		
			
31.35t	内在的新约永存不废		
31.35	31:35 那指定太阳照耀白日，规定月亮星辰照耀黑夜，拨动海洋使波涛怒号，号称「万军的上主」的上主这样说：		
31.36	31:36 假若这些规定已由我面前消失──上主的断语──以色列种族在我面前也就永不再是一个民族。		
31.37	31:37 上主这样说：假若人能测量在上的诸天，能探察在下大地的基础，我也就因他们所做的一切，拋弃整个以色列种族──上主的断语」。		
			
31.38t	新国新首都		
31.38	31:38 看，时日将到──上主的断语──上主的城必要重建，不但自哈纳乃耳堡直到角门，		
31.39	31:39 而且测量的绳墨还要向外伸展，直到加勒布丘，再转向哥阿；		
31.40	31:40 连满了尸首和灰烬的整个山谷，以及直到克德隆溪流和东边马门角旁所有的田地，都将祝圣给上主，永不再遭受摧残破坏。」		
			
			
32.0t	第三十二章(44)		
			
32.1t	先知奉命买田		
32.1 	32:1 犹大王漆德克雅第十年，拿步高在位第十八年，由上主传给耶肋米亚的话：		
32.2 	32:2 那时巴比伦王的军队正围攻耶路撒冷，耶肋米亚先知被幽禁在犹大王室监狱的庭院里。		
32.3 	32:3 犹大王漆德克雅幽禁了先知，对他说：「你为什么预言说：上主这样说：看，我必将这城交在巴比伦王手中，他要占领这座城；		
32.4 	32:4 犹大王漆德克雅必逃不出加色丁人的手，因为他必被交在巴比伦王的手中，与他面对面相谈，眼对眼相视；		
32.5 	32:5 他必带漆德克雅到巴比伦去，住在那里，直到我再来看顾他──上主的断语──你们若抵抗加色丁人，决不会成功﹖」		
32.6 	32:6 耶肋米亚说：「有上主的话传给我说：		
32.7 	32:7 看，你叔父沙隆的儿子哈纳默耳要到你这里来说：你购买我在阿纳托特的那块田吧!因为你有买回的权利，应把它买回来」。		
32.8 	32:8 我叔父的儿子哈纳默耳，正如上主所说，到监狱庭院里来找我，对我说：「请你购买我在本雅明地内阿纳托特的那块田吧!因为你有继承权，和有权买回你为你自己买下吧!」于是我知道，这是上主的话。		
32.9 	32:9 我便买了我叔父的儿子哈纳默耳在阿纳托特的那块田地，秤给他十七「协刻耳」银子，		
32.10	32:10 写了契约，封上，请人作证，在天平上秤了银子；		
32.11	32:11 然后按照法定条例，拿着加封和未加封的购买契约，		
32.12	32:12 当着我叔父的儿子哈纳默耳，和在购买契约上签名的见证人，以及监狱庭院里在座的众犹大人眼前，将这购买的契约交给了乃黎雅的儿子，玛赫色雅的孙子巴路克，		
32.13	32:13 并当着他们眼前吩咐巴路克说：		
32.14	32:14 「万军的上主，以色列的天主这样说：将这些加封和未加封的文件，购买的契约拿去，放在一瓦器内，长久保存，		
32.15	32:15 因为万军的上主，以色列的天主这样说：在这地方，人还要购买房屋、庄田和葡萄园」。		
			
32.16t	耶肋米亚的祈祷		
32.16	32:16 我将购买的契约交给乃黎雅的儿子巴路克以后，便祈求上主说：		
32.17	32:17 「啊!我主上主!看，你以你的大能和伸展的手臂，创造了天地；为你是没有困难的事。		
32.18	32:18 你对千万人施行仁慈，但也向后世的子孙本人，追讨他们祖先的罪债；你是伟大有力的天主，「万军的天主」是你名号。		
32.19	32:19 你有伟大的计谋，行大事的能力；双目注视人类子孙所有的行径，依照各人的行径和行事的结果，给予报酬。		
32.20	32:20 你直到今日在埃及地，在以色列和人世间，施行奇迹和异事，使你自己成名，有如今日；		
32.21	32:21 你以灵迹奇事，有力的手腕和伸展的臂膊，巨大恐吓，从埃及地领出了你的人民以色列，		
32.22	32:22 给了他们你曾向他们的祖先起誓，要给他们的这块流奶流蜜的土地。		
32.23	32:23 他们来了，占领了这地，却没有听从你的声音，没有履行你的法律，没有做你命他们应做的一切事，为此你给他们招来了这一切灾祸。		
32.24	32:24 看，围攻的工事已逼近城市，势必攻陷；这个已面临兵刀饥荒和瘟疫的城市，必落在进攻的加色丁人手中；你所说的现已实现，你已目睹；		
32.25	32:25 然而，我主上主!正当这城交在加色丁人手中之际，你却对我说：你要请人作证，用银子购买田地」。		
			
32.26t	上主的答复		
32.26	32:26 于是有上主的话传给我说：		
32.27	32:27 「看，我是上主，是一切有血肉者的天主：难道我有做不到的事吗﹖		
32.28	32:28 为此，上主这样说：看，我将这城交在加色丁人和巴比伦王拿步高的手中，他必占领这座城。		
32.29	32:29 进攻这城的加色丁人要来放火焚烧，把这座城和在屋顶上给巴耳焚香，向外神行奠礼，惹我动怒的房屋，烧得干干净净，		
32.30	32:30 因为以色列和犹大子民自幼在我眼前只知作恶；实在，以色列子民双手所行的，无不使我动怒──上主的断语──		
32.31	32:31 实在，这座城，自从他们开始建筑那一天，直到今日，常惹我动怒生气，致使我不得不从我面前将她消灭。		
32.32	32:32 这全是出于以色列和犹大子民，即他们、他们的君王、朝臣、司祭、先知，以及犹大人和耶路撒冷的居民，所行的一切使我动怒的恶事。		
32.33	32:33 他们对我转过背来，却不对我转过脸来；我虽不断恳切施教，他们仍不愿听从，接受劝告；		
32.34	32:34 反将可恶之物安置在归我名下的殿里，使我的殿宇受到了玷污；		
32.35	32:35 又在本希农山谷给巴耳建立了一些丘坛，给摩肋客火祭自己的子女：这是我从来没有吩咐，也从来没有想到过的事；他们竟做出这些可恶的事，来引诱犹大犯罪。		
32.36	32:36 现在，上主以色列的天主，对这座你说要因兵戈饥荒瘟疫，而被交在巴比伦王手中的城市，却这样说：		
32.37	32:37 看，我必从我生气愤恨发怒时驱逐他们所到的各地，再召集他们，领他们回到这地方来，安然居住，		
32.38	32:38 作我的人民，我作他们的天主，		
32.39	32:39 且使他们一心一德，终生敬畏我，造福自己和自己后代的子孙；		
32.40	32:40 与他们订立一永久的盟约，再不离弃他们，为他们谋幸福，将敬畏我之情赋于他们心内，使他们不再离开我；		
32.41	32:41 乐意好待他们，专心致志将他们安顿在这城里。		
32.42	32:42 因为上主这样说：我怎样给这人民招来了这一切大灾祸，也要同样给他们招来我预许的一切幸福。		
32.43	32:43 在这个你们说已成荒野，已人兽绝迹，已交在加色丁人手中的地域里，还有田地的交易；		
32.44	32:44 在本雅明地，在耶路撒冷城郊，在犹大、山地、平原和南部的城里，人们还要花钱买田，写契盖章，请人作证，因为我要转变他们的命运──上主的断语」。		
			
			
33.0t	第三十三章(26)		
			
33.1t	上主预许复兴		
33.1 	33:1 耶肋米亚还拘禁在监狱的庭院的时候，又有上主的话传给他说：		
33.2 	33:2 那创造形成和奠定大地，且名叫「雅威」的上主这样说：		
33.3 	33:3 你呼唤我，我必答复你，把伟大和你不知道的奥秘事情告诉你。		
33.4 	33:4 上主以色列的天主这样论及这城里为围攻工事和武力摧毁的房屋和犹大王宫说──		
33.5 	33:5 他们前去与加色丁人交战，只不过是将尸体充塞城市，因为我以盛怒杀戳了他们，因了他们的种种罪恶，我已掩面不顾这城市──		
33.6 	33:6 看，我必使他们的疮痍收口痊愈，获得医治；给他们大开和平安宁的宝库；		
33.7 	33:7 转变犹大和以色列的命运，使他们复兴如初；		
33.8 	33:8 洗除他们得罪我的一切罪恶，赦免他们得罪和违背我的一切过犯。		
33.9 	33:9 这城必使我在普世万民间获得喜庆、赞美和光荣；他们听到我对这城行的一切善事，必因我赐给这城的种种幸福与和平，起敬起畏。		
33.10	33:10 上主这样说：「在你们所谓人兽绝迹的荒野地方，在犹大的城市和耶路撒冷，没有居民和牲畜的荒凉街上，		
33.11	33:11 人还要听到愉快和喜乐的声音，新郎和新娘的声音；还要听见在上主殿宇奉献感恩祭的人说：请你们赞颂万军的上主，因为上主是美善的，他的慈爱永远常存；因为我要转变这地的命运，使它复兴如初──上主说」。		
33.12	33:12 万军的上主这样说：「在这人兽绝迹的荒凉地方，和其中所有的城市里，仍要有牧童牧放羊群的牧埸；		
33.13	33:13 在山地和平原以及南部的各城镇里，在本雅明地，在耶路撒冷城郊，在犹大的各城市里，仍要有人数点手下经过的羊群──上主说。		
			
33.14t	正义的萌芽		
33.14	33:14 看，时日将到──上主的断语──我要实践我对以色列家和犹大家预许赐福的诺言。		
33.15	33:15 在那些日子里，在那时期内，我必由达味出生一正义的苗芽，在地上执行公道和正义；		
33.16	33:16 在那时日里，犹大必获救，耶路撒冷必居享安宁，人用以称呼她的名字将是「上主是我们的正义」。		
33.17	33:17 因为上主这样说：达味总不断有人坐在以色列家的宝座上；		
33.18	33:18 肋未司祭也总不断有人站在我前奉献全燔祭，焚烧祭品，天天杀牲举祭」。		
			
33.19t	达味后裔的义务		
33.19	33:19 有上主的话传给耶肋米亚说：		
33.20	33:20 「上主这样说：假若你们能破坏我与白日黑夜订立的盟约，使白日黑夜不再依循自己的时序，		
33.21	33:21 那我与我仆达味的盟约也就可以破坏，使他再没有儿子继位为王；我与我的仆役肋未司祭的盟约，也就可以破坏。		
33.22	33:22 我要这样增添我仆达味的后裔和服事我的肋未人，有如天上数不清的军旅，海中量不尽的沙粒」。		
			
33.23t	天主必要转变以民的命运		
33.23	33:23 有上主的话传给耶肋米亚说：		
33.24	33:24 「难道你没有注意这人民说些什么话吗﹖他们说：上主拣选了两个家族，如今他又把他们拋弃了!他们竟这样轻视我的人民，不再把他们看作一个民族。		
33.25	33:25 上主这样说：假若我没有与白日黑夜订立盟约，没有给上天下地设立轨道，		
33.26	33:26 我就可以拋弃雅各伯与我仆达味的后裔，不再由他的后裔选拔人，来统治亚巴郎、依撒格和雅各伯的后裔，因为我必要怜悯他们，转变他们的命运」。		
			
			
34.0t	第三十四章(22)		
			
34.1t	漆德克雅的悲惨结局		
34.1 	34:1 当巴比伦王拿步高与自己所有的军队，及他手下统治的天下各国和一切民族，前来进攻耶路撒冷和她所有的城镇时，有上主的话传给耶肋米亚说：		
34.2 	34:2 「上主以色列的天主这样说：你去对犹大王漆德克雅说，告诉他上主这样说：看，我必将这城交在巴比伦王手中，他将放火烧城，		
34.3 	34:3 你必逃不出他的手，终必被擒，交在他手中；你必要与巴比伦王目对目相视，面对面相谈；你必要到巴比伦去；		
34.4 	34:4 但是，犹大王漆德克雅!请听上主的话，上主论你这样说：你决不会死在刀下，		
34.5 	34:5 必要平安死去；正如有人给在你以前的上代祖先君王焚香，同样也有人给你焚香，向你致哀；『噫嘻，我主!』的确，是我说了这话──上主的断语」。		
34.6 	34:6 耶肋米亚先知就在耶路撒冷，对犹大君王漆德克雅说了这一切话，		
34.7 	34:7 那时巴比伦王的军队正在攻打耶路撒冷和犹大所余的城市，攻打拉基士和阿则卡，因为在犹大城市中，只剩下了这两座设防的城市。		
			
34.8t	未守解放奴隶的信约		
34.8 	34:8 漆德克雅王与当时在耶路撒冷的全体人民订约，要对奴婢宣布自由以后，有上主的话传给耶肋米亚：		
34.9 	34:9 每人应释放自己的希伯来奴婢，使他们获享自由；谁也不该再以自己的弟兄犹大人作奴婢。		
34.10	34:10 所有入盟的首长和全体人民都同意，每人要释放自己的奴婢，使他们获享自由，不再以他们为奴婢：他们同意了，也释放了。		
34.11	34:11 但是，后来他们改变主意，把他们释放恢复自由的奴婢，再叫回来，强迫他们再作奴婢。		
34.12	34:12 于是有上主的话传给耶肋米亚说：		
34.13	34:13 「上主以色列的天主这样说：在我领你们的祖先，由埃及地，奴隶之所，出来的那一天，与他们订立了盟约说：		
34.14	34:14 每七年初，你们应各自释放卖身给你的希伯来弟兄：他服事了你六年，你应该让他自由离去。你们的祖先却不听，也不向我侧耳。		
34.15	34:15 今日你们自己反悔，作了我认为正直的事，各向自己的近人宣布自由，在归我名下的殿里，当着我面订了盟约。		
34.16	34:16 但事后却变了主意，亵渎我名，竟再召回自己已经释放，身获自由的奴婢，迫使他们再做你们的奴婢。		
34.17	34:17 为此上主这样说：你们既不听从我，各向自己的弟兄，各向自己的近人宣布自由，看，我来对你们宣布释放刀剑和瘟疫及饥荒的自由──上主的断语──使你们成为地上一切王国惊慌恐怖的对象。		
34.18	34:18 凡违犯我盟约，即凡不履行剖开牛犊，由两半中间走过，在我面前所立的盟约誓词的人，我必将他们交出：		
34.19	34:19 凡剖开牛犊，由两半中走过的犹大和耶路撒冷的首长、官员、司祭，以及当地的全体人民，		
34.20	34:20 我必将他们悉数交在他们的敌人，和图谋他们性命者的手中，使他们的尸首成为天上飞鸟和地上走兽的食物。		
34.21	34:21 至于犹大王漆德克雅和他的臣相，我也将他们交在他们敌人的手中，交在图谋他们性命者的手中，交在由你们面前撤退的巴比伦王军队的手中。		
34.22	34:22 我必下令──上主的断语──叫他们再回来，进攻，占领，火烧这城市；至于犹大的其它城市，我必使它们化为无人居住的荒野」。		
			
			
35.0t	第三十五章(19)		
			
35.1t	以勒加布人为示范		
35.1 	35:1 犹大王约史雅的儿子约雅金为王时，上主有话传给耶肋米亚说：		
35.2 	35:2 「你到勒加布人家里去，与他们会谈，引他们走进上主殿宇的一间房里，给他们酒喝」。		
35.3 	35:3 于是我带了哈巴漆尼雅的孙子，依尔米雅的儿子雅匝尼雅，和他的兄弟与他所有的儿子，以及勒加布全家，		
35.4 	35:4 到了上主的殿宇，进了天主的人依革达里雅的儿子哈南的儿子们的房间──这间房靠近长官室，正是在看守殿门的沙隆的儿子玛阿色雅的住房上面，		
35.5 	35:5 将满杯满爵的酒，摆在勒加布的子孙面前，向他们请说：「请喝酒吧!」		
35.6 	35:6 他们答说：「我们不喝酒，因为我们的祖先勒加布的儿子约纳达布曾吩咐我们说：你们和你们的儿子永不可喝酒；		
35.7 	35:7 也不可建造房屋，不可播种，不可栽植或占有葡萄园，却要终生住在帐幕里，好使你们能长久生活在你们作客的地方。		
35.8 	35:8 在我们的祖先勒加布的儿子约纳达布吩咐我们的一切事上，我们全听从了他的话，我们、妻子和儿女，终生不喝酒，		
35.9 	35:9 也不建造房屋居住，也没有葡萄园或田地和播种的事，		
35.10	35:10 只住在帐幕里，全听从并履行我们的祖先约纳达布吩咐的事。		
35.11	35:11 只在巴比伦王拿步高上来进攻这地时，我们才说：走吧!到耶路撒冷去，躲避加色丁和阿兰军队；从此我们才住在耶路撒冷」。		
35.12	35:12 于是有上主的话传给耶肋米亚说：		
35.13	35:13 「万军的上主，以色列的天主这样说：你去对犹大人和耶路撒冷的居民说：你们不接受教训，听从我的话吗﹖──上主的断语──		
35.14	35:14 勒加布的儿子约纳达布的话居然有人遵守：他命子孙们不喝酒，他们直到今日就不喝酒，全听从了他们祖先的命令；我不断恳切教训你们，你们却没有听从；		
35.15	35:15 我给你们派遣──且不断派遣，我所有的仆人先知们，来劝你们各自离弃自己的邪道，改善自己的行为，不再追随事奉外方的神祗，好能住在我赐给你们和你们祖先的地方；你们仍不侧耳听从我。		
35.16	35:16 实在，勒加布的儿子约纳达布的子孙，遵守了他们祖先吩咐的命令；至于这民族，却不听从我。		
35.17	35:17 为此，上主万军的天主，以色列的天主这样说：看，我必给犹大和耶路撒冷所有的居民，招来我对他们所预告的一切灾祸，因为我训谕他们，他们不听；我呼唤他们，他们不答应」。		
35.18	35:18 于是耶肋米亚对勒加布人家族说：「万军的上主，以色列的天主这样说：因为你们听从了祖先约纳达布的命令，遵守了他的一切规诫，完全依照他所吩咐的做了；		
35.19	35:19 为此，万军的上主，以色列的天主这样说：勒加布的儿子约纳达布从此永不会缺少侍立在我面前的人」。		
			
			
36.-1t	三编耶路撒冷毁灭前后(36-45)		
			
36.0t	第三十六章(32)		
			
36.1t	约雅金王火烧卷册		
36.1 	36:1 犹大王约史雅的儿子约雅金第四年，上主有这话传给耶肋米亚说：		
36.2 	36:2 「你拿卷册来，写上自从我由约史雅时日，对你说话那一天以来，直到今日，关于耶路撒冷和犹大及列邦对你所说的一切话，		
36.3 	36:3 也许犹大家听了我有意对他们施行的一切灾祸，会各自离弃自己的邪道，叫我好宽恕他们的过犯和罪恶」。		
36.4 	36:4 于是耶肋米亚叫了乃黎雅的儿子巴路克来；巴路克依照耶肋米亚的口授，在卷册上写上了上主对先知说的一切话。		
36.5 	36:5 耶肋米亚吩咐巴路克说：「我被阻止，不能到上主殿宇去，		
