1.-1t	引论 各支派分占许地与宗教概况(1:1-3:6)
17.0t	第十七章
	
17.1t	米加的母亲制造神像
	
17.1	厄弗辣因山地有一个人，名叫米加，
17.2	他、
17.3	对自己的母亲说：「有人拿去你那一千一百银钱，对这事你曾起过誓，我也亲自听见你说：我要亲手把这项银钱奉献给上主，为我儿做一尊神像。看，银钱在这里，是我拿了；如今还给你! 」他的母亲就说：「愿我儿蒙上主祝福! 」于是米加就把一千一百银钱还给他的母亲。
17.4	当他把银钱还给他的母亲以后，她的母亲便拿出两百银子给了银匠，请他制造一尊神像，安放在米加的家里。
17.5	于是米加为这尊神像盖了一座神庙。又做了「厄弗得」和「忒辣芬，」委派自己的一个儿子充任司祭。
17.6	当时在以色列没有君王，各人任意行事。 
	
17.7t	米加收肋未为司祭
	
17.7	当时有一个少年，他是个肋未人，从猷大白冷，即从猷大支派来到那里作客。
17.8	这人离开猷大白冷，想找一个可寄居的地方；当他旅行的时候，来到厄弗辣因山地，米加的家旁，
17.9	米加问他说：「你从那里来？」他回答说：「我是个肋未人，由猷大白冷来，想找一个可寄居的地方。」
17.10	米加就对他说：「你住在我这里罢! 作我的师傅和司祭，我每年给你十块银钱，还照管你的吃穿。」米加挽留那肋未人，
17.11	他遂同意住在米加那里，他看待这少年好似自己的儿子。
17.12	米加又委任了这肋未人，这人遂作了他的司祭，住在米加家中。
17.13	于是米加说：「如今我知道上主必施恩于我，因为有位肋未人作了我的司祭。」
	
18.0t	第十八章
	
18.1t	丹人侦探新地
	
18.1	那时在以色列没有君王，同时丹支派仍在寻找居住的基地，因为直到那一天在以色列支派中，丹支派尚未得到基地。
18.2	于是丹子孙从祚辣和厄市陶耳，由全家族中，派了五个勇敢的人去窥探侦察那地方，对他们说：「你们去侦察那地方! 」他们到了厄弗辣因山地，来到米加的住宅，就在那里过夜。
18.3	他们在米加家附近，认出那少年肋末的声音，就过去向他说：「谁领你来到这里？你在这里作甚么？你在这里有甚么职务？」
18.4	他回答说：「米加待我如此如此! 他聘了我作他的司祭。」
18.5	他们对他说：「你求问天主，使我们知道，我们将走的路顺利吗？」
18.6	司祭回答他们说：「你们平安去罢! 上主必使你们所走的路顺遂。」
18.7	于是那五个人就去了，来到拉依士，在那里看见城中的人民安居乐业，一如漆冬人一样，平安无虑，地产丰富，一无所缺；并且他们离漆冬又远，与阿兰也没有往来。
18.8	当他们回到祚辣和厄市陶耳自己弟兄那里时，弟兄们问他们说：「你们带来什么消息？」
18.9	他们回答说：「起来，让我们上到拉依士去，因为我们已察看过，那地真肥美，你们还等什么？不要再迟延，赶快去占领!
18.10	到那里去，是到一个不设防的人民那里去，地面宽广辽阔；天主已把那地交在你们手中；那地方物产丰富，一无所缺。」
18.11	于是有六百丹支派的人，带著武器，从祚辣和厄市陶耳出发，
18.12	经过山路，在犹大克黎雅特耶阿陵安营；因此，那地方直到今日叫作「丹营；」这地是在克黎雅特耶阿陵西面。
18.13	他们又从那里经过厄弗辣因山地，来到米加的住处。 
	
18.14t	丹人抢去米加的神像
	
18.14	当时先去窥探那地的五个人，告诉弟兄们说：「你们知不知道，在此家内有「厄弗得、」「忒辣芬」和一尊神像？现在你们要决定当作什么。」
18.15	于是他们转入米加的住宅，来到少年肋末人的屋里，向他请安问好。
18.16	同时那六百丹人带著兵器站在门口，
18.17	先去探地的那五个人就上去，进到里面，要拿那尊神像并「厄弗得」和「忒辣芬，」此时司祭和那六百个带武器的人站在门口。
18.18	当那些人进入米加家里，拿那尊神像、「厄弗得」和「忒辣芬」时，司祭问他们说：「你们做什么？」
18.19	他们回答说：「不要作声，用手掩住你的口，跟我们去，作我们的师傅和司祭；你作一个人家的司祭好呢？还是在以色列中间作一个支派，一个家族的司祭好呢？」
18.20	司祭满怀高兴，遂带了「厄弗得、」「忑辣芬」和神像，到了那些人中间。
18.21	他们遂转身回去，把妇孺、牲口以及辎重放在前方。
18.22	当他们离开米加的住宅相当远的时候，米加和米加家附近的人，都聚集起来，去追赶丹的子孙。
18.23	他们向丹的子孙呼喊，丹的子孙回过脸来对米加说：「你叫喊什么？」
18.24	米加回答说：「你们把我所制的神像和司祭都带走，我还有什么呢？」怎么你们还向我说：你作什么？」
18.25	丹的子孙对他说：「不要再让我们听见你的声音，免得我们中间有暴燥的人打击你们，使你和你全家都丧失性命! 」
18.26	此后，丹的子孙继续前行，米加见他们比自己强大，就转身回了家。 
	
18.27t	丹族占据拉依士
	
18.27	丹的子孙带著米加所做的神像和他私有的司祭，来到拉依士，到了一个平安无虑的人民那里，用刀剑杀戮了他们，放火烧了那城，
18.28	没有人来援救，因为拉依士离漆冬很远，与阿兰又没有往来。这城位于贝特勒曷布山谷中；丹的子孙重建这城，住在那里，
18.29	按他们的祖宗，以色列所生的儿子丹的名字，给这城起名叫丹；其实这城原先名叫拉依士。
18.30	丹的子孙把那尊神像立起来，梅瑟的后裔，革尔雄的子孙约纳堂和他的子孙作丹支派的司祭，直到该地被掳掠的时日。
18.31	天主的殿在史罗多少时日，米加所作的神像在丹支派中也立了多少时日。
	
	
	
19.-1t	附录二 基贝亚的恶行及所受之罚(19-21)
	
19.0t	第十九章
	
19.1t	肋未人讨回己妾
	
19.1	当以色列人尚没有君王时，有一个肋未人寄居在厄弗辣因山地边境；他由犹大白冷娶了一个女子为妾。
19.2	那妾对他发怒，就离开他回了犹大白冷的父家，在那里住了四个月。
19.3	她的丈夫起来，带著一个仆人，牵了两匹驴去找她，想去慰问她，劝她回来；当他来到那女子的父家时，那少女的父亲一望见他，就喜喜欢欢地来迎接他。
19.4	他的岳父，即那少女的父亲，留他在家住了三日，他们在那里一齐契喝居住。
19.5	第四天他们一早起来，肋未人起身要走，那少女的父亲就对女婿说：「你们先用些饼，吃点点心，然后再走。」
19.6	于是他们二人坐下一起契喝；少女的父亲对那人说：「请你赏面，再住一夜，再高兴高兴! 」
19.7	那人起身要走，但他的岳父挽留了他，他又在那里过了一夜。
19.8	第五天他一早起来要走，但那少女的父亲又说：「请先吃些点心! 」于是二人又一同吃东西，直到日已西斜；
19.9	那人和他的妾连他的仆人起身要走，他的岳父，即那少女的父亲，对他说：「你看，天已晚了，今天在这里再过一夜，再高兴高兴，明天清早起来，上路回家去罢! 」
19.10	但是，那人不愿再过一夜，就带著他的妾和仆人，以及备好的两匹驴起身走了，来到耶步斯，即耶路撒冷的对面。 
	
19.11t	到基贝亚过夜
	
19.11	当他们临近耶步斯时，日已西垂，仆人就对主人说：「来，让我们转去，到这座耶步斯人城里去投宿! 」
19.12	主人回答他说：「我们不可进入这座不属以色列子民的外方人的城，我们往基贝亚去罢!
19.13	他又对仆人说：「来! 我们到一个地方去投宿，或在基贝亚，或在辣玛。」
19.14	于是他们又上路前行，当来近本雅明的基贝亚时，太阳已经落了。
19.15	他们遂进了基贝亚，在那里投宿；他们进城后，就坐在城内街市上，因为没有人收留他们在家中过宿。
19.16	有一个老人晚上由田间工作回来，他原是厄弗辣因山地的人，寄居在基贝亚；本地人却是本雅明人。
19.17	那老人举目，看见在城中街市上又个过路的人，就问说：「你往那里去？从那里来？」
19.18	肋未人回答他说：「我们是从犹大白冷来，往厄弗辣因山地的边境去。我本是那地方的人，我去过犹大白冷，现在要回家去，但没有人收留我到自己家里去。
19.19	其实我有粮草喂驴，为我和你的婢女以及跟随你仆人的这个青年人，都有食粮和酒，一无所缺。」
19.20	那老人对他说：「你放心罢! 你所需要的都由我供给，只不可在街上过夜。」
19.21	他遂领他到自己家里，喂上驴，他们洗了脚，以后就吃喝起来。 
	
19.22t	基贝亚的恶行
	
19.22	他们正满怀高兴的时候，看，本城的一些无赖之徒，围住房屋敲门，对作家主的老人说：「把刚才到你家的那个人领出来，我们要认识他。」
19.23	家主出来见他们，对他们说：「兄弟们，不要如此! 请你不要行这样的恶事! 这人既进了我的家，你们决不能行这丑事!
19.24	这里有我的女儿还是处女，我领她出来，你们可任意污辱她，任凭你们待她；但是对于这人，你们决不可作这种丑事! 」
19.25	但是那些人不愿听他；客人就抓住自己的妾，把她交给了他们，他们就认识了她，整夜污辱她，直到早晨，在破晓的时候才放了她。
19.26	天快亮的时候，那女子回到留他主人住宿的那人屋前，跌倒在那里，直到天亮。
19.27	早晨，当她的主人起来开门，出去要动身起程时，看见那女人，即他的妾，伏在门口，她的手扶在门限上，
19.28	就对她说：「起来! 我们走罢! 」然而没有人回答他；那人便把她驮在驴上，起身回了本地。
19.29	到了家里，拿起刀来，握住自己的妾，把她的肢体切成十二块，送到以色列全境，
19.30	吩咐他所派遣的人说：「你们要对以色列人这样说：自从以色列子民由埃及地上来那一日，直到今日，是否发生过这样的事？大家想一想，决定之后，请说出来。」凡看见的都说：「自从以色列子民由埃及地上来那一日，直到今日，从未发生过，也未见过这样的事。」
	
20.0t	第二十章
	
20.1t	声讨基贝亚
	
20.1	于是以色列全体子民出动，从丹到贝尔舍巴，以及基肋阿得地，全会众集合起来好像一个人一样，来到米兹帕上主面前。
20.2	全民众，即以色列各支派的首领，都参与天主百姓的集会；拿刀的步兵，共有四十万。
20.3	本雅明子孙也听说以色列子民上到了米兹帕。以色列子民说：「这件恶事是怎样发生的，请你们述说一遍! 」
20.4	那被杀的女子的丈夫肋末人就回答说：「我与我的妾来到属本雅明的基贝亚，要在那里过夜，
20.5	基贝亚的公民起来攻击我，夜间包围我过夜的住宅，企图杀害我，并把我的妾强奸致死。
20.6	因为他们在以色列中间行了这穷凶极恶的丑事，我遂将我的妾切成碎块，遍送以色列基业各地。
20.7	以色列子孙，请你们大家说出你们的意见和对策。」
20.8	那时全体民众好像一个人一样都起来说：「我们中谁也不要返回自己的帐幕，谁也不要回自己的家，
20.9	现在我们就要这样对付基贝亚，抽签进攻，
20.10	由以色列各支派中，每百人抽十人，每千人抽百人，每万人抽千人，给民众运送军粮；待众人到达本雅明的基贝亚后，按照那城在以色列中间所行丑事报复它。」
20.11	于是以色列人联合起来攻击那城，彼此合作有如一人。 
	
20.12t	本雅明备战
	
20.12	以色列众支派差人往本雅明支派的各家说：「你们中间怎么发生了这样的恶事？
20.13	现在你们把那些人，即基贝亚的无赖之徒，交出来，我们好处死他们，从以色列中铲除这邪恶。」本雅明子孙却不肯听从他兄弟们以色列子民的呼声；
20.14	本雅明子孙反而从各城聚集起来，来到基贝亚，要与以色列子民交战。
20.15	那一天，本雅明人从各城来的共计两万六千拿刀的，基贝亚的居民尚未计算在内。
20.16	在这些人中，还有特选的七百精兵，左右开弓，个个能用机弦抛石，毫□不爽。
20.17	本雅明人除外，以色列人共有四十万拿刀的，个个都是战士。 
	
20.18t	两次进攻失利
	
20.18	以色列子民起身上到贝特耳，求问天主说：「我们中谁该先上去与本雅明子孙作战？」上主答说：「犹大先去。」
20.19	于是以色列子民早晨起来，对著基贝亚安营。
20.20	以色列人出来要与本雅明人交战，遂在基贝亚前面摆阵等待他们。
20.21	本雅明子孙从基贝亚出来迎战，那一天杀死了两万两千以色列人。
20.22	以后，众以色列又鼓起勇气，又在前一日布阵的地方布阵。
20.23	事前，以色列子民先上到贝特耳，在上主面前哀哭，一直到晚上，然后求问上主说：「我们可否再去与我们的弟兄本雅明交战？」上主答说：「可上去攻打。」
20.24	于是第二天，以色列子民又去攻打本雅明子孙。
20.25	本雅明人第二天也从基贝亚出来与以色列人交战，又杀死一万八千以色列子民，都是拿刀的人。
20.26	以色列众子民，即全民众，又上到贝特耳，坐在上主面前哀哭，整日禁食到晚上；以后，在上主面前献了全燔祭与和平祭。【
20.27	那时、
20.28	天主的约柜正在那里，同时有亚郎的子孙厄肋阿匝尔的儿子丕乃哈斯在约柜前供职。】以色列子民又求问上主说：「我们是否应再去与我们的弟兄本雅明人交战？或是休战？」上主答说：「你们应上去，因为我明天必将他们交在你们手中。」 
	
20.29t	末次进攻获胜
	
20.29	以色列人就在基贝亚四周设下伏兵。
20.30	第三天以色列子民上去攻打本雅明子孙，在基贝亚对面布阵，像前两次一样。
20.31	本雅明子孙出来迎敌，被引出城外，在两条大路上，──一条通往贝特耳，一条通往基贝红，──像前两次一样，开始杀敌，在田野就杀死了约有三十个以色列人。
20.32	本雅明子孙遂说：「他们像前次一样，在我们面前打败了。」但以色列子民却说：「我们不如后退，引他们远离城，到大路上来。」
20.33	当以色列众人从他们的地方起来，在巴耳塔玛尔布阵的时候，以色列的伏兵从革巴西边埋伏的地方冲出来；
20.34	全以色列中所选出的一万精兵齐来攻打基贝亚，战争非常激烈，但是本雅明人还不知道大祸临头。
20.35	上主在以色列前打击本雅明人，那一天以色列子民杀死本雅明人共有二万五千一百，都是拿刀的人。
20.36	这样，本雅明子孙看出自己已失败。原来以色列人依仗在基贝亚所设下的伏兵，先在本雅明人前退怯；
20.37	伏兵急速冲入基贝亚，冲进之后，用刀屠杀了全城的人。
20.38	原先以色列人与伏兵约定，在城内放火，以烟火上腾为号。
20.39	以色列人在战场上撤退的时候，本雅明动手杀死以色列人约有三十人，他们想：「的确，他们如前一仗一样，在我们前杀败了。」
20.40	当烟柱信号从城中上腾的时候，本雅明人转过身来，见全城烟火冲天；
20.41	那时以色列人也转身回来；本雅明人大为惊慌，因为看见大祸临头，
20.42	遂在以色列人面前转向旷野的路上逃去，但战士却追踪而至，从城里出来的人也夹击他们；
20.43	这样，以色列人击溃了本雅明人，追击他们，从诺哈蹂躏他们，直到革巴对面的东方之地。
20.44	本雅明人阵亡一万八千，都是勇士。
20.45	其余的人都转身向著旷野逃往黎孟岩石，以色列人在路上又扫荡了他们中五千人；以后，直追到革巴，击杀了二千人。
20.46	那一日，本雅明中阵亡的，共有二万五千人，
20.47	所剩下的六百人，转身逃往旷野，直到黎孟岩石，在黎孟岩石中住了四个月。
20.48	以色列人又回到本雅明子孙那里，把各城的人和牲畜，以及所遇见的都用刀杀尽；并将所经过的城池放火烧毁。
	
21.0t	第二十一章
	
21.1t	战后余波
	
21.1	以色列人曾在米兹帕起誓说：「我们中谁也不可把自己的女儿嫁给本雅明人为妻。」
21.2	民众来到贝特耳，在天主面前，坐在那里，放声大哭，直到晚上；
21.3	然后说：「上主以色列的天主! 为什么在以色列中间发生了这事，今日竟使以色列中少了一支派？」
21.4	次日，百姓一早起来，在那里筑了一座祭坛，献了全燔祭与和平祭。
21.5	以后，以色列子民问说：「以色列众支派中，有谁没有上到上主面前，参加集会呢？」因为他们先前对于那些凡不上米兹帕到上主面前来的人，曾发过严誓说：「死无赦! 」
21.6	以色列子民对他们的弟兄本雅明起了怜悯之心说：「今天以色列绝了一支派。
21.7	我们曾指著上主起过誓，决不将我们的女儿给他们为妻，那么，我们怎样给所剩下的人娶妻呢？」
21.8	他们又问说：「以色列众支派中，有那一支派没有上米兹帕来到上主面前呢？」看，由基肋阿得雅贝士中没有一人入营，参加集会。
21.9	的确，检阅百姓的时候，没有一个基肋阿得雅贝士的居民在场。
21.10	因此会众打发一万二千勇士到那里去，吩咐他们说：「你们去用刀屠杀基肋阿得雅贝士的居民，连妇女孩子都在内。
21.11	你们要这样作；所以男子和与男子同过房的妇女，尽行杀掉，但要保留处女。」他们就这样作了。
21.12	他们在基肋阿得雅贝士居民之中，寻得了四百个未曾认识过男子，也未曾与男子同过房的少年处女，就把她们带到客纳罕地史罗营里。
21.13	全会众又打发人往黎孟岩石去，与住在那里的本雅明子孙谈判，与他们讲和。
21.14	本雅明子孙当时就回来了，会众就把基肋阿得雅贝士女子中所保留的少女，给他们为妻，但是数目不足。 
	
21.15t	史罗抢妻　
	
21.15	民众仍为本雅明人伤心难过，因为上主使以色列支派中有了缺陷。
21.16	会众的长老说：「本雅明的妇女既然都消灭了，我们怎样给所剩下的人娶妻呢？」
21.17	又说：「本雅民的遗民该有承嗣，免得以色列中泯没一支。
21.18	但是，我们不能将自己的女儿给他们为妻，因为以色列曾起誓说：谁把女儿给本雅明人是可诅咒的! 」
21.19	有人说：「看，年年在史罗举行上主的庆节。」──史罗位于贝特耳之北，贝特耳至舍根大路之东，肋波纳之南。
21.20	于是他们给本雅明子孙出主意说：「你们往葡萄园去，藏在那里。
21.21	等到你们看见史罗的童女出来列队跳舞，你们就从葡萄园中出来，从史罗的女儿中，各抢一个为妻，然后回本雅明地方去。
21.22	她们的父亲或兄弟若是出来与我们争论，我们就说：求你们看我们的情面，恩待这些人，因为他们战场上没有得到女子为妻；况且又不是你们将女儿交给他们；若是你们给的，那就有罪了。」
21.23	本雅明子孙就这样作了：按数目抢跳舞的女子，各娶一个为妻；以后他们就走了，回到自己的地业，重建城邑，住在那里。
21.24	以后以色列子民从那里各回自己的支派和家族，从那里各回自己的家乡。
21.25	那时，在以色列没有君王，各人任意行事。
