1.-2t	玛加伯下
14.26	阿耳基慕见他们二人交好，便带了一分订的和约，到德默特琉面前，说尼加诺尔对国事有异心，因为他已指定了叛国的犹大为自己的继承人。
14.27	王被这恶徒的谗言所惑，勃然大怒，写信给尼加诺尔，表示不满意他所订的和约，并命令他从速逮捕玛加伯，把他解送到安提约基雅去。
14.28	尼加诺尔得到这道谕令，极感不安，因为对方没有什么不对，不好轻易违背与他订的和约；
14.29	但又不能违抗君王，所以只好寻找机会，运用机智来完成这道命令。
14.30	玛加伯见尼加诺尔对自己冷淡，谈话的态度也比以前粗暴，便了解这种粗暴态度决非好现象；于是召集自己不少的部下，暗自离开了尼加诺尔。
14.31	尼加诺尔见自己被犹大玩弄，便在司祭正献日常祭时，闯进庄严的圣殿，命他们交出玛加伯来。
14.32	他们就起誓说不知道他找的人在那里。
14.33	他就向圣殿伸出右手发誓道：你们若不将犹大逮捕交给我，我要将天主的这座殿宇夷为平地，将祭坛拆毁，并在这里给彫尼索建筑一座壮丽的庙宇。
14.34	说完这话就走了。司祭们举手向天，呼求那常为自己的民族作战者说：
14.35	「万有的上主！你一无所缺，但是你却乐意在我们中有一座圣殿作你的住所。
14.36	那么至圣的上主！求你保护这座才洁净的圣殿，使它永远不受亵渎！」
	
14.37t	辣齐斯壮烈牺牲
14.37	在耶路撒冷有位长老，名叫辣齐斯，被人在尼加诺尔跟前控告了；他原是热心爱国，极负盛名的人，因为为人慈祥，人都称他为犹太人之父。
14.38	他在与外邦人绝交的初期，也曾因犹太教而被控告；他已决意为犹太教牺牲自身和性命。
14.39	尼加诺尔为发泄自己对犹太人所怀的仇恨，便派了五百多人去捉拿他，
14.40	认为逮捕这个人一定能给犹太人一个极大的打击。
14.41	当军队正要占据堡垒，撞开庭院大门，下令放火烧门时，辣齐斯见四面受敌，便伏剑自刎，
14.42	宁愿壮烈牺牲，不愿陷在恶人手中，使自己的身分遭受不堪的凌辱。
14.43	但因伏剑过急，没有刺中要害，那时敌人已闯进门内，他便奋身跑到墙上，毅然跳到人群中，
14.44	众人都急忙后退，让出一块空地，他便落在空地上。
14.45	这时他还活着，于是怒火如焚的爬起来，虽然血流如注，伤势甚重，还跑着穿过人群，屹立在一块岩石上；
14.46	血快要流尽的时候，又将五脏扯出来，双手捧着，向人群抛去，恳求那掌管生命及灵魂的主宰，把这一切再还给他；他就这样死了。
	
	
15.0t	第十五章(39)
	
15.1t	最后的胜负
15.1	尼加诺尔听说犹大和他的部下都在撒玛黎雅附近，便决意要在安息日那天攻击他们，可确保胜利；
15.2	但那些被迫跟随他的犹太人却反对说：「你切不要这样残忍凶悍地去屠杀人，应当尊敬观察万物者所圣化的日子！」
15.3	那罪大恶极的人问道：「天上是否有位命令守安息日的主宰？」
15.4	他们率直地答说：「有一位永生的天主是天上的主宰，他命令守安息日。」
15.5	他答说：「在地上我是主宰。我命令你们拿出武器，执行君王的命令！」虽然如此，他却没有完成那残酷的计谋。
15.6	可是尼加诺尔骄傲自大，仍决意要建立一座象征击败犹大和其部下的凯旋坊；
15.7	玛加伯却时常怀着坚定的信念，全心信赖必得到上主的援助，
15.8	劝勉自己的同伴，不必害怕外邦人的攻击，只该怀念昔日从天上赐予他们的援助，深信此时全能者也必赐给他们胜利。
15.9	后又用法律和先知的话来鼓励他们，又叫他们回忆所经历的战争，使他们都热情勃发。
15.10	激起他们作战的精神以后，又宣示外邦人如何失信，违犯誓言，遂发出攻击的命令。
15.11	他武装每个兵士，并不靠盾牌和长枪，而是用极富鼓励的话向他们讲述了一个很可信的梦，----即一个异象----使他们非常高兴。
15.12	他所见的异象是这样的：他看见一个人，举起双手为整个犹太民族祈祷。这人就是为人善良敦厚，待人谦和，态度温雅，善于辞令，自幼勤修各样德行的前任大司祭敖尼雅。
15.13	接着，又看见一人显现，同样为犹太民族祈祷。他头发苍白，体面端雅尊严非凡，令人起敬。
15.14	敖尼雅便解释说：「这就是爱护弟兄，常为百姓及圣城祈祷，天主的先知耶肋米亚。」
15.15	随后耶肋米亚伸出右手，交给犹大一把金剑说：
15.16	「你收下这把圣剑，这是天主的恩赐，你要用来击杀敌人！」
15.17	有了犹大这番美妙言辞的鼓励，人心大为振作，青年的斗志因而坚强，大家决定不再留守营中，却要奋勇向前进攻，拼命与敌人决战，因为京城、宗教与圣殿，都陷在危险中。
15.18	他们对妻子、儿女、兄弟及亲友并不怎么挂虑，最挂虑的却是神圣的圣殿。
15.19	留在城中的人也非常焦虑，为那些在外作战的人放心不下。
15.20	众人都期待着快要来临的决战。那时，敌人都已聚集严阵以待，象队已摆在重要的据点，马队已分成左右两翼。
15.21	玛加伯见配备各样武器的大军，及凶猛的象队已摆好阵势，便举手向天，呼求施行奇迹的上主；他知道胜利并不在乎武器，而在于上主断定谁应胜利，就使谁胜利。
15.22	犹大又祈祷说：「无上的主宰！在犹大王希则克雅时，你曾派遣你的天使，斩杀了里散乃黎黑布的军队约十八万五千人。
15.23	上天的主宰，求你现在也派遣一位好天使来，在我们前散布恐怖惊惶。
15.24	求你用你大能的手，打击这些谩骂和攻击你圣民的人！」他就这样结束了祈祷。
15.25	那时，尼加诺尔率领军队，吹着号角，唱着军歌，蜂拥而来。
15.26	犹大的部下却在哀求与祈祷声中，前去迎敌，
15.27	徒手作战，心中不住呼求天主，因此击杀了不下三万五千人，万分高兴天主明显的助佑。
15.28	战后，他们兴高彩烈回来时，发觉尼加诺尔穿着全副武装，卧地阵亡，
15.29	一时高声欢呼，用本国语言称颂无上的主宰。
15.30	那位完全奉献身心为同胞奋斗，一生热爱民族的犹大便命人将尼加诺尔的头和手臂砍下，带到耶路撒冷去。
15.31	他一到那里，便召集同胞和司祭，又派人将堡垒里的人召来；然后站在祭坛前，
15.32	将这可恶的尼加诺尔的头，并将他为亵渎谩骂全能者圣殿而举过的手，出示给众人看。
15.33	然后又割下这邪恶尼加诺尔的舌头，下令切成碎块，以饲飞鸟，并将这狂妄的手臂，挂在圣殿前面。
15.34	那时众人部向天赞颂荣耀的上主说：「那位保卫圣所不受玷污的，应受赞美！」
15.35	犹大又将尼加诺尔的头，悬在堡垒上，作为上主援助极显明昭著的记号。
15.36	众人一致决议不可让这一天平淡地过去，而该在每年十二月，叙利亚语名「阿达尔」月十三日，即摩尔德开节前日，隆重庆祝。
	
15.37t	本书结论
15.37	这就是有关尼加诺尔的事。从此以后，京城便由希伯来人占领。我也就此结束我的著作。
15.38	此书若叙述得体，编辑完善，这才是我的愿望；若嫌写得肤浅平凡，但我已尽了我之所能。
15.39	比方人只喝酒，或只喝水，都不免有害；但酒水调和了再喝，才有滋味，畅快人心；同样，若史事编纂的巧妙，读此史事的人，才感兴趣----全书终。
