1.-2t	依撒意亚
28.8	一切筵席上都满了呕吐，没有一处不是垢物。
28.9	他要将智识授给谁呢﹖向谁解释启示呢﹖是向方才断乳和刚离母怀的婴儿吗﹖
28.10	这只是些「命上加命，命上加命，令上加令，令上加令，这里一点，那里一点!」
28.11	是的，上主要用口吃的唇，异人的舌，向这民族说话!
28.12	虽然他曾对他们说过：「这就是安息的地方，让困倦的人安息罢!这就是休养的处所。」可惜他们总不肯听从。
28.13	因此上主的话对他们真成了「命上加命，命上加命，令上加令，令上加令，这里一点，那里一点!」致使他们虽然前行，却向后仰倒而跌伤，陷于圈套而被掳获。
	
28.14t	嘲笑者的末日
28.14	为此，你们这些在耶路撒冷统治这民族的好嘲弄的人，听上主的话罢!
28.15	你们曾说过：「我们与死亡订了盟，与阴府结了约，当狂怒的刑鞭经过时，不会落在我们身上，因为我们有欺诈作我们的遮掩，有虚伪作我们的庇护。」
28.16	因此吾主上主这样说：「看，我要在熙雍安放一块石头，一块精选的石头，一块宝贵的角石作基础，信赖的人必不动摇。
28.17	我要以公平为准绳，以正义为权衡；冰雹将荡尽欺诈的遮掩地，洪流将冲散虚伪的庇护所。
28.18	你们与死亡所订的盟约必要废除，与阴府所结的约必不持久；当狂怒的刑鞭经过时，你们必被蹂躏；
28.19	每次经过，每次必要打击你们；他每朝经过，白日黑夜也经过；惟有恐怖方能使你们明白这启示。」
28.20	真是伸直身子床太短，缩作一团被又窄。
28.21	因为上主要兴起，如在培辣亲山上一样；要发怒，如在基贝红山谷一样，为履行他的工作──他神妙的工作，为完成他的事业──他奇异的事业。
28.22	所以现在不要再嘲笑了，免得你们的绳索系得更紧，因为我听到的有关毁灭大地的决议，是来自吾主万军的上主。
	
28.23t	农事的比喻
28.23	请你们侧耳静听我的声音，请留意倾听我的言语：
28.24	耕田的人那有整日耕田，掘土耙地的呢﹖
28.25	当他把地弄平了以后，不是要撒上小茴香，播种大茴香，种植大麦和小麦，地边种玉蜀黍吗﹖
28.26	这是上主教给他的方式，他的天主指示他的。
28.27	打小茴香不须用钉耙，打大茴香不须用碾机，而是用木棒打小茴香，用棍子打大茴香。
28.28	五谷岂是要辗碎的吗﹖不是!人并不将它无限期地压了又压，而是叫碾机滚过，碾出谷粒来，并不是为碾碎它。
28.29	这也是出自万军的上主：他的计划真是神奇，他的智慧真是超绝。
	
	
29.0t	第二十九章(24)
	
29.1t	耶京受罚与获救
29.1	祸哉，阿黎耳，阿黎耳，达味驻扎过的城!任凭一年复一年，任凭节期的循环，
29.2	我必围困阿黎耳，那里将发生呻吟和悲叹。你于我必像一个「阿黎耳。」
29.3	我要如达味一样扎营围攻你，以堡垒包围你，筑起高台攻击你。
29.4	你将降低，要由地下说话，你微弱的言语出自尘土。你的声音有如幽魂的声音出于地下，你的言语低声地出自尘土。
29.5	那残害你的人，将多得有如微细的尘沙；那对你施虐的，将多得有如飞扬的糠屑。但是，忽然，转瞬之间，
29.6	万军的上主将带着雷霆、地震、巨响、飓风、暴风如吞噬的火焰来眷顾你。
29.7	那许多攻击阿黎耳的民族，所有攻击她并竖起堡垒包围她的人们，都要成为一场梦境，有如夜间的异象。
29.8	如同饥者梦中得食，及至醒来，仍然枵腹；又如渴者梦中饮水，及至醒来，依旧疲惫，心里仍有所欲：那攻击熙雍山的各种民族，也将如此。
	
29.9t	目盲心盲
29.9	你们都在自我愚弄而愚蠢，你们都在自我蒙蔽而迷蒙；你们沉醉，不是出于清酒；你们蹒跚，不是出于烈酒；
29.10	而是由于上主将沉睡的神注在你们身上，封闭了你们的眼睛【即先知们，】蒙上了你们的头颅【即先见们。】
29.11	所有的异像为你们都像是封住的书中的话；若交给识字的人说：「请读这书!」他将答说：「我不能，因为这书是封着的；」
29.12	若将这书交给一个文盲说：「请读这书!」他将答说：「我不识字!」
29.13	吾主说：「因为这民族祇在口头上亲近我，嘴唇上尊崇我，他们的心却远离我，他们对我的敬畏仅是人们所传习的训诫。
29.14	所以，看哪!我要向这民族再行奇事，最奇妙的事，致使他们智者的智慧必要消失，他们贤者的聪明必要隐遁。人算不如天算。
29.15	祸哉，逃避上主而力图掩蔽自己计划的人!祸哉，那些在暗中行事并说：「有谁看见我们，有谁知道我们的人」的人！
29.16	你们多么颠倒事理!岂能看陶工如泥工﹖制造品岂能论制造者说：「他没有制造我﹖」陶器岂能论陶工说：「他不精明﹖」
29.17	诚然，再稍过片刻，黎巴嫩即将变成果园，果园将被视为果林。
29.18	到那日，聋者将听到书上的话，盲人的眼将由幽暗晦暝中得以看见；
29.19	弱小的人将在上主内再得欢乐，贫困的人将因以色列的圣者而喜悦，
29.20	因为暴虐者已经绝迹，轻蔑者已经灭亡，一切思念邪恶的人已经铲除：
29.21	就是那些使人在诉讼上失败，在城门口布置罗网陷害判官，用假理由屈枉义人的人。
29.22	因此拯救亚巴郎的天主论雅各伯的家这样说：「雅各伯今后不再惭愧，他的面貌不再失色，
29.23	因为人们看见了我手在他们中所有的工作，必称颂我名为圣，必称颂雅各伯的圣者为圣，必敬畏以色列的天主。
29.24	心内迷乱的人将要获得知识，怨尤的人必学得教诲。」
	
	
30.0t	第三十章(33)
	
30.1t	指责与埃及缔盟
30.1	祸哉，悖逆的子民──上主的断语!他们自作主张，不请示于我；自订盟约，不依照我的精神，致使罪上加罪。
30.2	他们没有请求我的许可，便起程南下埃及，想托庇于法郎的保障之下，想隐匿于埃及的荫庇之下。
30.3	但是法郎的保障将是你们的羞耻，隐匿于埃及的荫庇之下，将是一种污辱。
30.4	虽然他的首领已在左罕，他的使者已到达哈乃斯；
30.5	但是他们都要因这于他们毫无裨益的民族而受到羞惭，因为这民族为他们不但毫无帮助，毫无益处，反而是一种羞耻和污辱。
30.6	他们以牲畜带着贵物经过南方──残酷苦痛的地域，即壮狮和牝狮咆哮，蝮蛇和火蛇飞行的地域──驴背上驼着他们的财富，骆驼背上驼着他们的宝物，到一个于他们毫无裨益的民族那里去。
30.7	埃及人的援助是无用的，是空虚的，因此我称呼她是「静坐的辣哈布。」
	
30.8t	预言求救无益
30.8	你现在去，当他们面前，写在版上，记在书中，为后世作证据：
30.9	「这是一个反叛的民族，不忠实的子女，拒绝听从上主法律的子民。」
30.10	他们曾对先见者说：「你们不要再看异象。」对先知说：「你们不要给我们说什么预言，给我们说些好听的话，预示些幻想故事罢!
30.11	离开你们的正道罢!转移你们的路线罢!在我们面前不要再提以色列的圣者!」
30.12	因此，以色列的圣者这样说：「因为你们藐视了这话，而依赖邪说谬论，且倾心信赖；
30.13	所以这罪恶，为你们将如一堵高墙上突起而将倒下的缺口，顷刻之间就会突然坍塌，
30.14	坍塌得有如毫不痛惜地被摔碎的陶器，碎得找不到一块碎片，能用以从炉中取火，从井里取水。」
30.15	因为吾主上主，以色列的圣者这样说过：「你们的得救是在于归依和安静，你们的力量是在于宁静和信赖。」然而你们不愿意；
30.16	你们反说：「不!我们要骑马逃去!」的确，你们必要逃去。「我们要乘骏马疾驰。」的确，追击你们的必然疾驰。
30.17	千人要逃避一人的叱咤，万人要逃避五人的叱咤，直到你们所剩余的，有如山顶上的木杆，或山岭上的旗帜。
	
30.18t	对信者的恩许
30.18	然而上主仍旧等着向你们施惠，仍高兴向你们表示怜爱，因为上主是正义的天主，凡仰赖他的人是有福的。
30.19	熙雍的百姓，耶路撒冷的居民啊!你不会再恸哭，他必垂怜你呼求的声音，他一听见必要应允你。
30.20	吾主纵然给你们困苦的食物和酸辛的水，但你的教师再不躲藏，你的眼睛必能常见到你的教师。
30.21	当你偏左或偏右时，你必会亲耳听到你后面有声音说：「这是正路，你们要在这上面行!」
30.22	你必以那包银的木偶和包金的神像为不洁之物，将它们拋弃，有如拋弃月经布一样，并对它说：「去罢!」
30.23	你把种子种在地里，上主必使雨降在其上，并使你地里出产的食粮丰盛富饶；那一日你的群畜必将在广阔的草场上牧放。
30.24	耕田的牛和驴驹必吃用木杴或簸箕扬净而拌上盐的刍料。
30.25	大行惨杀之日，当堡楼倒塌之时，所有的高山峻岭必有溪水涓涓细流。
30.26	当上主包扎他百姓的创口，治疗他们伤痕的那日，月亮的光华将似太阳的光华，而太阳的光华必增加七倍，有如积累了七天的光华。
	
30.27t	上主出征亚述
30.27	看哪!上主的名由远方而来，他怒火如焚，浓烟冲天；他的口唇满了敌忾，他的舌头有如吞噬的火焰；
30.28	他的气息如泛滥的河川，涨到人的颈项；他要用荡灭的筛子筛净列国，用引入歧途的马勒拑住万民的下颚。
30.29	你们必要讴歌，有如欢祝庆节之夜；内心愉快，有如在笛声之下登上主的山，到以色列的盘石那里去一样。
30.30	上主必使人听见他尊严的声音，见到他降临的手臂，在狂怒之中，在吞噬的火焰中，在狂风、暴雨、冰雹之中。
30.31	亚述必因上主的声音而战栗，上主必用刑杖击打亚述。
30.32	当上主惩戒的刑杖加于他们身上时，每次击挞都是在敲鼓和弹琴的声中执行的。他将以激烈的战争击败他们。
30.33	因为托斐特已准备好多时，还是为君王而设的，又深又广，堆满了许多柴火；上主的气息有如一条硫磺河流，把它点燃起来。
	
	
31.0t	第三十一章(9)
	
31.1t	惟上主能施救
31.1	祸哉，那些南下埃及求救，依靠战马，信赖他们战车众多，依恃他们铁骑骁勇，而不仰望以色列的圣者，也不求问上主的人!
31.2	但是上主仍然能降下灾祸，他决不收回自己的言语；他必要起来攻击恶人的家，攻击助人作恶的人。
31.3	埃及人是人，并不是神；他们的战马是血肉，并不是灵；只要上主一伸手，施助的人必将仆倒，受助的人必要颠覆：二者同归于尽。
31.4	因为上主曾这样对我说：「犹如壮狮或幼狮为了猎物而怒吼，即使召集许多牧人攻击它，它并不因他们的叫嚣而畏惧，也不因他们的喧嚷而惊慌；同样，万军的上主必要降下，为熙雍和她的丘岭作战。
31.5	有如飞鸟展翼护雏，万军的上主也要这样防卫耶路撒冷，加以保护、拯救、怜恤、保存。」
31.6	以色列子民啊!再归到你们所远离的上主那里罢!
31.7	因为到那一天，人人必要拋弃自己的银偶像和金偶像，即你们以污秽的手所制造的。
31.8	亚述必将倾覆于超人的刀下，超人的刀必将吞噬她；她将由刀剑面前逃走，她的壮丁必要充作苦役。
31.9	她的盘石由于震惊必要逃避，她的王侯，由于恐慌必将放弃军旗：这是在熙雍有火，在耶路撒冷有炉的上主的断语。
	
	
32.0t	第三十二章(20)
	
32.1t	正义的王国
32.1	看哪!有个君王将秉义为王，王侯也将秉公执政。
32.2	个个将如避风的处所，避雨的遮盖，如荒漠中的水流，如旱干地上巨石的荫影。
32.3	看得见的眼睛不再蒙眬，听得见的耳朵必将倾听。
32.4	急躁人的心将会体味智识，口吃者的舌将会畅于言谈。
32.5	愚昧的人不再叫作贵人，奸险的人不再称为绅士，
32.6	因为愚昧的人出言愚昧，心怀邪僻，肆意作恶，发表亵渎上主的谬论，使饥者枵腹，使渴者绝饮。
32.7	奸险者的手段毒辣，只筹划恶计，用诳言毁灭卑微的人，在穷人的案件上颠倒曲直；
32.8	但是贵人策划高贵的事，他常以高贵行事。
	
32.9t	警告安逸的妇女
32.9	图安逸的妇女们，起来，请听我的声音!无忧的女子们，请倾听我的言语!
32.10	稍过年余，你们无忧的女子必受惊扰，因为葡萄没有收获，谷粒一无收成。
32.11	安逸的妇女们!你们必将颤抖；无忧的女子们!你们必受惊扰；你们脱光衣服，腰间缠上麻布罢!
32.12	你们必要为了肥沃的田地，为了结实的葡萄园而捶胸，
32.13	为了我百姓生满荆棘和蒺藜的土地，为了所有的娱乐家园，为了欢欣的城市而悲伤，
32.14	因为宫阙已荒废，喧扰的城市已荒凉，敖斐耳和巴罕永远成了废墟，成了野驴喜乐的地带，成了羊群的牧场。
	
32.15t	复兴的展望
32.15	及至神自上倾注在我们身上，荒野将变为田园，田园将变为丛林；
32.16	公平将居于荒野，正义将住在田园。
32.17	正义的功效是和平，公平的硕果是永恒的宁静和安全。
32.18	我的百姓将住安谧的寓所，安全的宅第，清静憩息之所，
32.19	纵然丛林全被摧毁，京城全被荡平。
32.20	你们播种于多水之滨；使牛驴任意走动的人，是有福的。
	
	
33.0t	第三十三章(25)
	
33.1t	求天主施救
33.1	祸哉，你这不受侵害而侵害人，不受劫掠而劫掠人的人!当你侵害完了，你将遭受别人的侵害；当你劫掠完了，你将遭受别人的劫掠。
33.2	上主啊!怜恤我们罢!我们仰望你，每日清晨，请作我们的臂膊!在窘迫时，请作我们的救援!
33.3	叫嚣的声音一响，民众遂即逃遁；你一奋起，万民便都溃散。
33.4	人们收集掠物，有如拾取蚱蜢；急于劫掠，有如蝗虫疾跳。
33.5	上主是崇高的，因为他居于高处；他以正义和公平充盈了熙雍。
33.6	他是你命运的保障，得救的府库、智慧和明智；敬畏上主，将是你的宝藏。
	
33.7t	上主前来干与
33.7	看哪!传信的的人在外号叫，和平使者悲痛啼哭。
33.8	大路已经荒废，行旅已经绝迹。他撕毁了盟约，藐视了证人，不顾及任何人。
33.9	地域凄惨颓废，黎巴嫩惭赧憔悴，沙龙变成荒野，巴商和加尔默耳摇曳凋零。
33.10	上主说：「现在我要起来，现在我要奋发，现在我要受尊崇!
33.11	你们所怀的是枯草，所生的是碎秸；我的气息有如火焰，必将你们焚尽!
33.12	万民将被焚烧，有如石灰，又如斩断的荆棘毁于火中。
33.13	远方的人要听到我的作为，近处的人要尝试我的能力!」
33.14	熙雍的罪人战兢害怕?不法之徒为恐惧所攫：「我们中谁能与吞噬的烈火同居﹖我们中谁能与不灭的烈焰共处﹖」
33.15	那行走正道，出言真诚的，鄙弃欺诈入息的，摇手不受贿赂的，充耳不闻流血阴谋的，闭眼不看邪恶的：
33.16	这样的人要居高处，岩石上的堡垒将作他的保障，他的食物有人供应，他的水可得保全。
	
33.17t	幸福的远景
33.17	你必要举目瞻仰具有华美的君王，要遥望幅员广阔的地带。
33.18	你的心追忆起已往的恐怖时，要说：「登记的人员在那里呢﹖量银的人员在那里呢﹖数点城堡的人又在那里呢﹖」
33.19	你再见不到那野蛮的民族，即言语深邃而难以领悟，说话口吃而不易理喻的民族。
33.20	你将观看熙雍，我们集会的城邑；你的眼将见到耶路撒冷，安全的寓所，不动摇的帐幕；她的木桩永不能拔出，她所有的绳索也不能拉断。
33.21	荣耀的上主在那里将作我们的巨川大河，没有舟楫往来其间，也没有游艇划过。
33.22	它的绳索松弛了，没有稳固桅杆的力量，也没有扯起船帆的力量。
33.23	因为上主是我们的判官，上主是我们的立法者，上主是我们的君王，他必拯救我们。
33.24	那时，瞎子要分得许多战利品，瘸子要取得掳获物。
33.25	没有一个居民再会说：「我病了。」住在那里的人必将获得罪赦。
	
	
34.0t	第三十四章(17)
	
34.1t	天主审判万国
34.1	万民，你们前来聆听!列邦，你们侧耳静听!大地与充塞其中的一切，世界与其所有的产物，都要谛听!
34.2	因为上主向万民生了气，对他们的一切军队发了怒，他注定了他们的劫数，命定了他们遭受屠杀。
34.3	他们的被杀者被弃于外，他们尸体的腥臭浮浮上腾，他们的血溶化了诸山。
34.4	天上的万象必将解体，诸天要如卷轴般卷起；天上的星辰必将陨坠，有如葡萄叶的凋零，有如无花果叶的萎谢。
34.5	当上主的刀在天上痛饮之后，看哪!它将若在厄东，落在他所毁灭的百姓身上，实行惩罚。
34.6	上主的刀剑染满了血，渍满了脂油，就是羔羊和羚羊的血，以及公羊肾脏的脂油：因为上主在波责辣举行了一番祭祀，在厄东地方施行了一场屠杀。
34.7	野牛与肥畜必同堕死，牛犊与公牛必同跌毙。他们的地区浸满了血，他们的地面渍染了脂油。
34.8	因为这是上主复仇的日子，是为报复熙雍敌人的一年。
34.9	她的河水将变为沥青，她的土壤将变为硫磺：大地成了燃灼的沥青，
34.10	昼夜燃烧不息，浓烟永远上升；世世代代成为荒野，永久无人经过此地。
34.11	鹈鹕和刺猬据守其地，泛臀谘黄苡谄浼洌簧现鹘云苹敌缘纳突倜鹦缘南叽覆饬磕堑亍?
34.12	显贵中没有一个在那里能够建国，她所有的王侯都归于乌有。
34.13	她的宫阙将生满荆棘，她的堡垒将繁生蒺藜和蓟草；她将成为豺狼的洞穴，鸵鸟的苑囿。
34.14	野猫在那里将与野狗相会，野羊将呼叫它的同类；夜间的魑魅将在那里休憩，寻得一个安息的处所。
34.15	箭头蛇将在那里筑穴、下蛋、伏卵，并加以孵化；鸷鸟群集其间，雌雄相配。
34.16	你们可查看上主的书，且阅读一下，它们中一种也不会缺少，没有一个没有配偶的，因为上主的口已这样命定，他的神集合了它们。
34.17	上主亲自要为它们抽签，他亲手用绳索将为它们分开这地；它们将永久占有这地，世世代代住在那里。
	
	
35.0t	第三十五章(10)
	
35.1t	获救者的幸福
35.1	荒野和不毛之地必要欢乐，沙漠必要欣喜，如花盛开，
35.2	盛开得有如百合，高兴得欢乐歌唱，因为它们将获得黎巴嫩的光华，加尔默耳和沙龙的美丽；它们将见到上主的荣耀，我们天主的光辉。
35.3	你们应加强痿弱的手，坚固颤动的膝，
35.4	告诉心怯的人说：「鼓起勇气来，不要畏惧!看，你们的天主，报复已到，天主的报酬已到，他要亲自来拯救你们!」
35.5	那时瞎子的眼睛要明朗，聋子的耳朵要开启；
35.6	那时瘸子必要跳跃如鹿，哑吧的舌头必要欢呼，因为旷野里将流出大水，沙漠中将涌出江河，
35.7	白热的沙地将变为池沼，炕旱的地带将变为水源，豺狼栖息的洞穴将生出芦苇和菖蒲。
35.8	那里将有一条大路，称为「圣路，」不洁的人不得通行：这原是他百姓所走的路，愚蠢的人也不会迷路。
35.9	那里没有狮子，猛兽也不上来，路上遇不到一只野兽，独有被赎出的人们行走。
35.10	上主所解救的人必要归来，快乐地来到熙雍，永久的欢乐临于他们头上，他们将享尽快乐和欢喜，忧愁和悲哀必将远遁。
	
	
36.-1t	历史附录(36-39)
	
36.0t	第三十六章(22)
	
36.1t	亚述进攻犹大
36.1	在希则克雅为王第十四年，亚述王散乃黑黎布上来攻打犹大的一切坚城，而且都占领了。
36.2	亚述王从拉基市打发一位大将军，带着大军到耶路撒冷去见希则克雅王。当大将军站在上池沟旁，漂布田间的大路上时，
36.3	出来迎接他的，有希耳克雅的儿子厄里雅金家宰、舍布纳书记和阿撒夫的儿子约阿黑史官。
	
36.4t	大将军的恐吓
36.4	大将军对他们说：「你们去告诉希则克雅说：大王，亚述王这样说：你所依靠的算得什么依靠，
36.5	你想空口说话就是战略和战斗的力量吗﹖如今你靠谁来背叛我﹖
36.6	看哪!你依靠的埃及是一根破裂的芦杖，谁依靠这杖，它就刺伤谁的手，且把手刺透；埃及王法郎对所有依靠他的人就是这样。
36.7	假使你们对我说：我们依靠雅威，我们的天主；希则克雅岂不是曾推翻他的高丘和祭坛，且对犹大和耶路撒冷说：你们只应在这祭坛前朝拜﹖
36.8	如今你可与我的主上亚述王打赌：我给你两千匹马，你是否能给这些马配上骑兵﹖
36.9	若不能，你怎敢拒绝我主上最小仆人中的一个军长，而去依靠埃及的战车和骑兵﹖
36.10	现在，我上来攻打毁灭这地，难道不是雅威的意思吗﹖雅威对我说了：上去，攻打那地，加以毁灭!」
36.11	厄里雅金、舍布纳和约阿黑对大将军说：「请你对你的仆人说阿剌美话，因为我们都懂；你不要对我们讲犹太话，因为城墙上的百姓能听到。」
36.12	大将军回答说：「难道我的主上打发我来只对你的主上和你讲这些话，而不是对那些坐在城墙上，和你们一样吃自己的粪，喝自己的尿的人，讲这些话吗﹖」
36.13	大将军于是站起来仍用犹太话大声喊说：「你们听大王，亚述王的话罢!
36.14	大王这样说：你们别上希则克雅的当，他决不能拯救你们!
36.15	也不要让希则克雅使你们信赖雅威说：雅威必会拯救我们，这城决不会落在亚述王手中!
36.16	不要听从希则克雅，因为亚述王曾这样说了：你们要与我和好，出来归顺我，各人就可以吃自己的葡萄和无花果，各人也可以喝自己井里的水；
36.17	直到我来领你们到一个与你们本国一样的地方去，一个有五谷和新酒的地方，一个有食粮和葡萄园的地方。
36.18	切不要上希则克雅的当，听信他说：雅威必拯救我们!万国的神中有那一个由亚述王手中拯救了自己的国家﹖
36.19	哈玛特和阿帕得的神在那里﹖色法瓦因的神在那里﹖撒玛黎雅的神在那里﹖难道他们由我手中拯救了撒玛黎雅﹖
36.20	这些地域中的神，有那一个由我手中拯救了自己的国土﹖难道雅威就能由我手中拯救耶路撒冷吗﹖」
36.21	他们都不作声，一句话也没有回答，因为君王有命：「不要回答他。」
36.22	希耳克雅的儿子厄里雅金家宰、舍布纳书记和阿撒夫的儿子约阿黑史官撕裂了衣服，来见希则克雅，将大将军的话告诉了他。
	
	
37.0t	第三十七章(38)
	
37.1t	希则克雅同依撒意亚会商
37.1	希则克雅王一听这话，就撕破了自己的衣服，穿上苦衣，走进了上主的殿；
37.2	然后打发厄里雅金家宰、舍布纳书记和几位老司祭，穿著苦衣，去见阿摩兹的儿子依撒意亚先知，
37.3	对他说：「希则克雅这样说：今天是受困难、受责罚，受凌辱的日子!因为婴儿到了要出生的时候，却没有产生的力量。
37.4	但愿上主你的天主听见了那大将军的话──即他的主子亚述王派他来辱骂永生的天主所说的话──愿上主你的天主听了那些话而加以惩罚。请你为剩下的人民祈祷罢!」
37.5	希则克雅王的臣仆来到了依撒意亚前，
37.6	依撒意亚对他们说：「你们要这样对你们的主上说：上主这样说：你听到亚述王的仆人辱骂我的话，不要害怕!
37.7	看，我必叫他感到一种怕情，使他一听到某种消息，就返回本国；我要使他在本国内丧身刀下。」
	
37.8t	亚述王再次恐吓
37.8	大将军回去时，正遇见亚述王去攻打里贝纳，原来他已听说君王离开了拉基士。
37.9	那时散乃黑黎布听人说：雇士王提尔哈卡出来攻打他，就再派使者去见希则克雅，并吩咐说：「
37.10	你们要这样对犹大王希则克雅说：不要让你所依赖的天主哄骗你说：耶路撒冷决不会落在亚述王手中!
37.11	看，你听说过亚述的列王对各国所行的，将各国完全消灭了，你还能有救吗﹖
37.12	我祖先消灭的所有民族如：哥仓、哈郎、勒责夫，以及在特拉撒尔的厄登子民，他们的神何尝救了他们﹖
37.13	哈玛特王、阿帕得王、色法瓦因城的王、赫纳王和依瓦王，他们现今都在那里﹖」
	
37.14t	希则克雅的祈祷
37.14	希则克雅从使者手中接过信来，读了以后，就走进上主的殿；将那信在上主面前展开，
37.15	然后希则克雅恳求上主说：
37.16	「万军的上主，坐在革鲁宾上面的以色列的天主，唯独你是地上万国的天主，你创造了天地。
37.17	上主，请你侧耳倾听!上主，求你睁眼垂视!细听那打发使者辱骂永生天主的散乃黑黎布的一切话!
37.18	上主，的确，亚述的列王曾毁灭了所有的民族和他们的土地，
37.19	将他们的神像投入火中，因为它们不是神，只是人手造成的木石的作品，所以能被消灭。
37.20	但是现今，上主，我们的天主，求你拯救我们脱离他的手，好使世上万国都知道：惟独你是上主天主。」
	
37.21t	依撒意亚的预言
37.21	那时，阿摩兹的儿子依撒意亚打发人去见希则克雅说：「上主以色列的天主这样说：你既然为了亚述王散乃黑黎布而向我恳求，我已经俯听了你。
37.22	这就是上主论他所说的话：熙雍贞女轻视你，嘲笑你；耶路撒冷少女在你背后摇头!
37.23	你辱骂诅咒的是谁﹖你提高声音，仰起眼睛攻击的是谁﹖是攻击以色列的圣者。
37.24	最高的香柏，最好的青松；我冲入了人迹罕到之处，走进了果木的林园。
37.25	我掘了井，喝了外邦的水，用我的脚掌踏干了埃及所有的河川。
37.26	难道你没有听见：很久以前我所计划的，昔日我所决定的，现在我就实现，叫你毁坏坚城，化为废墟，
37.27	使城中的居民软弱无力，惊惶失措，有如田野的青草，有如青绿的嫩苗，有如屋顶上被东风吹焦的小草。
37.28	你或起或坐，或出或入，以及对我的癫狂，我都知道。
37.29	因为你对我的暴怒，和你的狂嚣，已达到我的耳鼓，所以我要把环子穿在你的鼻子上，把辔头套在你的嘴上，由你来的路上将你牵回去。
37.30	这是给你的记号：今年你要吃自然所生的，明年你仍要吃自然所生的，第三年你们要播种收获，栽种葡萄园，吃园中的果实。
37.31	犹大家所剩余的人，仍要向下生根，往上结实。
37.32	因为剩余的人将由耶路撒冷而出，逃脱的人将从熙雍山而来：万军上主的热诚必要成就这事。
37.33	为此，上主论亚述王这样说：他决不会进入这城，决不会向这城放射一箭，决不会持着盾牌，走近城下，造起土堆攻城。
37.34	他必要由来路回去，决不能进入这城：上主的断语。
37.35	为了我自己，为了我的仆人达味，我必要保护拯救这城。」
	
37.36t	亚述王受惩罚
37.36	于是上主的使者出来，在亚述的营里杀了十八万五千人。清晨人们起来，见遍地是死尸。
37.37	亚述王散乃黑黎布于是拔营，班师回国，住在尼尼微。
37.38	当他在自己的神尼色洛客庙里叩拜的时候，他的儿子阿德辣默肋客和沙勒责尔用剑刺杀了他，然后逃到阿辣辣特地方去了。他的儿子厄撒哈冬继他为王。
	
	
38.0t	第三十八章(22)
	
38.1t	国王患病复愈
38.1	在那些日期内，希则克雅害病要死，阿摩兹的儿子依撒意亚先知前来看他，并对他说：「上主这样说：快料理你的家务，因为你快死，不能久活了!」
38.2	希则克雅就转面朝墙恳求上主说：
38.3	「上主!求你记忆我如何怀着忠诚齐全的心，在你面前行走；如何作了你视为正义的事。」然后希则克雅放声大哭。
38.4	上主的话传给依撒意亚说：
38.5	「你去对希则克雅说：上主，你祖先达味的天主这样说：我听见了你的祈祷，看见了你的眼泪；看，我要在你的寿数上多加十五年，
38.6	且由亚述王手中拯救你和这座城，我必要保护这座城。
38.7	上主必实践他所说的话，这将是给你的记号：
38.8	看，我要使那射在阿哈次的日晷上的日影倒退十度。」果然，射在日晷上的日影倒退了十度。
	
38.9t	希则克雅的谢恩歌
38.9	犹大王希则克雅在病中与病愈后所咏的「金诗：」
38.10	我曾想过：「正当我的中年，我就要离去；我的余年将被交于阴府之门。」
38.11	我曾想过：「我再不能在活人的地上看见上主，我再不能在世上的居民中看见世人。
38.12	我的居所被拆除，由我身上撤去，彷佛牧童的帐幕；你好象织工，卷起了我的生命，由织机上将我割断。白日黑夜你总想将我结束!」
38.13	我哀号直到清晨，上主却如狮子咬碎了我所有的骨骸。
38.14	我呢喃好似燕子，我哀鸣有如斑鸠；我痛哭的眼睛向上仰视：「上主!我实在痛苦，求你扶持我!」
38.15	我还有什么话可说﹖因为是上主给我说的，因为是他行的；带着我内心的痛苦，我要善度我的余年。
38.16	吾主!我的心唯有仰望你!求你使我的精神苏醒，使我复原，使我生存。
38.17	看，我的苦楚已变为安宁，是你保存了我的生命脱免灭亡的深渊，因为你将我所有的罪恶尽拋于你背后。
38.18	诚然，阴府不会赞颂你，死亡也不会称扬你；下到深渊的，也不会再仰望你的忠诚。
38.19	生者，唯有生者能赞颂你，如我今日一样；为父的当使自己的儿女认识你的忠信。
38.20	上主救了我，为此我们愿以终生的岁月，在上主的殿内弹奏弦琴!
	
38.21t	附录
38.21	依撒意亚曾吩咐说：「拿一块无花果饼来，贴在他的疮口上，他就会好了。」
38.22	希则克雅曾问说：「有什么凭据，我将登上上主的殿﹖」
	
	
39.0t	第三十九章(8)
	
39.1t	巴比伦的使者来访
39.1	那时，巴比伦王巴拉丹的儿子默洛达客巴拉丹给希则克雅呈上书信和礼物，因为他听说希则克雅患病好了。
39.2	希则克雅对他们非常高兴，就叫使者参观自己的宝库、金银、香料、珍膏和武器，以及他府库内所有的财宝：凡他宫中和全国内所有的，希则克雅没有不叫他们参观的。
	
39.-3t	先知预言充军
39.3t	依撒意亚先知来到希则克雅王前对他说：「这些人说了什么﹖他们是从什么地方到你这里来的﹖」希则克雅回答说：「他们是从远方，从巴比伦到我这里来的。」
39.4	先知又问说：「他们在你宫里看见了什么﹖」希则克雅回答说：「凡我宫里所有的，他们都看了；凡我府库内所有的，没有一样我不叫他们不看的。」
39.5	依撒意亚遂对希则克雅说：「你听万军上主的话罢!
39.6	看，日子要到，凡你宫中所有的，及你祖先直到今日所积蓄的，都要被带到巴比伦去，什么都不会留下：上主说。
39.7	此外，由你所出，即你所生的子孙中，也有一些要被掳去，在巴比伦王的宫殿里充当太监。」
