1.-1t	前编 攻占许地(1-12)
19.32t	纳斐塔里支派所得之地
	
19.32	纳斐塔里，即纳斐塔里支派子孙，按照家族，得了第六签。
19.33	他们的边界，是起自赫肋弗和匝纳宁橡树，经阿达米乃刻布和雅贝乃耳，直到拉孔，迄于约但河。
19.34	西方边界，由阿次诺特大博尔，直达胡科克，南接则步隆，西接阿协尔。东方以约但河为界。
19.35	设防的城市有漆丁、责尔、哈玛特、辣卡特、基乃勒特、
19.36	阿达玛、辣玛、哈祚尔、
19.37	卡德士、厄德勒、恩哈祚尔、
19.38	依郎、米革达肋耳、曷楞、贝特阿纳特和贝特舍默士：共计十九座城和所属村镇。
19.39	这些城和村镇，是纳斐塔里支派子孙，按照家族分得的产业。 
	
19.40t	丹支派分得的地业
	
19.40	丹支派子孙，按照家族，得了第七签。
19.41	他们分得的领域是：祚辣、厄市陶耳、依尔舍默士、
19.42	沙阿拉宾、阿雅隆、依特拉、
19.43	厄隆、提默纳、厄刻龙、
19.44	厄耳特刻、基贝通、巴拉特、
19.45	耶胡得、贝乃贝辣克、加特黎孟、
19.46	默雅尔孔、辣孔和约培对面的地区。
19.47	但是这地区为丹的子孙过于窄狭，因而丹的子孙上去攻占了肋笙，屠杀了城中的人民，据为己有，住在那里，以他们的祖先丹的名字，称肋笙为丹。
19.48	这些城和村镇，是丹支派子孙按照家族分得的产业。 
	
19.49t	若苏厄分得的产业
	
19.49	以色列子民，依照界限分完了产业以后，又在他们中间，分给了农的儿子若苏厄一分产业。
19.50	他们照上主的吩咐，将若苏厄要求的城市，即厄弗辣因山地的提默纳特色辣黑给了他；若苏厄便重建了那城，住在那里。 
	
19.51t	结论
	
19.51	以上是司祭厄肋阿匝尔和农的儿子若苏厄，以及以色列子民各支派的族长，在史罗会幕门口，于上主面前，抽签划分土地的记述；分地的事，就这样完成了。
	
20.0t	第二十章
	
20.1t	避难城
	
20.1	上主训示若苏厄说：「
20.2	你应告诉以色列子民说：他们应照我藉梅瑟向你们所提及的，指定一些避难城，
20.3	好使无心误杀人的，能逃到那里去。这些城市作为你们逃避血仇者的地方
20.4	那误杀人的，只要逃往这些城中的一座，立于城门口，将自己的事，报告给这城的长老听；长老就该将他接入城中，给他地方，让他住在他们中间。
20.5	如果报血仇者追来了，长老不可将他交于报血仇者手中，因为他杀人原是出于无心，素无仇恨。
20.6	杀人者应住在这城内，直到他在会众前出庭受审，直到现任的大司祭去世之后，方可回到本城本家，即由之逃出城市。」
20.7	以色列人于是在纳斐塔里山区，指定了加里肋亚的刻德士；在厄弗辣因山区指定了舍根；在犹大山区指定了克黎雅特阿尔耳巴，即赫贝龙；
20.8	在约但河东岸，耶里哥东面，在旷野高原里，勒乌本支派内指定了贝责尔；在加得支派内，指定了基肋阿得的辣摩特；在默纳协支派内，指定了巴商的哥蓝。
20.9	以上是为所有的以色列人和寄他们中间的外方人指定的城市，使凡误杀人的，能逃往那里去，在他未出庭受会众审判以前，不致死在报血仇者的手里。
	
21.0t	第二十一章
	
21.1t	肋未城
	
21.1	肋未人各家长来见司祭厄肋阿匝尔和农的儿子若苏厄，以及以色列子民的族长，
21.2	在客纳罕地的史罗对他们说：「上主曾藉梅瑟吩咐过，要给我们一些城市居住，一些郊区为牧放我们的牲畜。」
21.3	以色列子民于是按照上主的吩咐，由自己的产业中，将以下的城市和郊区分给了肋未。肋未人，属大司祭亚郎的子孙，
21.4	刻哈特家族由犹大支派、西默盎支派和本雅民支派的地区中抽得十五座城。
21.5	刻哈特其他子孙，按家族由厄弗辣因支派，丹支派和默纳协半支派，抽得了十座城。
21.6	革尔雄的子孙，按照家族，由依撒加尔支派、阿协尔支派、纳斐塔里支派和由巴商的默纳协半支派，抽得了十三座城。
21.7	默辣黎的子孙，按照家族，由勒乌本支派、加得支派和则步隆支派，抽得了十二座城。
21.8	以色列子孙按照上主藉梅瑟所吩咐的，将这些城和城郊，以抽签方式分给了肋未人。 
	
21.9t	刻哈特家族所得的城邑
	
21.9	由犹大支派和西默盎支派，分给了他们下列各城：
21.10	肋未人，亚郎的子孙，刻哈特家族应抽第一签。
21.11	他们分得了犹大山区克黎雅特阿尔巴和四周城郊──阿尔巴原是阿纳克的祖先，克黎雅特阿尔巴，即是赫贝龙──
21.12	但已割给耶孚乃的儿子加肋布作产业的田地和村庄却不在内。
21.13	司祭亚郎的子孙分得了给误杀人者作避难城的赫贝龙和城郊，里贝纳和城郊，
21.14	此外，尚有雅提尔和城郊，厄市特摩和城郊，
21.15	曷隆和城郊，德彼尔和城郊，
21.16	阿商和城郊犹他和城郊，贝特舍默士和城郊，由这两支派共分得了九座城。
21.17	由本雅明支派，尚分得了基贝红和城郊，革巴和城郊，
21.18	阿纳托特和城郊，阿尔孟和城郊：共计四座城。
21.19	亚郎的子孙司祭们共分得了十三座城和所属城郊。
21.20	肋未人刻哈特家族，即刻哈特其余的子孙，由厄弗辣因支派抽得了一些城市。
21.21	他们分得了厄弗辣因山区，给误杀人者作避难城的舍根和城郊，革则尔和城郊，
21.22	克贝匝殷和城郊，贝特曷隆和城郊：共计四座城；
21.23	由丹支派分得了厄耳特刻和城郊，基贝通和城郊，
21.24	阿雅隆和城郊，加特黎孟和城郊：共计四座城；
21.25	由默纳协半支派分得了塔纳客和城郊，依贝尔罕和城郊，共计两座城。
21.26	刻哈特家族其余的子孙，共分得了十座城和所属城郊。 
	
21.27t	革尔雄家族所得的城邑
	
21.27	肋未家族的革尔雄子孙由默纳协半支派，分得了在巴商给误杀人者作避难城的哥蓝和城郊，阿市塔洛城和城郊：共计两座城；
21.28	由依撒加尔支派，分得了克史雍和城郊，多贝辣特和城郊，
21.29	雅尔慕特和城郊，恩加宁和城郊，共计四座城；
21.30	由阿协尔支派分得了米沙尔和城郊，阿贝冬和城郊，
21.31	赫尔卡特和城郊，勒曷布和城郊：共计四座城；
21.32	由纳斐塔里支派，分得了在加里肋亚给误杀人者作避难城的刻德士和城郊，哈摩特多尔和城郊，卡尔堂和城郊：共计三座城。
21.33	革尔雄人按照家族，共分得了十三座城和所属城郊。 
	
21.34t	默辣黎家族所得的城邑
	
21.34	其余的肋未人，即默辣黎子孙的家族，由则步隆支派分得了约刻乃罕和城郊，卡尔达和城郊，
21.35	黎孟和城郊，纳哈拉耳和城郊：共计四座城；
21.36	在约但河东，由勒乌本支派分得了位于旷野高原内，给误杀人者作避难城的贝责尔和城郊，雅哈兹和城郊，
21.37	刻德摩特和城郊，默法阿特和城郊：共计四座城；
21.38	由加得支派，分得了在基肋阿得给误杀人者作避难城的辣摩特和城郊，哈玛纳殷和城郊，
21.39	赫市朋和城郊，雅则尔和城郊：共计四座城。
21.40	其余的肋未人家族，即默辣黎的子孙，按照家族，共抽得了十二座城。
21.41	肋未人由以色列子民的产业中，共分得了四十八座城和所属城郊。
21.42	这些城包括全城和城四郊；每座城都是这样。 
	
21.43t	诺言的实现
	
21.43	上主这样将誓许给他们祖先的整个地区，赐给了以色列人；他们占领之后，便住在那里。
21.44	上主又使他们四境安宁，全如□向他们的祖先所誓许的；他们的一切仇敌，没有能对抗他们的，因为上主将他们所有的仇敌，都交在他们手中了。
21.45	上主向以色列家应许赐福的话，没有一句落空，全部应验了。
	
22.0t	第二十二章
	
22.1t	若苏厄祝福遣回的东方支派
	
22.1	那时若苏厄将勒乌本人、加得人和默纳协半支派的人召来，
22.2	对他们说：「上主仆人梅瑟吩咐你们的一切，你们都遵守了，在我吩咐你们的一切事上，你们也都听了我的话。
22.3	这许多日子，你们从来没有离开你们的的弟兄，直到今天，忠信遵守了上主你们天主的命令。
22.4	现在上主我们的天主，照□所应许的，使你们的弟兄获得了安居，你们现在可返回自己的帐幕，回到上主的仆人梅瑟在约但河东，赐给你们为产业的地方去，
22.5	只要你们谨慎遵守上主的仆人梅瑟吩咐你们的诫命和法律：爱慕上主你们的天主，遵行□的一切道路，谨守□的诫命，全心全灵归属上主，服事上主。」
22.6	若苏厄于是祝福了他们，打发他们回去；他们就返回了自己的帐幕。──
22.7	梅瑟在巴商已分给了默纳协半支派土地。至于另半个支派，若苏厄在约但河西，在他们的弟兄中，也分给了他们土地，──此外，当若苏厄打发他们回帐幕的时候，祝福了他们，
22.8	向他们说：「现在你们带著这许多财物、牛、羊、金银、铜铁，和大批衣服回到自己的帐幕，也要将你们从由敌人夺得的财物，分给你们的弟兄! 」 
	
22.9t	东方支派筑坛于河岸
	
22.9	勒乌本人、加得人和默纳协半支派的人，于是从客纳罕的史罗起身，离开以色列人，回到自己得为产业的基肋阿得，即上主藉梅瑟吩咐给他们作为产业的地方。
22.10	当勒乌本人、加得人和默纳协半支派的人，来到属客纳罕地的约但河附近地区时，在约但河边筑了一座祭坛，一座高大可观的祭坛。
22.11	以色列人听见说：「看，勒乌本人、加得人和默纳协半支派的人，在属客纳罕地的约但河附近地区，以色列子民境内，筑了一座祭坛。」
22.12	以色列子民一听说这事，全会众便聚集在史罗，要去作战攻打他们。 
	
22.13t	其他支派抗议
	
22.13	以色列子民便委派厄肋阿匝尔的儿子丕乃哈斯司祭，到基肋阿得地方去见勒乌本人、加得人和默纳协半支派人，
22.14	和他同去的尚有十位领袖，每支派一个，他们都是以色列各家族的族长。
22.15	他们来到基肋阿得地方，见勒乌本人、加得人和默纳协半支派人，向他们说：
22.16	「上主的全会众这样说：你们相反以色列的天主，犯这不忠信的罪，有什么意思？为什么你们今天离开上主，另建立祭坛，公开背叛上主？
22.17	以前敬拜培敖尔的罪过为我们还不够吗？为了那个罪过，灾祸降于上主的会众，直到今天，我们还没洗净：
22.18	看，你们今天又要离开上主，你们今天违背上主，明天□必向以色列全会众发怒。
22.19	如果你们认为所得的地方不洁，可以回到上主的地方，上主帐幕的所在地，住在我们中间；决不可违背上主，激怒我们，在上主我们的祭坛以外，为自己另筑祭坛。
22.20	以前则辣黑的子孙阿干，在应毁灭的财物上犯了不忠之罪，虽只他一人犯罪，忿怒岂不是临到以色列全会众？死在他罪过中的不只他一人」。 
	
22.21t	河东支派对筑坛的解释
	
22.21	勒乌本人、加得人和默纳协半支派的人，回答以色列的首长说：
22.22	「大能者天主上主，大能者天主上主清楚知道，以色列也明白：如果我们有违背或干犯上主的事，愿□今天别救我们!
22.23	如果我们建筑这祭坛，有意离开上主，或有意在坛上献全燔祭、素祭或和平祭，愿上主自己惩罚我们!
22.24	我们做这事，其实正是因为顾虑到：将来你们的子孙会对我们的子孙说：你们和上主以色列的天主有什么关系？
22.25	天主定了约但河为我们和你们勒乌本和和得人之间的界限，你们和上主已没有分子。这样你们的子孙必使我们的的子孙不再敬畏上主。
22.26	因此我们想：我们还是建筑一座祭坛，不是为献全燔祭，也不是为祭献牺牲，
22.27	只是为在你我之间，在你我后人之间作一证据，证明我们愿在上主面前以全燔祭牺牲及和平祭敬礼上主，免得日后你们的子孙对我们的子孙说：你们与上主已没有分子。
22.28	因此我们想：日后如有人对我们或我们的子孙说，我们可以回答说：你们试看我们的祖先所筑的上主的祭坛的式样，不是为献全燔祭，也不是为献牺牲，而是为作你我之间的证据。
22.29	我们今天没有意思违背上主，离开上主，在上主我们天主的帐幕前的祭坛以外，为献全蕃祭、素祭和牺牲，另建立一祭坛。」 
	
22.30t	各支派获得谅解
	
22.30	司祭丕乃哈斯和同他同来的会众的首领，即以色列人的族长，听了勒乌本人、加得人和默纳协人所的话，都表示满意。
22.31	厄肋阿匝尔的儿子丕乃哈斯司祭对勒乌本人、加得人和默纳协人说：「今天我们知道上主是在我们中间，因为你们对上主没有犯过这样不忠信的罪，现在你们由上主手中救了以色列子民。」
22.32	厄肋阿匝尔的儿子丕乃哈斯司祭和首领便离开勒乌本人、加得人和默纳协半支派的人，从基肋阿得地方回到客纳罕地见以色列子民，给他们报告了这事。
22.33	以色列子民对这报告都表示满意，遂颂扬上主，不再想作战攻打勒乌本人和加得人，毁灭他们所住的地方。
22.34	勒乌本人和加得人给那祭坛起名叫「赫得，」因为他们说：「这祭坛在我们中间证明上主是真天主。」
	
23.-1t	结论 若苏厄的劝戒(23-24)
	
23.0t	第二十三章
	
23.1t	若苏厄的遗训
	
23.1	以后上主使以色列同四周敌人平安无事，这样过了很长的时间，若苏厄已年老，上了年纪，
23.2	便将全以色列人，他们的长老、首领、判官和官长召来，对他们说：「我已年老，上了年纪
23.3	你们都亲眼见了上主你们的天主，为了你们对有的民族所做的一切；因为是上主你们的天主在替你们作战。
23.4	你们看，我已用抽签方式，将由约但河起，直到日落之处的大海之间，所消灭和所剩下的各民族的土地，按照你们各支派，都分给了你们作产业。
23.5	上主你们的天主必将他们由你们面前赶走，使他们离开你们，叫你们承受他们的土地，一如上主你们的天主向你们所应许的。
23.6	因此，你们要更忠实谨守奉行梅瑟法律书上所记载的一切，不可偏左偏右，
23.7	不可与你们中间所余的异族往来，不可提起他们的神名，不可指著他们起誓，不可事奉那些神，也不可在他们面前跪拜。
23.8	反之，你们应依照你们一直到到今天所行的，依附上主你们的天主，
23.9	因为是上主从你们面前赶走了那些强大的异族，直到今天，没有人能抵抗你们，
23.10	你们一人能赶走千人，是因为上主你们的天主，照□所应许的，亲自为你们作战。
23.11	你们要尽心尽力，爱慕上主你们的天主。
23.12	如果你们背弃上主，依恋你们中间所剩余的异族，同他们结婚，互相往来，
23.13	你们就当知道，上主你们的天主必不再从你们面前，赶走这个异族，你们必将成为你们的罗网和陷阱，打你们腰的鞭子，扎你们眼的芒刺，直到你们从上主你们天主所赐给你们的这福地上，全被消灭。
23.14	看我今天就要走世人必走的路，你们要一心一意地承认，上主你们的天主应许赐福给你们的话，没有一句落空，都已应验在你们身上，一句也没有落空。
23.15	上主你们的天主对你们所应许的一切幸福，怎样实现在你们身上，上主对你们所提出的灾祸，也要怎样临于你们身上，直到将你们从上主你们天主所赐与你们的这福地上消灭。
23.16	如果你们违犯上主你们的天主与你们订立的盟约，去事奉敬拜其他的神，上主必向你们大发忿怒，使你们迅速从你们的福地上消灭。
	
24.0t	第二十四章
	
24.1t	若苏厄重述主恩
	
24.1	若苏厄又聚集以色列众支派来到舍根，也召集了以色列的长老、首领、判官和官长，叫他们立在天主面前，
24.2	若苏厄对全民众说：「上主以色列的天主这样说：从前你们的祖先亚巴郎和纳曷尔的父亲特辣黑，住在大河那边，事奉别的神明。
24.3	我将你们的祖先亚巴郎从大河那边召来，领他们走遍客纳罕全地，使他的后裔繁多，赐给了他依撒格。
24.4	我又将雅各伯和厄撒乌，赐给了依撒格；将色依尔山区赐给了厄撒乌作产业；雅各伯却和他的儿子下到了埃及。
24.5	以后，我派了梅瑟和亚郎，在埃及行奇迹，打击了埃及，然后将你们领了出来。
24.6	当我领你们的祖先离开埃及来到海边时，埃及人率领车辆兵马，追赶你们的祖先直到红海。
24.7	当他们呼求上主时，上主便在你们与埃及人之间突降浓雾，使海水流回淹没了他们。我在埃及所行的，你们都亲眼见过。以后你们在旷野住了很久。
24.8	当我领你们到了住在约但河东阿摩黎人的地域时，他们曾攻击过你们，但我将他们交在你们手中，使你们占领了他们的地方，由你们面前消灭了他们。
24.9	那时摩阿布王，漆颇尔的儿子巴拉克起来攻击以色列，并派人叫贝敖尔的儿子巴郎来诅咒你们。
24.10	但是我不想俯听巴郎，他反而祝福了你们。这样，我从他手中救了你们。
24.11	以后你们渡过约但河来到耶里哥，耶里哥的居民同你们作战，以后有阿摩黎人、培黎齐人、客纳罕人、赫特人、基尔加士人、希威人和耶步斯人，都同你们作过战，但我将他们都交在你们手中。
24.12	我并派黄蜂在你们前，将阿摩黎人的两个王子，从你们面前赶走，并未用你们的剑，也未用你们的弓。
24.13	这样，我把未经你们开垦的地，赐给了你们；把未经你们建筑的城，赐给了你们居住；将未经你们种植的葡萄园和橄榄树林，赐给了你们作食物。 
	
24.14t	劝以色列人事奉上主
	
24.14	所以你们应该敬畏上主，诚心敬意地事奉□，抛弃你们祖先在大河那边和埃及所事奉的神，惟独事奉上主。
24.15	若是你们不乐意事奉上主，那么今天就选择你们所愿事奉的，或是你们祖先在大河那边事奉的神，或是你们现住地的阿摩黎人的神；至于我和我的家族，我们一定要事奉上主。」
24.16	百姓回答说：「我们绝对不愿背弃上主，去事奉其他的神!
24.17	因为上主是我们的天主，是□领我们和我们的祖先出离了埃及地，为奴之家，在我们眼前行了那些绝大的神迹，在我们所走的一切路上，在我们所经过的一切民族中，□终保护了我们。
24.18	上主更从我们面前，赶走了所有的异族，和住在这地的阿摩黎人。为此，我们必要事奉上主，因为□是我们的天主。」
24.19	若苏厄对百姓说：「你们不能事奉上主，因为□是神圣不可侵犯的天主，是忌邪的天主，□决不宽赦你们的过犯和罪恶，
24.20	如果你们背弃上主，去事奉外邦的神，在□恩待你们之后，□必转而向你们降祸，消灭你们。」
24.21	百姓答覆若苏厄说：「决不! 我们一定要事奉上主! 」
24.22	若苏厄对百姓说：「这是你们对自己作证，要选择事奉上主! 」他们答说：「我们自己作证。」
24.23	「那么，你们应除掉你们中间的外邦神，一心归向上主，以色列的天主。」
24.24	百姓答覆若苏厄说：「我们必定事奉上主，我们的天主，必听从□的声音。」 
	
24.25t	同以色列立约
	
24.25	当天若苏厄便与百姓立约，在舍根为他们立定了诫命和典章。
24.26	若苏厄将这些话都写在天主的法律书上；又取了一块一大石，立在上主圣所旁边的笃耨香树下。
24.27	若苏厄对全民众说：「看! 这块石头将作我们的见证，因为这块石头听见了上主对我们所说的一切话。这块石头也将作你们的见证，以免你们背弃你们的天主。」
24.28	此后，若苏厄便打发百姓各回到的地业去了。 
	
24.29t	若苏厄逝世
	
24.29	这事以后，上主的仆人，农的儿子若苏厄便去了世，享年一百一十岁。
24.30	人将埋葬在加阿士山北，厄弗辣因山区的提默纳特色辣黑自己的产业内。
24.31	若苏厄在世时以及在他死后，那些知道上主为以色列所行的一切事迹的长老们在世时，以色列人常事奉了上主。 
	
24.32t	附录
	
24.32	以色列子民也将从埃及抬回来的若瑟的遗骸，埋葬在舍根的田里。那块田是雅各伯用一百银钱，由舍根的父亲，哈摩尔的子孙手中买来的；这块田便成了若瑟子孙的产业。
24.33	亚郎的儿子厄肋阿匝尔也死了。人将他埋葬在基贝亚，即他的儿子丕乃哈斯在厄弗辣因山地分得的城内。
