1:-1t	箴言篇
28:4	违法的人，称扬败类；守法的人，与之为敌。
28:5	作恶的人，不明了正义；寻求上主的，却全洞识。
28:6	为人正直的穷人，胜于行为邪辟的富人。
28:7	遵守法律的，是智慧之子；交结荡子的，是取辱己父。
28:8	谁放贷取利增加己产，是为怜恤贫乏者积蓄。
28:9	对于法律，人若充耳不闻，他的祈祷，也为上主所恶。
28:10	勾引正直的人走上邪路的，必落在自己所掘的坑内；但正直的人仍能继承幸福。
28:11	富贵的人，自认为有智慧，聪明的穷人一眼即看穿。
28:12	义人获胜，群情欢腾；恶霸当道，人人走避。
28:13	文过饰非的，必不会顺利；认错悔改的，将蒙受怜悯。
28:14	常戒慎的人，必蒙降福；心硬如铁者，必遭灾祸。
28:15	暴君欺凌贫穷弱小，有如咆哮怒狮，饥饿野熊。
28:16	无知的昏君，必横行霸道；憎恨贪婪的，将延年益寿。
28:17	身负血债者，虽逃至死地，也无人搭救。
28:18	行走正路的，必安然无恙；爱走曲径的，必堕入陷阱。
28:19	自耕其地的，必常得饱食；追求虚幻的，必饱尝贫苦。
	
28:20t	仁慈而应公平
28:20	忠诚笃实的人，将满渥福祉；急于致富的人，将难免无过。
28:21	顾及人的情面，原非一件好事；但为一片面包，人却陷身不义。
28:22	眼睛贪婪的人，匆匆急于致富；岂知贫乏穷困，即将临于其身!
28:23	责斥他人的，终比奉承的，更得人爱戴。
28:24	向自己父母行窃，却说「这并不是罪，」与强盗是同路人。
28:25	贪得无厌的人，必引起争端；信赖上主的人，必心安理得。
28:26	自恃聪明的，实是糊涂人；行事智慧的，必安全无恙。
28:27	乐施济贫的，决不会匮乏；视若无睹的，必饱受咒骂。
28:28	恶霸当道，人人走避；恶霸灭亡，义人兴旺。
	
	
29:0t	第二十九章(27)
	
29:1t	人应自知约束
29:1	人若屡受谴责，仍然顽固，他必突然丧亡，无法挽救。
29:2	义人执政，人民喜庆；恶人专权，人民叹息。
29:3	喜爱智慧的，使父亲喜悦；寻花问柳的，必倾家荡产。
29:4	君王秉公行义，必将兴邦；但若暴敛横征，必将丧邦。
29:5	对自己的友伴阿谀的人，是在他脚下张设罗网。
29:6	作恶的人，满路绊索；正义的人，载欣载奔。
29:7	义人关注穷人的案情，但是恶人却毫不知情。
29:8	轻狂的人，煽动城市作乱；明智的人，设法挽回狂澜。
29:9	智愚争辩，或怒或笑，终无结果。
29:10	嗜杀的人，常憎恨正人君子；正直的人，却关怀他的性命。
29:11	愚人忿怒，必尽情发泄；明智的人，必自知抑制。
29:12	作首长的，如听信谗言，他的臣仆，必尽属小人。
29:13	穷人与压迫者彼此相遇，二者皆由主获得光明。
29:14	君王如秉公审判穷人，他的宝座必永久稳立。
	
29:15t	人应接受教育
29:15	杖责与惩戒，赐予人智慧；娇纵的孩子，使母亲受辱。
29:16	恶人掌权，罪恶随之增多；正义的人，必亲见其崩溃。
29:17	惩戒你的儿子，他必使你安心，令你心旷神怡。
29:18	神视缺乏时，人民必放纵；遵守法律的，才蒙受降福。
29:19	要纠正奴才，不宜用言语；即使他明白，他仍不服从。
29:20	你是否见过信口开河的人﹖寄望于愚人胜于寄望于他。
29:21	对奴才自幼加以娇养，他日后终必反仆为主。
29:22	易怒的人，极易引起纷争；性急的人，必犯很多过错。
29:23	骄傲自大，使人屈辱；虚心谦下，使人受荣。
29:24	谁与盗贼合伙，实是痛恨自己；他虽听见诅咒，却不敢发一言。
29:25	对人畏惧，必陷入羁绊；信赖上主，必获得安全。
29:26	许多人寻求王侯的慈惠，但每人的判决出自上主。
29:27	为非作歹的人，为义人所憎恶；行为正直的人，为恶人所憎恶。
	
	
30:0t	第三十章(33)
	
30:1t	天主的超越性
30:1	玛萨人雅刻之子阿古尔的格言，即他给依提耳、给依提耳和乌加耳的断语：
30:2	我比谁都愚蠢，没有人的才智。
30:3	我从来没有学得智慧，致能通晓圣者的知识。
30:4	谁曾上升过天而又降下﹖谁能将风收集在手中﹖谁能将水聚集在大衣内﹖谁为这大地立定了边界﹖他叫什么名字﹖其子姓甚名谁﹖你知道吗﹖
	
30:5t	天主的话
30:5	天主的每一句话，都是经火精炼的；凡托庇于他的人，他必要作其护盾。
30:6	对他所说的话，不可加添什么；免得他指责你，证明你在说谎。
	
30:7t	生活要知足
30:7	我求你两件事，在我未死以前，请不要拒绝我：
30:8	令虚伪和欺诈远离我，贫乏或富裕勿赐与我，只供予我必需的食粮，
30:9	免得我吃饱了，背叛你说：「谁是上主﹖」或是过于贫乏，因而行窃，加辱我天主的名。
30:10	别在主人前，诽谤他的奴仆，怕他咒骂你，你就不免受罚。
	
30:11t	四种恶人
30:11	有一种人，咒骂父亲；自己母亲，也不降福。
30:12	有一种人，自视清高；自身污秽，却不洗涤。
30:13	有一种人，眼睛傲慢，目空一切。
30:14	有一种人，牙如利剑，齿如快刀，地上弱小，人间贫民，吞食一空。
	
30:15t	四不知足之物
30:15	水蛭有两个女儿，常说「给我!给我!」不知足的东西，共有三样，总不说「够了」的，共有四样：
30:16	即阴府、荒胎、总饮不足水的地，和总不说「够了」的火。
30:17	谁嘲笑父亲，或轻视年老的母亲，愿他的眼睛，被谷中的乌鸦啄去，为小鹰所食。
	
30:18t	四种奇事
30:18	令我称奇的事，共有三样，连我不明了的，共有四样：
30:19	即鹰在天空飞翔的道，蛇在岩石爬行的道，船在海中航行的道，以及男女交合之道。
30:20	淫妇的作风是这样：她吃了后，抹抹口说：「我并没有为非作歹。」
	
30:21t	四件难忍之事
30:21	使地战栗的事，共有三样，连不可容忍的，共有四样：
30:22	即奴隶为王，愚人饱食，
30:23	丑女出嫁，婢女当家。
	
30:24t	四种精灵小动物
30:24	地上的小动物中，有四种极其聪明：
30:25	蚂蚁是无力的一群，却在夏日储备食粮；
30:26	岩狸是无能的一群，却在岩石中筑巢穴；
30:27	蝗虫虽然没有君王，却知一齐列队出发；
30:28	壁虎能用手来捕捉，却经常出入于皇宫。
	
30:29t	四种壮美的仪态
30:29	举止昂然之物，共有三样，连威仪赫赫的，共有四样：
30:30	即兽中称雄的狮子，面临一切从不退缩；
30:31	独步鸡群中的雄鸡，开头领队的公山羊，和检阅人民的君王。
	
30:32t	应自知抑制
30:32	你一时糊涂，高举了自己，当你反省时，应以手掩口；
30:33	因为搅动乳汁，可出奶油；用力扭鼻，可流鲜血；激起愤怒，必生争端。
	
	
31:0t	第三十一章(31)
	
31:1t	肋慕耳的格言
31:1	玛萨的君王肋慕耳的格言，是他母亲教给他的：
31:2	我儿!我的亲生儿!我的长子肋慕耳!我许愿所得的孩子!我可给你说些什么﹖
31:3	你不要将你的精力，为女人而消耗；也不要为君王的宫女，白费你的血气。
31:4	肋慕耳!清酒不宜于君王，醇酒不宜于公侯，
31:5	免得在酒兴之余，轻易将法律忘掉，颠倒穷人的是非。
31:6	应将醇酒给与哀恸欲绝的人，应将清酒给与心灵痛楚的人，
31:7	好叫他们喝了，完全忘掉自己的贫乏，不再记忆自己的忧苦。
31:8	你应为哑吧开口，为被弃的人辩护；
31:9	你应开口秉公行审，应为贫苦弱小辩护。
	
31:10t	贤妇赞
31:10	贤淑的妇女，有谁能找到﹖她本身价值，远胜过珠宝。
31:11	她的丈夫对她衷心信赖，一切所需从来不会缺少。
31:12	她一生岁月，只叫他幸福，不给他烦恼。
31:13	她弄来羊毛细麻，愉快地亲手劳作。
31:14	她宛如一只商船，由远处运来食粮。
31:15	天还未明，她已起身，为给家人分配食物，给婢女们分派家务。
31:16	她看中一块田地，就将它买了来，以双手所得的收入，栽植了葡萄园。
31:17	她以勇力束腰，增强自己臂力。
31:18	她发觉自己经营生利，她的灯盏夜间仍不熄灭。
31:19	她手执纺锤，手指旋转纱锭。
31:20	对贫苦的人，她随手赒济；对无靠的人，她伸手扶助。
31:21	为自己的家人，她不害怕风雪，因为全家上下，都穿双料衣裳。
31:22	她为自己做了华丽的铺盖，身穿的是细麻和紫锦的衣裳。
31:23	她的丈夫与当地长老同席，在城门口深为众人所认识。
31:24	她纺织纱布予以出售，又制造腰带卖与商贾。
31:25	刚毅和尊严是她的服饰，一念及将来便笑容满面。
31:26	她一开口即倾吐智慧，舌上常有仁慈的训诲。
31:27	她不断督察家务，从不白吃闲饭。
31:28	她的子女起来向她降福，她的丈夫对她赞不绝口：「
31:29	贤淑的女子很多，唯有你超群群出众。」
31:30	姿色是虚幻，美丽是泡影；敬畏上主的女人，才堪当受人赞美。
31:31	愿她享受她双手操劳的成果!愿她的事业在城门口使她受赞扬!
	
